{'descr': '还不错，就是治安环境有点差', 'star': 5}
{'descr': '车站附近的经济酒店也就是如此吧', 'star': 4}
{'descr': '周边环境好像比较杂乱', 'star': 4}
{'descr': '服务态度好 干净卫生 网络好', 'star': 5}
{'descr': '如果是步行从火车南站到酒店，大概要快走20分钟吧，略偏僻', 'star': 5}
{'descr': '没有早餐，不过附近吃的比较多，离地铁口还是蛮近的，步行五分钟左右可以到', 'star': 4}
{'descr': '服务好 安全舒适 网络好 干净卫生', 'star': 5}
{'descr': '还不错啦', 'star': 5}
{'descr': '房间卫生干净，服务态度', 'star': 5}
{'descr': '很好，酒店环境很好，房间挺干净整洁的！棒棒哒！', 'star': 5}
{'descr': '很好，酒店环境很好，房间挺干净整洁的！棒棒哒！', 'star': 5}
{'descr': '不错，不想纠结了，直接选七天', 'star': 5}
{'descr': '实惠，还不错。。。。。。', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '。。。。。。。。。', 'star': 5}
{'descr': '。。。。。。。。。。', 'star': 5}
{'descr': '空调是坏的，热的我们一晚上都没睡着，窗子也打不开，没睡好觉', 'star': 5}
{'descr': '还可以很不错。服务态度很好', 'star': 5}
{'descr': '不错不错不错不错不错', 'star': 5}
{'descr': '不错，环境安逸', 'star': 5}
{'descr': '京东品质，值得信赖！', 'star': 5}
{'descr': '实惠', 'star': 5}
{'descr': '就喜欢的话都很对的核心基础款', 'star': 5}
{'descr': '还不错！价格实惠，干净！清爽！', 'star': 5}
{'descr': '好极了。。。。。。。。。。。。', 'star': 5}
{'descr': '位置方便，价格也不贵，设施装修一般，隔音差', 'star': 4}
{'descr': '还行吧，不是很贵，周围也挺方便，不过房间不隔音，设施一般', 'star': 4}
{'descr': '还行吧，不是很贵，周围也挺方便，不过房间不隔音，设施一般', 'star': 4}
{'descr': '还行吧，不是很贵，周围也挺方便，不过房间不隔音，设施一般', 'star': 4}
{'descr': '还行吧，不是很贵，周围也挺方便，不过房间不隔音，设施一般', 'star': 4}
{'descr': '。。。。。。。。？。。。', 'star': 5}
{'descr': ',......................', 'star': 5}
{'descr': '..........................................', 'star': 5}
{'descr': '不错，房间很干净', 'star': 5}
{'descr': '还可以，交通', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '一般般嘛，要改善', 'star': 4}
{'descr': '非常不错 支持七天 出差必选', 'star': 5}
{'descr': '交通便利', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '酒店设施和其他七天酒店一样，环境一般，外观一般', 'star': 4}
{'descr': '环境一般，设施可以使用，外观就一般了', 'star': 4}
{'descr': '设施一般，位置不错，无外观，可以商务。', 'star': 4}
{'descr': '一般般，成都的房价有点贵哦，只能算是经济房间，住一晚而已', 'star': 4}
