{'descr': '太窄了，隔音差得很', 'star': 4}
{'descr': '怎么说呢，除了离夫子庙近一点，其他真的不方便，周围还在施工，把牌子道路都挡住了不注意还真发现不了，我下火车还找了半天才找到，一开始进入旅馆给安排的大床房真的很无语，简直不像是旅馆房间。后来又加钱换的二楼标间，还算勉强可以。就是有点蚊子。房间里设施都还算齐全，无线信号很好，电视也清晰，就是房间插头太少，床头就一个。再一个就是老板娘服务挺好的。其他要是队住宿没什么癖好洁癖没太高要求的话，这个宾馆还算可', 'star': 4}
{'descr': '房间里的床单上有很多黑点点 特别痒 隔音效果也不好 晚上完全睡不着 前台服务态度很好 办理入住特别快', 'star': 3}
{'descr': '还好 就是房间有点小 隔音效果巨差', 'star': 5}
{'descr': '去夫子庙还要走一段距离，但还是蛮方便的，前台服务态度也很好。', 'star': 4}
{'descr': '很满意，又续住了几天', 'star': 5}
{'descr': '挺好的，位置不错就是没有窗，房间特别闷，空气不好干净还行。', 'star': 5}
{'descr': '挺好，就是老板搞不清楚外国人有居留许可，是可以直接住的。还被老板带去派出所问警察叔叔确认一下，有点麻烦。总体不错，就是没窗，好闷', 'star': 5}
{'descr': '不多很好', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还可以接受吧，住起来还算舒服～', 'star': 5}
{'descr': '整体感觉不错，是家靠谱的旅店。。。。。。', 'star': 3}
{'descr': '到每个景点都挺方便的 喜欢！', 'star': 3}
{'descr': '酒店环境还可以吧，我个人不是那种要求非常高的人，本来订了别的旅馆，结果因为那边说客满，临时找的旅馆，108一晚上，价格还能接受，觉得性价比不错，比一般的旅馆新，就是没有窗，隔音差点，有人开门关门说话都能听到，还好昨天晚上比较累，也就睡着了~~离夫子庙有15~20分钟左右才到，感觉稍微有点远，而且离地铁站也远，不过店门出来几百米有公交站牌，可以去202转车去中山陵，所以我临时改变规划，当天晚上去夫子', 'star': 5}
{'descr': '环境一般，主要是为了出来游玩，地理位置非常好，离夫子庙老门东等都非常的近步行就可以到！', 'star': 3}
{'descr': '宾馆位置不错,离地铁也不算太远。卫生状况还可以,只是房间内还是发现了昆虫。', 'star': 3}
{'descr': '虽然蛮小的。但是设备很齐全。特价房我们挤了3个人进去刚刚好。学生省钱的好选择哈~', 'star': 5}
{'descr': '对得起这个价格了，离夫子庙中华门都很近，当然酒店环境隔音效果都不尽如人意', 'star': 5}
{'descr': '酒店房间卫生一般。地理位置挺好，但是酒店内外装修不敢恭维，建议好好装修。', 'star': 1}
{'descr': ' 房间还过得去', 'star': 3}
{'descr': '酒店很干净物有所值，周边位置也好，小吃很多。', 'star': 5}
{'descr': '还不错、就是靠在路边汽车声音有点大。', 'star': 3}
{'descr': '在这里我第一次外出住宾馆发现了蟑螂，空调象拖拉机。真后悔定了这家。', 'star': 3}
{'descr': '环境一般', 'star': 3}
{'descr': '下午住南京志友，感到，设施陈旧，太度还好，同位比价有点高，', 'star': 3}
{'descr': '看别人评论蟑螂，结果刚进房间还真就看见一只...无语了。', 'star': 1}
{'descr': '地理位置不错。但是房间实在太小。电视也小。网络还不能用。只用来装饰的。实在汗颜，下次再也不住这样的房间啦', 'star': 1}
{'descr': '酒店还不错，便宜，距离火车站不是很远，短住可以，常住差点意思', 'star': 3}
{'descr': '价格经济实惠，周边配套设施齐全，临近夫子庙、白鹭洲公园等旅游景点，但住宿条件、卫生一般！', 'star': 3}
{'descr': '主要是交通方便 入住条件很一般 但是价格在那 所以也还好了 但是特价房味道太大了 房间有点小 有小强是我不能接受的', 'star': 1}
{'descr': '干净整洁，服务周到，设施齐备，周边景点集中，是旅行者居住首选', 'star': 5}
{'descr': '房间有点小，但这还不算重要的，重要的是有小强，两间房间，都不只看到一只。', 'star': 1}
{'descr': '环境很好，交通也比较便利，离夫子庙比较近。房间卫生还可以，感觉枕套不是很干净。', 'star': 5}
{'descr': '住的是特价房（窗户），但实际是有窗户的，只是被外面的招牌挡住了，空间挺大，刚入住时房间还有烟味，不过打开排气扇就行了。', 'star': 5}
{'descr': '硬件条件不错，只是管理散乱，服务意识差，需要改进', 'star': 5}
{'descr': '一般', 'star': 3}
