{'短评内容': '地理位置好找 性价比高 设施完善。有写字桌台灯，电源插板布局合理，空间充足，饮水无异味，24小时热水，卫生干净空调给力，晚上比较安静。住了好多次了。就是缺洗澡间的塑料拖鞋', '短评打分': 5}
{'短评内容': '还行吧，就是没有浴霸，成都的酒店都没有浴霸吗？', '短评打分': 5}
{'短评内容': '还可以吧性价比很高的了。', '短评打分': 5}
{'短评内容': '酒店不错，很满意。下次还来。', '短评打分': 5}
{'短评内容': '一般一般！', '短评打分': 4}
{'短评内容': '房间设施还可以，比较经济实惠', '短评打分': 3}
{'短评内容': '网络太卡', '短评打分': 3}
{'短评内容': '房间大，设施全，属于公寓性质，安保需要加强，周边很方便，交通，餐饮，逛街，学校。都可以。这个价位值得推荐。', '短评打分': 5}
{'短评内容': '帮朋友订的，反馈说这个价位不错，安全性还需加强，房间不错，设施不错。安保待加强。如果能提供一些路线指引就好了。', '短评打分': 5}
{'短评内容': '房间还行 服务不错', '短评打分': 5}
{'短评内容': '环境不错，设施齐全，还好。不过有下降的趋势。住过多次了～', '短评打分': 4}
{'短评内容': '环境不错，设施齐全，还好。不过有下降的趋势。住过多次了～', '短评打分': 4}
{'短评内容': '环境不错，设施齐全，还好。不过有下降的趋势。住过多次了～', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '设备太旧，一夜未休息好！', '短评打分': 3}
{'短评内容': '还可以，每次来都会选择这里，很实惠!就是没有早餐不太方便，不过楼下的面包新语不错!', '短评打分': 5}
