{'短评内容': '房间很小啊', '短评打分': 3}
{'短评内容': '酒店卫生很好，还有净水器，大赞！', '短评打分': 5}
{'短评内容': '隔音太差，隔壁的说话声音，水声都听得到，晚上不要太尴尬啊，楼顶高跟鞋的声音像哒哒的马蹄，那个清晰，唉～太无奈¬_¬｀', '短评打分': 5}
{'短评内容': '这次会议很成功 酒店很给力 好评', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '挺不错的 就是房间有点小', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '服务好，价格实惠。携程预定更优惠。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般吧，房间也很小，我在携程上定的是25平米，结果给我一个12平米，而且价格比携程便宜，不知道信息怎么搞的。', '短评打分': 3}
{'短评内容': '附近环境不错，安静，吃饭方便。', '短评打分': 5}
{'短评内容': '隔音效果很差，隔壁晚上打电话，听得一清二楚。', '短评打分': 4}
{'短评内容': '特价房直接不能住，没有窗户，加钱升级，勉强入住', '短评打分': 4}
{'短评内容': '交通方便，干净卫生，服务周到，值得推荐。', '短评打分': 5}
{'短评内容': '周围配套齐全，环境好。服务也很好。', '短评打分': 5}
{'短评内容': '装修较好！隔音效果差！面积小！', '短评打分': 4}
{'短评内容': '挺好的，交通也很方便，旁边有个银座商场，距离商业步行街也很近', '短评打分': 5}
{'短评内容': '不错，服务态度好 房间不小。卫生间标准   不错  ', '短评打分': 5}
{'短评内容': '这个酒店确实不错，以后会带朋友来住，呵呵', '短评打分': 5}
{'短评内容': '总体还不错，就是前台服务员说那个房间打不开窗户，以为是坏的，也没介意，结果进房间一看一个大大的广告牌把整个窗户给堵死了，感觉不大爽~~', '短评打分': 5}
{'短评内容': '不错，唯一不足就是没窗户', '短评打分': 3}
{'短评内容': '感觉不错，又出风机，有熨斗，挺方便的！干净，空间也挺大！', '短评打分': 3}
{'短评内容': '酒店到青原近，周边餐饮发达，到张店比较方便，服务专业，房间干净利落，很好。', '短评打分': 3}
{'短评内容': '酒店环境不错，舒适度很好，下次有机会还会入住！', '短评打分': 5}
{'短评内容': '总体上还可以，以后不会住特惠房了，空气流通不好', '短评打分': 5}
{'短评内容': '很不错，交通也方便，特惠的房间不好，但是整体不错。', '短评打分': 5}
{'短评内容': ' 还是不错的 价格也可以  希望其他如家连锁能够多开一些特价房', '短评打分': 5}
{'短评内容': '房间不错，经济实惠。周边吃饭很方便', '短评打分': 3}
{'短评内容': '价格实惠，服务太多好，就是特价房是无窗的，有点憋屈，总体很好！', '短评打分': 5}
{'短评内容': '在齐赛电脑城对面，附件交通挺方便，对面还有个大超市', '短评打分': 5}
{'短评内容': '酒店的环境还不错，服务也还周到，和如家其他的酒店都差不多', '短评打分': 5}
{'短评内容': '还可以  个人感觉有点高！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好，环境比较好，位置比较方便，就是小了点，一个人住刚好', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 3}
{'短评内容': '面积够大，但也许是无窗的原因，通风不好，房间有股味道。', '短评打分': 5}
{'短评内容': '很干净，不错。就是房间有些干燥，添加个加湿器就好了。', '短评打分': 3}
{'短评内容': '不错，周围有银座超市，吃饭的地方也有，下次还会住。', '短评打分': 5}
{'短评内容': '酒店不错哦，住的很开心酒店不错哦，住的很开心', '短评打分': 5}
{'短评内容': '整体不错 房间很大 很舒服 推荐大家住这里', '短评打分': 5}
{'短评内容': '很方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净，住的比较温馨，2月房间保暖还可以，推荐大家试一试。', '短评打分': 5}
{'短评内容': '挺干净的，价格也便宜，很实惠。下次到淄博还住这。早晨的自助餐也不贵', '短评打分': 5}
{'短评内容': '服务良好，位置便利，干净便捷。出行入住算是不错的酒店。', '短评打分': 5}
{'短评内容': '服务不错 就是电视小点  空调效果不怎么样 希望能改进 ', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '紧邻兰州电脑城，交通便利，服务态度好，就是没有吃饭的地方', '短评打分': 5}
{'短评内容': '非常安静的酒店，附近吃饭也非常方便，强烈推荐', '短评打分': 5}
{'短评内容': '卫生较好，服务员有礼貌。停车不太你方便。', '短评打分': 5}
{'短评内容': '干净，卫生，服务态度好，安静~~~~~不错的选择~~~周围吃东西很方便', '短评打分': 5}
{'短评内容': '服务卫生还不错,有机会还会去住。就是稍微偏了点。', '短评打分': 5}
{'短评内容': '房间环境不错,床也大', '短评打分': 3}
{'短评内容': '恩不错…挺暖和', '短评打分': 3}
{'短评内容': '环境很好,卫生很干净,很安静', '短评打分': 3}
{'短评内容': '周边环境好，交通，购物都很方便，我每次到此地出差，几乎都住该酒店。', '短评打分': 5}
{'短评内容': '很好！价格合适，服务周到，卫生条件交好，就是中午、晚上没有餐厅，我已经住过多次', '短评打分': 5}
{'短评内容': '＋条件很好，服务也不错，谢谢。', '短评打分': 3}
{'短评内容': '服务超级棒，力挺！', '短评打分': 3}
{'短评内容': '设施较为简陋，靠近数码市场，停车不太方便，房间内没找到地图，平民化，要求不是太高的可以选择。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '该店位置还好，购物很方便，周边环境也好，性价比挺高，下次再入住。', '短评打分': 5}
{'短评内容': '酒店安静舒适，位置不错，下次还选它。', '短评打分': 5}
{'短评内容': '位置。服务。地段挺不错的。附近有商场，还有ＫＦＣ，永和豆浆快餐\r\n', '短评打分': 5}
{'短评内容': '房间空气不好', '短评打分': 5}
{'短评内容': '如家一直是不错的，周边吃饭买东西也都方便，就是不是商业区，逛街就不方便了。', '短评打分': 5}
{'短评内容': '位置不错，下次去还会再住，性价比也可以\r\n我是早晨5点半入住的，下午退房时酒店按规定要收一天半的房费，觉得极度不合理的情况下经理按照一天时间算房费，也算服务不错。', '短评打分': 5}
{'短评内容': '还算不错了', '短评打分': 5}
{'短评内容': '酒店基本情况还好。', '短评打分': 1}
{'短评内容': '酒店房间里是不提供吹风机的,所以每次洗完头之后都需要去 外面吹,感觉挺麻烦的,其他方面都还可以吧,比较一般化,感觉没有七天好,不过淄博没有七天酒店.', '短评打分': 3}
{'短评内容': '如果在房间里能增加一台吹风机就更好了，尤其是天凉了，洗澡后头发很难干。。。', '短评打分': 5}
{'短评内容': '一楼的房间受总台噪音影响很大,晚上无法休息.\r\n不够人性化,如提前十几分钟入店,要收半天的费用.\r\n', '短评打分': 5}
{'短评内容': '当进只住了一个晚上,没有过多观察,但是总的来说都还可以,没有遇到什么问题', '短评打分': 5}
{'短评内容': '一如既往的整洁，温暖的微笑和一如既往的隔音不良', '短评打分': 5}
{'短评内容': '都是如家，咋就差那么远呢？淄博两家，但又只能订到这一家！\r\n好象没有受过如家统一培训啊，预订的朝阳房间，但却是2楼，被外面广告牌遮得死死的，又回复没有房间调换，但马上有直接入住的客人却又有房间！！！\r\n2月入住，房间暖气不热，在下半夜要被冷醒的！！！\r\n还拼命拉你办她们的酒店卡！！！', '短评打分': 1}
{'短评内容': '酒店卫生很好，但是房间的隔音效果不是很好。', '短评打分': 5}
