{'短评内容': '还可以，环境较旧', '短评打分': 5}
{'短评内容': '还行，就是房间太小', '短评打分': 4}
{'短评内容': '价格实惠，牙具另外付钱', '短评打分': 4}
{'短评内容': '位置还不错', '短评打分': 3}
{'短评内容': '离火车站近，环境一般', '短评打分': 3}
{'短评内容': '没有早餐，洗漱用品要钱，拖鞋好臭不敢穿，要不是提前预定了不能退根本不会入住，第二天果断换宾馆。差评，体验度不佳', '短评打分': 1}
{'短评内容': '位置一般般啦', '短评打分': 5}
{'短评内容': '环境不错，下次还会入住', '短评打分': 5}
{'短评内容': '环境不错，下次还会入住', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '一般一般很一般', '短评打分': 5}
{'短评内容': '还不错。定了3天。可能没让没打扫。身体有点痒。其他还不错。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '性价比高，关键是干净', '短评打分': 5}
{'短评内容': '总台彭亮服务态度很差，团购就好象不让住，要住就要加钱，这样的说法很不舒服，最后还说认我找艺龙．反正住的很不高兴，房间还是不错，最后说一句，你们是服务行业，注意态度，我住了很多今天酒店，这家态度是最差的，希望能改进．', '短评打分': 3}
{'短评内容': '还不错值得推荐…………', '短评打分': 3}
{'短评内容': '还行，房间挺大，干净卫生。', '短评打分': 3}
{'短评内容': '都不错，就是房间小了点', '短评打分': 3}
{'短评内容': '还可以，比较优惠，还不错', '短评打分': 3}
