{'短评内容': '环境美 客栈老板和气 早上给我们做了好吃的米线 特别感谢老板 临走时忘记了一双鞋在阳台 老板给我邮回上海 真心觉得好', '短评打分': 5}
{'短评内容': '周边环境一般', '短评打分': 4}
{'短评内容': '老板人很好～有停车场，住湖边可以在屋里落地窗看日出，不怕冷哈哈哈，一楼有小花园，满意～', '短评打分': 5}
{'短评内容': '有停车场，老板人特别好很好脾气那种，把大家都安排得井井有条，我们住一楼有个花园，花很美，在湖边，早上湖有烟雾缭绕很仙可以在落地窗屋里看日出不怕冷哈哈哈总之好评满分', '短评打分': 5}
{'短评内容': '达祖村和里格半岛的店我们都住过了，图为里格半岛，湖景房，风景非常好，老板人也很热心，帮了我们很多忙。推荐旅行的人入住~~', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环璄还不错，硬件应提高', '短评打分': 4}
{'短评内容': '反正不住就对了', '短评打分': 1}
{'短评内容': '环境很好，老板热情。可惜一楼没有窗户，不太透气，使房间里会有厕所味。房间里能直接看到湖。停车位有一点点挤。', '短评打分': 5}
{'短评内容': '老板人很好，旅店紧挨湖边，环境非常舒服。每天早上傍晚都可以看看湖水。全5星', '短评打分': 5}
{'短评内容': '硬件设施很一般。但是价格来说很地道了。这个旅游风景区。这个价格是这个样子拉。但是可以看见湖景。很好啦。只是我们来的时候下雨下的天都灰了。小有遗憾', '短评打分': 4}
{'短评内容': '硬件还行，但性价比不高，淡季确实没必要在网上预定，现场便宜的多', '短评打分': 4}
{'短评内容': '这么高的价格是两个单人床的房间，国庆期只能忍了，不能忍的是马桶坐垫上还有尿渍。', '短评打分': 4}
{'短评内容': '非常不错的一次入住体验，值得推荐。老板人也很好啦，早饭也很美味，总之非常好的一次体验。', '短评打分': 3}
{'短评内容': '原本定的雅兰亭，可是客栈私自给我们改在了另外一家客栈，环境什么的与图片简直是天壤之别，一个字“坑”！', '短评打分': 3}
{'短评内容': '酒店正对着泸沽湖，风景很好.价格在国庆也不算贵.老板娘很热情.告诉我们怎么游玩.晚上还安排我们篝火晚会.非常好，这家酒店选对了！', '短评打分': 4}
{'短评内容': '不错。好处是安静，靠水近，没商业化。坏处是交通比里格和大落水稍有不便。如果再去泸沽湖，还会选这个村。', '短评打分': 5}
{'短评内容': '每晚断电挺烦人的 其它的都还不错 老板娘人很好 哈哈', '短评打分': 5}
{'短评内容': '一般，卫生条件一般，反正下次去是不会住的，不过湖景OK的', '短评打分': 1}
{'短评内容': '还可以，在湖边，房间可以，就是环境差点，路边车辆过有点吵', '短评打分': 5}
