{'短评内容': '没去，忘记去了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮朋友预订，朋友非常满意。', '短评打分': 5}
{'短评内容': '非常赞的酒店，交通方便房间舒服！', '短评打分': 5}
{'短评内容': '还不错，性价比也可以', '短评打分': 5}
{'短评内容': '蛮好的，经济实惠', '短评打分': 5}
{'短评内容': '京东的服务很棒，今天因为有事，取消了订单，服务速度很快，很快就帮我取消了，再接再厉', '短评打分': 5}
{'短评内容': '酒店很好，干净。服务员态度很好。', '短评打分': 5}
{'短评内容': '酒店很安静，早餐不太丰富的', '短评打分': 4}
{'短评内容': '一直常住的酒店，各方面都很满意', '短评打分': 5}
{'短评内容': '新的还可以，老的好差', '短评打分': 3}
{'短评内容': '酒店很好啦，在高邮这样的县城算很好的了，房间价格性价比高，比汇富金陵好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间不错，是我喜欢的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店一般，不过在高邮这个地方还是可以的，没办法，这个地方酒店的选择不多。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '酒店不错，就是前台的服务稍微差些!早餐也很好，下次还会住。', '短评打分': 5}
{'短评内容': '酒店的服务很好，我们退房时忘了一条习惯自带的白色枕巾，离开后才发现，电话联系后酒店积极地查找，最后在洗衣房找到，用快递帮我们寄回来，当我们到家时枕巾也寄到了。再次表示感谢。', '短评打分': 5}
{'短评内容': '优点：距离高速公路和加油站很近，饭店装潢不错，性价比较高。晚餐厅的厨师手艺不错。服务员服务态度好，值得表扬的是我的装有大量现金、证件的腰包落在了餐厅，第二天早晨才想起来。到总台一问就马上完璧归赵了，表扬！缺点：晚餐厅不能零点。房间隔音不好，能听到马路上的车响。楼道里说话的声音听得很清楚。细节上需要进一步完善，如房间门的锁因接触不良报警，衣柜灯开关接触不良。总结：性价比较高，服务水平不错，尤其适合自', '短评打分': 5}
{'短评内容': '帮朋友预定的酒店，非常不错，很满意，饭菜也很可口', '短评打分': 5}
{'短评内容': '酒店很干净在高邮算很不错的酒店了', '短评打分': 3}
{'短评内容': '已经是第二次入住了，是家很不错的酒店。房间空间很大，也很干净，值得推荐！', '短评打分': 5}
{'短评内容': '硬件不错，就是服务太差，太差，太差，从住店到付款，没有一点让人舒心的，大堂很暗，去客房没人引导，得自已问，', '短评打分': 1}
{'短评内容': ' 房间大的。酒店比较新，早餐需要提高', '短评打分': 3}
{'短评内容': '硬件总体不错，早饭自助餐品种不太多，口味尚可。关键是不太忙。房间面积较大，但没有吹风机。', '短评打分': 5}
{'短评内容': '酒店还不错，交通还可以，服务态度也不错，就是早餐没那么丰富，对不起4星级的价钱', '短评打分': 5}
{'短评内容': '酒店的房间还可以，简洁干净。酒店位于一条马路旁，整夜都会听到马路上汽车的声音，噪音太大。更糟糕的是早餐就有几个菜，基本上是我见到的酒店中早餐最差的。', '短评打分': 1}
{'短评内容': '酒店应该是高邮市真正的称得上酒店的一家了，房间装修很好，卫浴也很不错，早餐也算可圈可点，位置不在市中心，但高邮市很小，不是什么大问题。酒店服务不错，订房中心未按我要求更改房型，酒店前台主动想办法帮忙解决问题。赞！', '短评打分': 5}
{'短评内容': '缺点就是偏远了点。硬件不错。缺点就是偏远了点。硬件不错。缺点就是偏远了点。硬件不错。缺点就是偏远了点。硬件不错。', '短评打分': 5}
{'短评内容': '地毯有点潮，其它还好。下次去还住。\n午餐太家常。', '短评打分': 5}
{'短评内容': '还不错，离市中心有点距离，晚上比较安静，房间设施不错，性价比高。', '短评打分': 5}
{'短评内容': '房间还行，地点有点偏，吃饭不方便,毕竟是县级市所以只能说要求不高的话，就Ok', '短评打分': 5}
{'短评内容': '比较安静，大床很舒适！值得一住。', '短评打分': 3}
{'短评内容': '挺不错的酒店，房间布局温馨，卫生干净，就是早餐太简单了点。', '短评打分': 5}
{'短评内容': '酒店条件很好，价钱便宜，住的很舒服', '短评打分': 3}
{'短评内容': '预定的加州阳光酒店不错。', '短评打分': 3}
{'短评内容': '这个酒店不错，环境非常好，只是离市区稍微偏了一点，还是要推荐。', '短评打分': 5}
{'短评内容': ' 不错的酒店', '短评打分': 3}
{'短评内容': '我个人比较好干净，这家的卫生挺让我满意的。服务态度也不错，感觉挺亲切的。', '短评打分': 5}
{'短评内容': '前台服务客房服务都挺到位，卫生也不错，从床上用品到地面上的地毯都很干净，这点很满意。', '短评打分': 5}
{'短评内容': '房间打扫的挺干净，基本设施都有，毛巾都是一次性的，用着很放心，床也挺干净挺舒适。', '短评打分': 5}
{'短评内容': '房间很宽敞，落地式的大窗户，采光很好，颜色搭配的也很温馨，收拾的也挺干净，住的很舒适。', '短评打分': 5}
{'短评内容': '房间设计的挺现代化的，卫生间是玻璃形式的，窗户是落地形式的，能看到外边景色，整体感觉宽敞舒适。', '短评打分': 5}
{'短评内容': '酒店装修的挺好，服务也很热情周到，卫生方面也不错，位置也挺好，出行打车挺方便。', '短评打分': 3}
{'短评内容': '酒店看起来还比较新，房间也挺大挺宽敞，设施也挺完善，卫生也很好，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间收拾的挺干净，设施家具都挺不错，住的挺舒适，位置也挺好，交通挺便利的。', '短评打分': 5}
{'短评内容': '环境挺不错，挺干净，设施挺齐全挺高档，服务也挺周到，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店还不错，卫生打扫的挺好，服务也挺到位，基本设施都有，下次还愿意来。', '短评打分': 5}
