{'短评内容': '还好，住了三天，交通方便。服务态度好。住的很舒服。', '短评打分': 5}
{'短评内容': '酒店很好，房间大，价格适中。临近市公安局，安全。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不划算，早餐不像评价的好，应该说比较差……………………', '短评打分': 1}
{'短评内容': '酒店干净、价位合理，商务标间的也比较宽敞，周围购物也很方便。不满意的一点就是房间有烟的味道，即使没有客人的时候，也应该通风透气，保证室内空气清新。', '短评打分': 5}
{'短评内容': '客房装修不错，性价比高。', '短评打分': 3}
{'短评内容': '设施太差 早餐不丰富 工作人员不热情 性价比不高', '短评打分': 1}
{'短评内容': '新装修，味道很刺鼻，空调不好使。', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '不怎么样', '短评打分': 1}
{'短评内容': '感觉不错，卫生很干净，休息也安静…', '短评打分': 3}
{'短评内容': '位置比较偏，不是很喜欢。酒店还可以。', '短评打分': 1}
{'短评内容': '很不错的酒店，推荐！', '短评打分': 5}
{'短评内容': '不错\r\n\r\n', '短评打分': 5}
{'短评内容': '不错~ 挺干净的', '短评打分': 5}
{'短评内容': '比较不错的一家酒店，性价比不错', '短评打分': 5}
{'短评内容': '这就酒店不错，就是稍微有点贵！', '短评打分': 5}
{'短评内容': '设施感觉不错，无论是硬件、还是软件服务，都不错，性价比合适', '短评打分': 3}
{'短评内容': '总体很好，我很喜欢这家酒店！', '短评打分': 5}
{'短评内容': '酒店的软件方面还是不错的,服务挺热情的,设施方面也还可以了,周边环境也挺不错.出行很方便的.整体感觉性价比还是不错的.', '短评打分': 3}
{'短评内容': '总体感觉还不错，附件吃饭地方挺多。', '短评打分': 5}
{'短评内容': '去石家庄经常住，房间挺大，不错。', '短评打分': 5}
{'短评内容': '非常好，环境很好很好，很干净，感觉比如家干净，而且180元还有早餐，真的很不错，地址也不是很偏，很满意', '短评打分': 5}
