{'短评内容': '非常不错的地方，就在天坛公园，非常不错', '短评打分': 5}
{'短评内容': '酒店服务人员态度和蔼，热情周到，地理位置优越，交通便利，距离天坛公园还有地铁站仅需5分钟左右即可，房间宽敞明亮。', '短评打分': 3}
{'短评内容': '房间宽敞明亮，干净整洁，地理位置优越，交通便利，距离天坛公园仅需5分钟左右即到，酒店服务一流，服务员热情周到。', '短评打分': 3}
{'短评内容': '比较方便，还不错。', '短评打分': 5}
{'短评内容': '酒店不知道是不是因为空调刚修的原因，屋子里总有一股怪怪的臭味，关上空调通风会好点，但天气太冷，没办法，只能忍受...其他还好，交通很方便', '短评打分': 4}
{'短评内容': '环境舒适，卫生干净，赞赞', '短评打分': 5}
{'短评内容': '挺好 就是没有顶灯 太暗', '短评打分': 5}
{'短评内容': '环境可以价格稍贵', '短评打分': 5}
{'短评内容': '酒店不错值得推荐', '短评打分': 5}
{'短评内容': '房间不错，可惜碰见了装修', '短评打分': 5}
{'短评内容': '很好很好很好很好', '短评打分': 5}
{'短评内容': '位置不错，挺好找，就是收押金的时候只能现金有点尴尬啦', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店环形', '短评打分': 5}
{'短评内容': '酒店不错，挺好的！', '短评打分': 5}
{'短评内容': '酒店真是太旧了，订的两件商标，到了被告知只有普标，出差住酒店被升级经常有，被降级第一次，酒店服务人员都很热情，挺好。就是安排在五楼住，太闹心了，有个大会议室被传销等各会议占领，真心吵啊，出行方便，周边吃的也多。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '以后还会住的 挺不错', '短评打分': 5}
{'短评内容': '服务好  地点好  交通方便 房间干净', '短评打分': 3}
{'短评内容': '位置好 地点好  乘车方便快捷', '短评打分': 3}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间不错，就是卫生间太小', '短评打分': 5}
{'短评内容': '满意，住的很好', '短评打分': 4}
{'短评内容': '地理环境和好，旁边就是红桥市场和天坛东门，意外的发现了附近有个庆丰包子铺，吃货可以去尝试一下呀', '短评打分': 5}
{'短评内容': '很好，可以1点退房', '短评打分': 5}
{'短评内容': '酒店服务不错，地理位置很好，价格想对其他贵一些，但是感觉还是挺值得的。', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好，设施有些陈旧，推荐', '短评打分': 5}
{'短评内容': '该酒店地理位置比较好，前台服务态度也很不错。不足的地方就是设施有点旧，而且双人床是1米的，不是1.2米的，大床房估计连1.5米都没有。房间有点小。', '短评打分': 5}
{'短评内容': '酒店就在天坛东门，离地铁近，附近也有很多小吃店，性价比高！', '短评打分': 5}
{'短评内容': '北京几天出行多亏定了这家酒店，方便。大力推荐，服务人员态度好，多借衣架，吹风机换水，每天不厌其烦，感谢。就是洗澡水忽冷忽热希望改进。', '短评打分': 5}
{'短评内容': '   酒店还好挺干净的', '短评打分': 3}
{'短评内容': '地理位置挺好的，地铁和市场都很近，卫生间奇怪的小，设备太陈旧，别的还好，短暂住可以的。', '短评打分': 5}
{'短评内容': '挺好。卫生也不错。前台姓屈的先生态度特好，能力强。\n', '短评打分': 5}
{'短评内容': '服务态度好，位置好，交通方便，就是价格比原来贵了。', '短评打分': 5}
{'短评内容': '设施没有想象的好,但是位置很好找,服务员的服务态度非常棒!!!', '短评打分': 3}
{'短评内容': '设施和用品有些陈旧，枕套有些脏，疑似没有换，其他还好。总体感觉这个价位有点高。', '短评打分': 3}
{'短评内容': '还不错，各方面都比较满意，住的比较适合，以后还会考虑去住。', '短评打分': 5}
{'短评内容': '感觉不错，挺好的，环境幽静，服务到位', '短评打分': 3}
{'短评内容': '优点是比较安静，出行交通也还好，缺点是卫生间马桶不太通畅，电吹风不是每个房子都有的，不太方便', '短评打分': 3}
{'短评内容': '到店告知当天没有特价房！给我个升级的标准房在一层，要求换到二楼的大床房前台说二楼房间已全满，我说加钱换个，于是二楼就有个大床了，一进房间一股子味很不舒服，卫生间臭臭的，家具很旧，房间没有大灯，1点多开窗走的十点回来一进屋还是味道很大，第二天回来门卡消磁，屋里没有拖鞋了，卫生间的纸也没有了，又打电话让前台送上来的！相对来说宾馆比较安静，交通还算便利，价位稍高', '短评打分': 1}
{'短评内容': '酒店不错，交通便利，服务也不错，地处市中心却很安静，今后还会选择。', '短评打分': 3}
{'短评内容': '交通方便\n好找\n在天坛附近~\n服务态度很好\n卫生有待提高', '短评打分': 5}
{'短评内容': '位置很好，地铁公交都很方便，酒店很安静，适合休息。服务很到位，热水非常给力，', '短评打分': 5}
{'短评内容': '很舒服的一家酒店.服务挺好，下次去北京还在这里', '短评打分': 5}
{'短评内容': '环境不错，服务挺好，还有早餐也还行，住着挺舒服的！', '短评打分': 5}
{'短评内容': '酒店还不错，床略硬，出地铁后极容易找到。', '短评打分': 3}
{'短评内容': '位置较好，出行方便，五号线天坛东门站附近，房间干净，安静，设施有点旧', '短评打分': 5}
{'短评内容': '这是给爸爸妈妈们定的，之前是看了评价才选的这间，看来还真没有选错，爸妈决定再住一晚，酒店还给安排了旅行社，不错！', '短评打分': 5}
{'短评内容': '酒店还行，位置一般，本来性价比挺高的，就是三月一号以后涨价了就有点贵了', '短评打分': 5}
{'短评内容': '每次来都住这个宾馆很好的各方面都很合适好评', '短评打分': 5}
{'短评内容': '价格还行，房间不错，就是卫生间有点臭，可惜3月1日后涨价了', '短评打分': 5}
{'短评内容': '酒店不错，就是订的时候出了点小问题不是很愉快，，已经解决', '短评打分': 5}
{'短评内容': '还可以，房间挺好的，旅行居住不住，工作住的话不是很方便。', '短评打分': 5}
{'短评内容': '酒店还可以，大床房房间跟设施都还行，就是味儿有点重，周边吃用比较不方便，银行较少，吃的不多，', '短评打分': 5}
{'短评内容': '房间光线明亮，卫生一般，房门损毁，有安全隐患。', '短评打分': 3}
