{'短评内容': '京东，京东非常好，非常方便，非常好。方便快捷，价格合意(ノ๑`ȏ&acute;๑)ノ︵⌨', '短评打分': 5}
{'短评内容': '一切都挺好的，安静舒适、配套设施完善，工作人员友善.酒店的餐厅也很有特点.下次还会选择这里再次入住。', '短评打分': 5}
{'短评内容': '非常有特色，舒服干净，安静便利', '短评打分': 5}
{'短评内容': '酒店环境不错，客户和领导很是满意，酒店的服务很到位，交通也非常便利，出去到哪都方便，以后还会来光顾。', '短评打分': 5}
{'短评内容': '早餐种类很丰富 在1号楼。中西餐都有 我觉得中餐更多选择，服务的都是有礼貌的小帅哥。免费升级到主楼 很洋房啊，虽然六日有很多婚礼 但不影响住宿的安静。只是酒店配套设施没有了', '短评打分': 5}
{'短评内容': '真的很气愤！一晚上没有睡着，门口进门那个墙里面应该是水管 一晚上不是哗啦啦的水声就是风吹管道的声音 真的很响各种异响，隔壁说话都很清楚，最气愤的就是水管流水声 非常响 躺在床上就好像在溪边 第一次住酒店遇到这种情况！跟酒店前台反映凌晨四点多我拍下的视频后也只是说非常抱歉那个房间我也没住过所以我也不知道是什么情况到时会跟酒店反映其他也不再说什么 真的很生气 房间号是2102，也许是这间房间特殊情况 ', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '办公休闲在上海7天，最后四晚因为与客户静安酒店相近订了这里，第一天还是很喜欢酒店的氛围，早餐会让我想起之前在欧洲酒店体验，很不错，更重要还有院子里的小猫. 但是周六，周日连续的婚庆，承办酒宴严重影响了住店体验. 相比前几晚繁华隐居的住店体验这里还是相差甚远.第一次选择，也是最后一次，希望院里的小猫猫们可以幸福快乐～', '短评打分': 3}
{'短评内容': '真心没有想象的好', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '外观环境不错，房间设施较旧。', '短评打分': 4}
{'短评内容': '一直向往，终于有机会住一次。老式别墅，有腔调，感觉很舒服。花园漂亮，早餐的餐厅有阳光时，很惬意。普通房房间不具特色，但是送水果和小食，挺好！', '短评打分': 5}
{'短评内容': 'nice', '短评打分': 5}
{'短评内容': '老房子，别有风味。', '短评打分': 4}
{'短评内容': '外观很好。服务很不好，九点多打电话就没有人接电话了。', '短评打分': 4}
{'短评内容': '玛勒别墅酒店是一个特别的地方，有浓厚的法租界风情。', '短评打分': 4}
{'短评内容': '位置好，服务好，环境也好。晚上坐在草坪上，好安静。', '短评打分': 5}
{'短评内容': '环境不错，就是酒店老了一些，但是还是挺有格调的', '短评打分': 4}
{'短评内容': '环境很优雅，去年就想来住了，每次出差都预定不上，这次也算有缘，非常不错。', '短评打分': 5}
{'短评内容': '赞！着实让我们感受了不同的建筑文化，静谧的散发着优雅的贵族气息，让人思绪万千。。。我们住的是2号楼，有40平方，其实1号楼才是原汁原味的，不过价位也较高。', '短评打分': 5}
{'短评内容': '这次入住的是标房，床还蛮大的，挺好。周边比较闹猛，吃行都便利。', '短评打分': 3}
