{'短评内容': '酒店不错，就是前面在施工，看着有点乱', '短评打分': 5}
{'短评内容': '还可以，以后还会去', '短评打分': 5}
{'短评内容': '下次还会去', '短评打分': 5}
{'短评内容': '还可以，以后还会去', '短评打分': 5}
{'短评内容': '位置优越', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': 'dhklmbjkkkk', '短评打分': 5}
{'短评内容': 'vbmmmbvvbnjjj', '短评打分': 5}
{'短评内容': 'bnmmmmmbvvv', '短评打分': 5}
{'短评内容': '不错!！！！！！！！！', '短评打分': 5}
{'短评内容': '可以，还能用券。', '短评打分': 5}
{'短评内容': '帮朋友订的，比门店要便宜50块，性价比不错', '短评打分': 5}
{'短评内容': '商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。商务出差，很棒，经常住。', '短评打分': 5}
{'短评内容': '服务不错，地理位置很方便，不论乘地铁还是打车都很容易，尤其适合吃货，周围美食都在步行街，多多选择。好！', '短评打分': 5}
{'短评内容': '酒店旧了一些，不过卫生很好，服务也很好', '短评打分': 5}
{'短评内容': '环境不错，还送了一大盘水果', '短评打分': 5}
{'短评内容': '太棒了', '短评打分': 5}
{'短评内容': '出差在附近办事还是方便', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以、下次还去住、环境不错、住在解放碑市中心、。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店位置很好，前台客服服务态度很好，房间干净整洁。交通比较方便，客户反映还不错，下次还会选择此酒店。', '短评打分': 5}
{'短评内容': '可能是装修的缘故感觉没有以前那么方便', '短评打分': 4}
{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '还不错，酒店特别贴心，因为住的这天是生日，竟然还送了蛋糕??好感谢哦！贴心！', '短评打分': 4}
{'短评内容': '帮朋友订的台湾出差的同事都是订的这个酒店，应该住的很好，五星级酒店赞一个', '短评打分': 5}
{'短评内容': '交通便捷,出行购物方便,特别适合喜欢购物的mm', '短评打分': 3}
{'短评内容': '位置很好，在三峡广场正中间，交通便利，周边配套完善，酒店闹中取静。\n性价比高。', '短评打分': 5}
{'短评内容': '每次到重庆都住这里，停车方便，早餐还将就，就是旧了点', '短评打分': 3}
{'短评内容': '酒店地处非常热闹的三峡广场地段，各方面都非常方便，酒店早餐很好，房间装修也不错，隔音很好很安静，服务也不错，就是的士不太好打。', '短评打分': 5}
{'短评内容': '酒店设施还是稍显陈旧了，最关键是太不好停车，又处在闹市区，不仅很堵车，而且很吵。不过还好的是吃饭，购物都很方便。只是沙坪坝这片没有更好的酒店，只有这家了。', '短评打分': 5}
{'短评内容': '沙坪坝区域目前最好的一家酒店，房间宽敞。\n缺点是客房窗户有色玻璃颜色有点深，透光不好，房间内偏暗。', '短评打分': 5}
{'短评内容': '我去重庆的时候就住的这家酒店，性价比很高，经济实惠，早餐很不错！', '短评打分': 5}
{'短评内容': '有点老 地段不错 价格有点高 出门方便 不过在那里就这么几家，丽苑算是好的', '短评打分': 5}
{'短评内容': '房间太小,服务一般。', '短评打分': 3}
{'短评内容': '帮朋友订的，感觉还可以', '短评打分': 3}
{'短评内容': '早餐品种很少，服务员一点不热情，像欠他钱似得。叫明档做了个蛋卷，结果他在荷包蛋上撒了点菜就给我端上来了。所有的菜都是感觉生的。蛋炒饭也是很硬的。', '短评打分': 1}
