{'descr': '有停车位，后边有个小吃街', 'star': 4}
{'descr': '房间不错', 'star': 5}
{'descr': '酒店位置还行，离连岛大概有30小时的路程。但是酒店的设施老旧，毛巾浴巾旧的不能再旧了，最不好的就是前台的服务态度，太差了！问了两遍WiFi密码就不耐烦了，服务差，差，差', 'star': 3}
{'descr': '非常满意', 'star': 5}
{'descr': '酒店位置很好，吃饭很方便，但卫生不好，设施太陈旧', 'star': 4}
{'descr': '还不错，，，', 'star': 5}
{'descr': '服务态度不好，前台服务员没有耐心', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '热水器喷头是固定的，有点不方便', 'star': 4}
{'descr': '挺好的 还是连锁酒店靠谱经济实惠啊', 'star': 5}
{'descr': '交通方便，性价比尚可', 'star': 3}
{'descr': '只能说还行吧，唯一好一点的就是交通了', 'star': 4}
{'descr': '交通还算方便，性价比一般', 'star': 3}
{'descr': '太好了，住着很舒服，下次还去住', 'star': 3}
{'descr': '酒店出门就是brt公交站，出行不论去市区还是连岛都很方便…房间也很宽敞，和女朋友住得很满意，推荐下…', 'star': 3}
{'descr': '整个酒店只有七个吹风机，难以理解，其他都还不错', 'star': 3}
{'descr': '出去游玩方便，酒店较大。去连岛和花果山车程１５分钟左右。', 'star': 5}
{'descr': '比较大的店，有自己的停车场。距离连岛海滨较近，出来玩比较方便。', 'star': 5}
{'descr': '不错，性价比高！！！不错，性价比高！！！不错，性价比高！！！', 'star': 5}
{'descr': '房间稍微小了点，但是还算比较干净，价格实惠。\n酒店给我安排了靠大马路一侧的单号房间，吵死了，希望大家别选靠近马路的单号房间，譬如8309,8311。\n停车场比较小，迟点去就没地方停车了~~', 'star': 5}
{'descr': '酒店卫生还行，周边吃饭还是很方便，去花果山，连岛十五分钟距离，在酒店住两天洗澡没凉水，热水烫没法洗崩溃!', 'star': 5}
{'descr': '酒店非常清洁，服务态度好', 'star': 3}
{'descr': '觉得不错所以再次入住，不过价位若再能平民化一点那就更好，随着周边速8、7天等连锁酒店的纷纷开业价格若没优势客源势必会减少。', 'star': 5}
{'descr': '比想象中的要好，房间虽小但卫生间空间挺大的，虽然沿大马路但并不觉得嘈，交通也挺方便的', 'star': 5}
{'descr': '总体感觉不错，稍微有点吵，就餐条件一般！', 'star': 5}
{'descr': '位置不错，很卫生，好评啦', 'star': 3}
{'descr': '位置不错，很卫生，好评啦', 'star': 3}
{'descr': '酒店距离开发区非常近。 \n\n设施齐全，环境安静。 ', 'star': 5}
{'descr': '酒店距离开发区非常近。 \n\n设施齐全，环境安静。 ', 'star': 5}
{'descr': '房间面积大，干净，但是走廊里有异味。周围零星分布一些餐饮，开车去连岛的话还算方便', 'star': 5}
{'descr': '房间面积大，干净，但是走廊里有异味。周围零星分布一些餐饮，开车去连岛的话还算方便', 'star': 5}
{'descr': '环境不错，感觉很温馨，房间的陈设很别致，卫生也很好', 'star': 5}
{'descr': '环境不错，感觉很温馨，房间的陈设很别致，卫生也很好', 'star': 5}
{'descr': '环境不错，感觉很温馨，房间的陈设很别致，卫生也很好。', 'star': 5}
{'descr': '环境不错，感觉很温馨，房间的陈设很别致，卫生也很好。', 'star': 5}
{'descr': '酒店位置还算方便，内部管理好像不太到位，电梯里给人感觉不整洁。', 'star': 5}
{'descr': '酒店位置还算方便，内部管理好像不太到位，电梯里给人感觉不整洁。', 'star': 5}
{'descr': '该酒店很差。应该不熟悉连云港，就随便在网上订了一家，去了之后很后悔。地段是属于墟沟最最偏的，和其他连锁酒店如如家、77等相比。而且沿马路，吵的不得了。我和前台说我带着小孩，能不能换一间不沿马路的房间。她说我订的标准间都是沿马路的，要么换商务标准间，要贴钱的，态度差的不得了。以后再也不会住格林毫泰了', 'star': 1}
{'descr': '该酒店很差。应该不熟悉连云港，就随便在网上订了一家，去了之后很后悔。地段是属于墟沟最最偏的，和其他连锁酒店如如家、77等相比。而且沿马路，吵的不得了。我和前台说我带着小孩，能不能换一间不沿马路的房间。她说我订的标准间都是沿马路的，要么换商务标准间，要贴钱的，态度差的不得了。以后再也不会住格林毫泰了', 'star': 1}
{'descr': ' 非常好…离海很近…服务也特别好', 'star': 3}
{'descr': ' 非常好…离海很近…服务也特别好', 'star': 3}
{'descr': '酒店装修一般，对得起这个价格。早餐很一般。离海边比较近。', 'star': 5}
{'descr': '酒店装修一般，对得起这个价格。早餐很一般。离海边比较近。', 'star': 5}
{'descr': '价位适中，服务、设施均可，位置也不算偏，推荐。', 'star': 5}
{'descr': '价位适中，服务、设施均可，位置也不算偏，推荐。', 'star': 5}
{'descr': '不错啦。性价比很好，交通也方便，酒店服务员态度很好，房间条件不错。在李仓是很好的了。而且离机场很近。就是离市内远点。卫生间不错。饭菜也好吃。已经住了很多次了！', 'star': 5}
{'descr': '不错啦。性价比很好，交通也方便，酒店服务员态度很好，房间条件不错。在李仓是很好的了。而且离机场很近。就是离市内远点。卫生间不错。饭菜也好吃。已经住了很多次了！', 'star': 5}
{'descr': '房间比想象的大，卫生间的布局不太合理，没有洗漱台，洗漱用品没处搁；可以上楼顶晒衣服，有停车场在后院。周围靠近集贸市场，吃的很多。', 'star': 5}
{'descr': '房间比想象的大，卫生间的布局不太合理，没有洗漱台，洗漱用品没处搁；可以上楼顶晒衣服，有停车场在后院。周围靠近集贸市场，吃的很多。', 'star': 5}
{'descr': '房间挺大，也比较干净。有各种公交车直达各个景点。房间隔音不太好。', 'star': 5}
{'descr': '房间挺大，也比较干净。有各种公交车直达各个景点。房间隔音不太好。', 'star': 5}
{'descr': '设施很旧，一个电视机还是不能用的，房间里的卫生纸给的很少，每次都要问他们要，住了3天，第二天放了换床单的牌子在床上，但是还是没有换，价格在连云港算是便宜的，也许就是一分价钱一分货', 'star': 1}
{'descr': '设施很旧，一个电视机还是不能用的，房间里的卫生纸给的很少，每次都要问他们要，住了3天，第二天放了换床单的牌子在床上，但是还是没有换，价格在连云港算是便宜的，也许就是一分价钱一分货', 'star': 1}
{'descr': '酒店在连云区，是属于比较偏的地方，不在连云的闹市区，酒店的服务还好，连云港的人真的不错，硬件差了点，比较陈旧！特别要赞一下那个天马旅行社，服务很好，虽然没有参加他们旅行社的散客团，但是照样给了我们东海温泉的优惠价！很感谢！', 'star': 1}
{'descr': '酒店在连云区，是属于比较偏的地方，不在连云的闹市区，酒店的服务还好，连云港的人真的不错，硬件差了点，比较陈旧！特别要赞一下那个天马旅行社，服务很好，虽然没有参加他们旅行社的散客团，但是照样给了我们东海温泉的优惠价！很感谢！', 'star': 1}
{'descr': '还不错，就是房间窗户有点小，屋子里味道有点重。', 'star': 5}
{'descr': '还不错，就是房间窗户有点小，屋子里味道有点重。', 'star': 5}
{'descr': '交通便利，酒店很舒适，服务也很好。。下次来墟沟还会选择格林豪泰的。。。', 'star': 5}
{'descr': '交通便利，酒店很舒适，服务也很好。。下次来墟沟还会选择格林豪泰的。。。', 'star': 5}
{'descr': '还可以吧，但是酒店的窗户太小，屋子里味道有点重，早餐很一般。', 'star': 5}
{'descr': '还可以吧，但是酒店的窗户太小，屋子里味道有点重，早餐很一般。', 'star': 5}
{'descr': '很新很干净，推荐。就是旅游旺季价格比较高', 'star': 5}
{'descr': '很新很干净，推荐。就是旅游旺季价格比较高', 'star': 5}
{'descr': '酒店位置很好，有各种公交车直达各个景点。美中不足的是床不好，弹簧都突起了，睡起来很咯。', 'star': 5}
{'descr': '酒店位置很好，有各种公交车直达各个景点。美中不足的是床不好，弹簧都突起了，睡起来很咯。', 'star': 5}
{'descr': '酒店的位置和设施都不错，就是价格稍微高了点。楼下餐厅的海鲜价格似乎也还实惠', 'star': 5}
{'descr': '卫生，干净，还可以', 'star': 3}
{'descr': '环静好，下车也放便', 'star': 3}
{'descr': '房间挺大，也比较干净。就是冼发水太差。但下次还是会选择入住。', 'star': 3}
{'descr': '很干净，就是路边房间有点吵', 'star': 3}
{'descr': '旁边有美食街，就餐方便。房间干净，服务尚可。停车方便，免费。', 'star': 5}
{'descr': '服务不错，只是房间的电视坏了', 'star': 3}
{'descr': '不错！地方很好找~下了33路车一眼就看见了~房间也朝阳~就是房卡要每天刷有一点麻烦~其他都不错~', 'star': 5}
{'descr': '性价比挺高 不错。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '前台服务很好', 'star': 3}
{'descr': '，已经入住，感觉不错', 'star': 3}
{'descr': '干净,住的大床房,房间很大,服务挺好的.就是临街有点吵', 'star': 5}
{'descr': '.............总体来说还可以！..........', 'star': 5}
{'descr': '环境不错，也挺安静的！房间很干净、舒适。服务态度也不错！', 'star': 5}
{'descr': '挺好的。', 'star': 3}
{'descr': '  酒店总体环境不错,温馨舒适,如果有电脑就更好了。', 'star': 3}
{'descr': '房间很不错，就是在十字路口，有点吵。房间还算便宜。吃饭很方便！', 'star': 3}
{'descr': '不错的酒店干净舒适交通方便有机会来还住这里', 'star': 3}
{'descr': '服务很好，位置也不错，离开发区很近，就是早餐差了点。。。', 'star': 5}
{'descr': '经济，舒适。。。。。。。。。。。。。。。。。.....', 'star': 5}
{'descr': '电梯与楼梯内的油烟味太大了，停车挺方便，旁边吃饭也挺方便的。', 'star': 1}
{'descr': '酒店地理位置还行，门口可以停车，就是服务员的水平有待进一步提高', 'star': 5}
{'descr': '位置还行只是从外观看起来设计的格局就是有点特别拐来拐去的看着挺不舒服的，房间的面积还是挺标准的是比较干净，服务还不错，价格的话还是比较适中的。', 'star': 5}
{'descr': '该店位置很好,交通便利,到连云港的各个风景点都很方便,出门坐公交打车都很容易.', 'star': 5}
{'descr': '一般........................', 'star': 5}
{'descr': '地理位置比较好，适合自驾车出游，出门左拐饭店较多各种菜系可以选择；房间干净整洁，只是无早是个不足，整体性价比还行。', 'star': 3}
{'descr': '位置不错，隔壁一条街都是吃饭的地方，海鲜、火锅、川菜，湘菜一应俱全，卫生，设施都还不错，交通比较方便，适合自驾住宿', 'star': 5}
{'descr': '房间很小,刚入住,其他再说', 'star': 3}
{'descr': '位置还行，距离旅游景点算较近，但是设施实在一般，没办法，经济型酒店，要求也不能太高', 'star': 5}
{'descr': '卫生还是蛮好的，价格实惠，总体还是满意，推荐！！！', 'star': 3}
{'descr': '各方面还不错', 'star': 5}
{'descr': '酒店餐厅太糟糕，把我们点的很多鲜活的海鲜换成死海鲜！！！问厨师，他还骂人！！！太过分了！烧的菜也很一般，住宿还好，如果住在这的话，建议大家出去吃，否则很可能吃坏肚子！！！早餐自助，品种很少，味道一般，建议大家还是出去吃。总的来说还可以（除餐厅外）', 'star': 1}
{'descr': '已入住,房间很宽敞', 'star': 5}
{'descr': '以入住', 'star': 3}
{'descr': '这个酒店有个最大的问题是自己没弄清楚自己的准确地址！应该是（连云港墟沟中山西路店）中山西路58号！在连云区根本就没有中山路！只有中山东路和中山西路！害得我打了半小时的问讯电话！多开了有30公里的路！希望你们及时的更改一下正确的地址！另外室内宽线应该加长到好拉到床边！因为出来玩的人只有带手提电脑！再加上玩了一天后大部分人都会座在床上处一些网上事务的！没人再喜欢座在写字上看电脑的！', 'star': 3}
{'descr': '客房内缺少挂衣的柜子或挂衣架子！因为衣服没地方挂！客房内有灯泡不亮现象！缺少放包箱的柜子！', 'star': 5}
{'descr': '房间很小,而且晚上很吵马路上车辆来往听得很清楚,但是酒店还算整洁.', 'star': 1}
{'descr': '这个酒店给我第一印象还不错，房间也比较宽敞，卫生条件也还挺好的，酒店出去向左拐就有一条街全是吃饭的饭店，还挺方便的。但不足是我们定的两间房子的其中一间的空调室内机噪声太大，服务员来看了看说就这样的，结果那晚上我做的梦都是听见拖拉机的声音；还有就是我们将车停在了所谓的酒店停车场，但是第二天早上发现车被一辆当地的面包车挡在里面了，酒店前台说联系不上面包车主，让保安找找，结果早上保安还负责查退房，根本找', 'star': 5}
{'descr': '很好的酒店，如果下次有機會來的話我還會選擇入住', 'star': 5}
{'descr': '一般一般。相对价位差了点，位置偏了点…………', 'star': 5}
{'descr': '一般一般。相对价位差了点，位置偏了点…………', 'star': 5}
