{'短评内容': '洒店位量好，就在火车站售票处旁100米，周边吃饭太方便了，楼下斜对面有一家益兴的快餐店超好吃，这二天早中晚三餐都在那吃，洒店卫生好，上电递需刷卡才行，比较安全，虽然在火车站旁，但很安静，性价比高，去机场大巴处非常近，就在火车站对面，赶飞机方便。', '短评打分': 5}
{'短评内容': '大冬天居然有蚊子，咬了五六个包', '短评打分': 3}
{'短评内容': '房间比较干净，主要是出行方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '靠火车站挺近的，就是有点不好找，房间挺小，总体挺好', '短评打分': 5}
{'短评内容': '环境还不错的，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一直在这住', '短评打分': 5}
{'短评内容': '还行吧，给朋友订的酒店，朋友们没说什么。应该不会太差，出差回路过。………\ufeff|｡･㉨･)っ♡\u3000喜欢你♪ᵎ(•̀㉨•́)و ̑̑ 加油开心', '短评打分': 4}
{'短评内容': '不错挺干净的', '短评打分': 5}
{'短评内容': '离火车站近，实恵', '短评打分': 5}
{'短评内容': '晚上要赶火车，就在车站的附近选了这家，房间还算干净，设施一般，有Wifi上网，网速还行，周边环境一般。', '短评打分': 4}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '出行方便！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '酒店服务态度好.. 下次如果 还有机会去济南旅游 .还会继续使用', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行，出行方便，环境也很好', '短评打分': 5}
{'短评内容': '房间很好，交通方便，周边生活便捷，办事情容易，很不错，值得推荐，下次出差还会入住。', '短评打分': 5}
{'短评内容': '酒店服务不错，隔音有待改进。推荐入住。', '短评打分': 4}
{'短评内容': '环境不错，交通便利，客房也符合莫泰的水准，唯一的问题是靠近火车轨道一侧晚间噪音较多，还好关窗基本解决，应该是该区域内设施最新的连锁酒店。', '短评打分': 5}
{'短评内容': '整体不错，干净，装修简单，枕头蛮舒服的，隔音不错，在走廊能听到隔壁喧哗声，进房间却听不到。阴面临站台，阳面临一条小街，基本没什么车经过，都是吃饭的小店。墙上电视还挺新。淋浴水流很大，不过沐浴液很稀，洗发水用了平时几倍的量还是不怎么起泡泡。早餐自助15，种类很少，热菜就俩，汤类也俩，大米稀饭只喝了汤没吃米，因为口感不是新做的。前台竟然把交了500押金错录入300，幸亏有摄像头为证，不然真是百口莫辩', '短评打分': 5}
