{'短评内容': '还行了了了', '短评打分': 5}
{'短评内容': '卫生一般', '短评打分': 4}
{'短评内容': '除了没有挂衣服的地方，其他的都挺好的', '短评打分': 5}
{'短评内容': '还行吧，一般', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '酒店周边并没有邻近的景点，都是居民区附近，酒店感觉有些年头了，房间的硬件条件不好，浴巾毛巾都发黑色，换气扇是坏的，前台告诉我整个酒店的换气扇都不能用，插头三个里面坏了两个，不过提供的插线板。如果条件可以的朋友最好不选这家', '短评打分': 3}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '酒店环境较差  味道很大', '短评打分': 3}
{'短评内容': '家庭房的空间很大，就是床太硬，周边超市，商场都方便，离五四广场都挺方便的', '短评打分': 5}
{'短评内容': '房间太旧了，根本不值这个价。不会再去了。', '短评打分': 2}
{'短评内容': '好吧', '短评打分': 5}
{'短评内容': '家庭房很温馨，也很干净，价格适中，很不错的体验', '短评打分': 3}
{'短评内容': '啤酒节期间价格算可以，环境一般般', '短评打分': 3}
{'短评内容': '典型的青岛式家庭住宅，一个人一张床，临时定的，赶上携程地推在做活动，半价，在假期能住到这么便宜的房间，还算满意。', '短评打分': 4}
{'短评内容': '主题很好，住的很舒服，价格也很合理', '短评打分': 5}
{'短评内容': '还可以了。因为目的地距离这边近，青岛的夏天不好订房。商务型酒店价格都贵。', '短评打分': 5}
{'短评内容': '不错,就是打车有点困难,也许是旺季来的原因吧', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '很好，就是隔音差了点，价格挺便宜。房间还好', '短评打分': 5}
{'短评内容': '房间极差,噪音,陈旧,不提供任何早餐,198的价格实在不值...', '短评打分': 3}
{'短评内容': '房间蛮便宜的，不过就是床不怎么稳定的 !', '短评打分': 5}
{'短评内容': '帮朋友预定的，不知道环境设施的情况，暂且好评吧。', '短评打分': 5}
{'短评内容': '就是隔音有点差，其他都非常好，交通方便，卫生干净，楼下那个饭店也挺好吃的', '短评打分': 5}
{'短评内容': '位置不错，市中心，距离景点都很近。可以步行看奥帆夜景。隔音不太好，吵了点。综合来说，还不错。', '短评打分': 3}
{'短评内容': '环境优雅 交通便利。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 3}
{'短评内容': '很好，干净卫生，价格便宜，坐公交方便，一层是京苑小厨，饭菜可口，旁边是超市，也很方便的，就是服务态度再热情一点就更好了，下次还会入住的！', '短评打分': 5}
{'短评内容': '位置很好，坐公交方便，卫生也可以，一层的京苑小厨家常菜做得也很可口，旁边也有超市，很方便的，下次去青岛还会选择这！', '短评打分': 5}
{'短评内容': '很干净，地理位置好值得信赖，入住这里感到很舒服，服务人员也很到位,我住的是3楼卫生条件真的不错，青岛夏天气候潮这是不可避免的', '短评打分': 5}
{'短评内容': '很干净，地理位置好值得信赖，入住这里感到很舒服，服务人员也很到位的，很干净，地理位置好值得信赖，入住这里感到很舒服，服务人员也很到位', '短评打分': 5}
{'短评内容': '一楼房间潮湿，墙皮都爆了，还有蟑螂，网线还不好用，以后不会入住这家酒店了', '短评打分': 1}
{'短评内容': '还行，位置比较好，啤酒节开幕200多的价格，性价比还可以，不过房间卫生状况不怎么样。', '短评打分': 5}
{'短评内容': '卫生间较差，位置还算可以，楼下有超市购物方便，性价比一般。', '短评打分': 1}
{'短评内容': '墙壁都是发霉的痕迹，而且没有牙具，床单也不干净，不过套房倒是挺大的，适合一家人出行', '短评打分': 1}
{'短评内容': '酒店地理位置不错，交通便利，服务态度挺好。', '短评打分': 5}
{'短评内容': '地理位置不错，价格相对合适，环境比较卫生，停车的地方有点小', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '虽然比较一般，但是态度不错。而且小菜做的挺和南方人的口味，比较清淡，蛮合口，总体来说印象不错。', '短评打分': 5}
{'短评内容': '综合比较值得推荐，希望服务做好会更加好，谢谢', '短评打分': 5}
{'短评内容': '位置还可以，旁边有特色小吃，有公交站牌，最主要的是价格便宜，在青岛住这样的酒店已经很满意了。不过要是服务再跟上会更加完美。', '短评打分': 5}
{'短评内容': '环境还可以 靠近海信 很好的。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '大床房较小，但挺干净的。比较好', '短评打分': 3}
{'短评内容': '服务态度极差，环境也不好。条件太一般了，没有第二次了。', '短评打分': 1}
{'短评内容': '酒店不错，距离出差地方便，卫生条件尚可，房间略小！', '短评打分': 5}
{'短评内容': '楼下就有小超市很方便，距离台东也不远，房间不大很温馨', '短评打分': 5}
{'短评内容': '还比较干净，就是窗外晚上太吵！', '短评打分': 3}
{'短评内容': '还不错啊，位置比较好，在市里，出行比较方便。', '短评打分': 5}
{'短评内容': '酒店服务还行，特价间99元哦！房间有点小', '短评打分': 3}
{'短评内容': '位置不错 还算干净 楼下京苑小厨的家常菜做的很不错', '短评打分': 5}
{'短评内容': '酒店环境还行房价适中，', '短评打分': 3}
{'短评内容': '这是什么酒店啊，里面连个电梯都没有，太差了。。。。', '短评打分': 1}
{'短评内容': '干净简单有特色，环境交通位置优越。服务态度好，各方面设施都不错', '短评打分': 5}
{'短评内容': '地理位置尚可，卫生条件不错，每次有朋友来青岛，一般都会推荐住在这里！性价比相对来说，是比较高的！', '短评打分': 5}
{'短评内容': '有一些房间还是可以的，这里位置比较好，如果对卫生和舒适度要求高的话不建议住此', '短评打分': 5}
{'短评内容': '酒店卫生一般，服务一般，电话坏了没人修，价格还便宜。', '短评打分': 1}
{'短评内容': '不错噢，挺方便的，到几个海水浴场也挺近的，就是高峰的时候打的不太方便', '短评打分': 5}
{'短评内容': '房间不隔音，毛巾脏的我都不敢用，房间有霉味！不是因为行程临时改变找不到宾馆，我怎样也不会住这个！', '短评打分': 1}
{'短评内容': '＋墙面不是很干净，位置还可以', '短评打分': 5}
{'短评内容': '酒店比想象中的小，位置也一般，窗子都是坏的！应该说物非所值！', '短评打分': 3}
{'短评内容': '房间太小了，也不干净，下次不会入住了', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，卫生一般，价钱便宜！', '短评打分': 5}
{'短评内容': '酒店位置不错！干净！性价比挺高！', '短评打分': 5}
{'短评内容': '很不好~性价比超低！服务不好~屋子小~隔音差~墙体还有发霉的情况！新进到屋子里就发现床上有类似于脚印的痕迹，让服务员更换，他们的态度还极不情愿~', '短评打分': 1}
{'短评内容': '有点霉味，不过还可以。夏天去青岛这个价格还算可以了。', '短评打分': 5}
{'短评内容': '位置不是很好找，但卫生设施等还可以，房间挺宽敞，但没早餐', '短评打分': 5}
{'短评内容': '趁旅游旺季打劫而已 价钱和房间的品质实在无法一致 ', '短评打分': 1}
{'短评内容': '酒店一般', '短评打分': 5}
{'短评内容': '该酒店住得一般，千万不能相信该酒店推荐的旅行社，服务态度很差。 ', '短评打分': 1}
{'短评内容': '+房间还行，没电梯，其它的还未体验', '短评打分': 5}
{'短评内容': '房屋一般，服务一般，卫生一般，设施一般，', '短评打分': 5}
{'短评内容': '在旅游旺季还有这种价格的酒店，我还能有什么过多的要求呢？价格，马马虎虎，服务马马虎虎，酒店马马虎虎', '短评打分': 3}
{'短评内容': '有些老旧的酒店，只有四层，我住的是无窗房，终日不见阳光，有股发霉的味道。以至于我房间里的空调和换气扇每天都只能处于工作状态。但凭良心说，交通还算便利。', '短评打分': 5}
{'短评内容': '酒店的位置很好，交通方便；大床房有点小，除了床外几乎没有活动空间，另外一间标准间还可以，面积是大床房的两倍多；酒店设施及卫生状况一般，建议自带毛巾等物品。该酒店性价比较高，总体来说打70分吧。', '短评打分': 5}
{'短评内容': '破....关门的时候感觉墙都要倒了似的...而且环境很一般  不建议去...', '短评打分': 3}
{'短评内容': '酒店一般，没有电梯，服务员在没有叫打扫房间的情况下是不会打扫房间的', '短评打分': 1}
{'短评内容': '交通方便，服务态度还不错，房间设施相对它的价格稍微差了点', '短评打分': 5}
{'短评内容': '旧旧的  有点破  墙也非常薄 一关门感觉整个墙都呼扇一下..而且非常小..弹簧床  都ge腰..垫着被睡的 ..', '短评打分': 3}
{'短评内容': '这个简直了、、、太一般了  也不知道是我们定的房间不好还是都这样 感觉旧旧的  两个枕头的颜色还不一样  让服务员现换的枕头 但是旁边的餐厅菜很好吃', '短评打分': 1}
{'短评内容': '只能说在旅游旺季 啤酒节这种时候，算的上是个比较便宜的地儿。客房里面谈不上好，不过看在价格的份上就忍了。\r\n不过货比货气死人，跟上个月在深圳200多一晚的四星级酒店没法比', '短评打分': 1}
{'短评内容': '位置挺好，在市中心，往前走点就是巴黎春天。房间挺大的，就是设施比较陈旧，腐蚀性挺大的，显得不是很舒适。', '短评打分': 5}
{'短评内容': '位置很不错！其他都还有待于加强。', '短评打分': 5}
{'短评内容': '总台服务好，客服卫生及时，休息舒适，紧邻海信研发中心，附近就有社区性质的海信超市，公交站点，家庭式餐馆好多，晚上也可在外面烧烤，出行非常方便。', '短评打分': 5}
{'短评内容': '我介绍朋友去住的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总体看挺好的，位置不错', '短评打分': 5}
{'短评内容': '房间整洁，干净舒适，位置比较好，交通方便，但房间应该配备电话机与服务指南。 ', '短评打分': 5}
