{'短评内容': '不错房间干净 安全 ', '短评打分': 5}
{'短评内容': '清洁阿姨很好，前台服务态度有很大改善空间。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '有点小，其他都满意，出行方便，', '短评打分': 4}
{'短评内容': '垃圾垃圾垃圾垃圾啊', '短评打分': 5}
{'短评内容': '来办事图便宜住了这里，非常之后悔，前台告诉我所有的门都不能反锁！！安全太成问题了，我想提前退房，但是告诉我刷卡交的房费不能退。酒店安全是第一位的，然后是干净，体验很不好，住的提心吊胆', '短评打分': 3}
{'短评内容': '很好很划算的酒店，房间干净卫生，服务员态度也很好，酒店各方面不错，就是我的房间水有点小，洗澡没洗好。', '短评打分': 5}
{'短评内容': '暖气不够热，洗澡热水不够大，住着有点冷……', '短评打分': 4}
{'短评内容': '正在装修，汽油味道比较大，房间还行', '短评打分': 4}
{'短评内容': '很好，出门很方便！', '短评打分': 5}
{'短评内容': '地理位置很便利，出门公交地铁都很方便；适合在武汉游玩居住； 卫生条件较好，有待提高；服务有待提高。值得入住。离学比较近，很方便。', '短评打分': 4}
{'短评内容': '不错的，性价比很高，也很干净，可以的', '短评打分': 5}
{'短评内容': '不错的，性价比很高，也很干净，可以的', '短评打分': 5}
{'短评内容': '不错的，性价比很高，也很干净，可以的', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，环境不错', '短评打分': 5}
{'短评内容': '房间比较小  早点太难吃了', '短评打分': 4}
{'短评内容': '很好，交通也蛮方便', '短评打分': 5}
{'短评内容': '环境什么的，都很好', '短评打分': 5}
{'短评内容': '非常满意的房间.京东上面订酒店还真是方便.', '短评打分': 5}
{'短评内容': '环境还可以，也蛮方便的，性价比也可以，下次再来，', '短评打分': 5}
{'短评内容': '第一次住大床房，真大，舒服，空调漏水不好', '短评打分': 5}
{'短评内容': '条件不错，如家嘛，经济实惠，住着也舒服。。。。。。。。。。', '短评打分': 5}
{'短评内容': '条件不错，如家嘛，经济实惠，住着也舒服。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通很方便但双人房的空间有点小啊', '短评打分': 3}
{'短评内容': '无缘无故在房间里丢失了一张地图，问了服务员也没找到。很神奇……', '短评打分': 1}
{'短评内容': '电视机突然短路了，当时反映给前台了，叫了个工程人员过来，没修好就那么走了，也没有交代处理结果。洗澡的水比较凉', '短评打分': 1}
{'短评内容': '住过两次这家了，上次只有一层能用wifi，现在住二层也能用了，手机上网很方便', '短评打分': 5}
{'短评内容': '干净。。。。交通便利。。。价钱也合适。。。。', '短评打分': 5}
{'短评内容': ' 安静，但服务态度有待提高！', '短评打分': 3}
{'短评内容': '比较安静，一直觉得性价比很高，如家如家，快乐如家，呵呵，有机会还回去住的，强烈推荐', '短评打分': 5}
{'短评内容': '挺好，交通方便。有吃有喝有大超市。就是每一次别找错了。附近还有一家如家。', '短评打分': 5}
{'短评内容': '交通很方便，离汉口火车站很近。酒店洗浴水很大，很舒服，下次还会入住', '短评打分': 5}
{'短评内容': '跟同济医院比较近，还可以啦，连锁经济……推荐一下', '短评打分': 5}
{'短评内容': '跟同济医院比较近，还可以啦，连锁经济……', '短评打分': 5}
{'短评内容': '不错 提供干净营养的自助早餐 舒适的住宿环境 一层有稳定的wifi热点', '短评打分': 5}
{'短评内容': '    位置离上班的地方比较近，随便走走就到了，比较好', '短评打分': 5}
{'短评内容': '真的不错，位置很好，离汉口火车站很近，有直达公交，离同济医学院、中国地质大学也很近，走着就能到，距离武广，江汉路也不远，总之出行还是挺方便的。酒店感觉应该是新开的，房间的设施都很新，这点是最满意的，服务是如家惯有的很好，很不错。价格方面还是比较划算的，武汉基本上快被7天垄断了，但7天的价钱在武汉确实比如家要贵，所以性价比还是蛮高的，尤其是在网上订房还能便宜更多，总之这回还是满意的', '短评打分': 5}
{'短评内容': '坏境还不错，位置稍微有点偏。蚊子比较多，不过有点蚊香 还有就是晚上没有被子 这样不太好', '短评打分': 5}
{'短评内容': '常在外出差 干净就好', '短评打分': 3}
{'短评内容': '酒店很干净整洁，前台的服务态度很好。', '短评打分': 3}
{'短评内容': '住宿环境还不错。', '短评打分': 3}
{'短评内容': '环境很不错，入住舒适', '短评打分': 3}
{'短评内容': '人员态度蛮好，旁边就是公交车站，交通也蛮方便。', '短评打分': 5}
{'短评内容': '我觉得价格优惠,总体觉得还是很不错的,很安静,哈哈.', '短评打分': 5}
{'短评内容': '旅馆的条件还好,也比较安静,床也很大,哈哈.', '短评打分': 5}
{'短评内容': '中间因为同事原因改换房间，换后房间卫生间地漏有点堵，灯不亮，向前台反映，很快就修好了，总的来说服务不错', '短评打分': 5}
{'短评内容': '还不错、 态度很好、 吹风机什么的都可以免费的提供', '短评打分': 5}
{'短评内容': '酒店服务很不错，因为网络问题导致的订单问题很快给解决了', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '房间很小，但是很干净，员工的服务很热情，周围环境很好，不吵，但是吃饭的地方有点少。总之是个不错的地方，值得住……', '短评打分': 5}
{'短评内容': '好朋友情很喜', '短评打分': 3}
{'短评内容': '网速不行', '短评打分': 3}
{'短评内容': '不错，挺干净的，就是靠马路的房间有点吵', '短评打分': 3}
{'短评内容': '好…第二次入住了', '短评打分': 3}
{'短评内容': '还不错啊··房间比较宽敞，而且相当干净，比想象的舒适多了，很不错，值得推荐', '短评打分': 5}
