{'短评内容': '酒店环境很好，很干净，交通方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有吹风机 卫生间抽风貌似也是坏的 老板娘挺热情的', '短评打分': 4}
{'短评内容': '酒店没有商务二个字，除了位置便利外，没啥优点，房间味道大，没有停车位，国庆期间上涨400之上真心觉得划不来。', '短评打分': 3}
{'短评内容': '房间够大 一家人住可以住的很舒服 离码头也不远 老板也挺好说话的', '短评打分': 4}
{'短评内容': '沈家门第二天坐船去东极岛 因此借宿一晚 不错哟 挺干净的 ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境一般般，但是靠着码头，挺方便的', '短评打分': 5}
{'短评内容': '没有窗口', '短评打分': 4}
{'短评内容': '我真的是无语，奇差无比，简直令人太郁闷！心情down到最低点，前台各种赤搏，酒店还有客人赤搏开着门，我也是够了', '短评打分': 2}
{'短评内容': '国土何行v沟通房东许多人冯超v何行', '短评打分': 5}
{'短评内容': '过一会刚刚好举个vv当当', '短评打分': 5}
{'短评内容': '因为第二天要近山礼佛，所以在码头附近过渡一晚，每年相同的行程，所以每年都住这家，性价比挺高的', '短评打分': 4}
{'短评内容': '因为第二天一早要近山拜佛，所以在码头这里过一夜，酒店房间还算干净，这个价格性价比挺高的', '短评打分': 4}
{'短评内容': '很不错，周围全是海鲜大排档，环境也不错，推荐√', '短评打分': 3}
{'短评内容': '房间真心小，老板娘态度还可以', '短评打分': 3}
{'短评内容': '还行吧，总体还可以，地理位置也不错，老板娘服务态度很好', '短评打分': 5}
{'短评内容': '不错的酒店，挺干净的，隔音的确不是太好，不过还是不错的', '短评打分': 5}
{'短评内容': '图片和实物完全不相符，隔音效果极差！设施简陋到极致！门都是坏的！还有一股怪味道！失望极致！', '短评打分': 1}
{'短评内容': '照片太假，连门头都不一样。环境很差，隔音差到不可想像，走廊**，房间都能听清。没有独立停车场，就是停在马路上。只有少量房间有宽带。', '短评打分': 1}
{'短评内容': '一开始预定的是大床房，不过真的很小，后来不得已换成标间，不过哦也不大，但是也算是对得起这个价位了。整体还行，也算干净，老板娘人也不错。', '短评打分': 5}
{'短评内容': '吃海鲜夜排挡比较方便 总体就是环境较小 但是店家信誉高 我们去的时候订的标间没有了 给我们安排了一个商务标间 可以打牌 超好的', '短评打分': 5}
{'短评内容': '怎么说呢，舟山的住宿貌似都是民营的，要求不能太高', '短评打分': 5}
{'短评内容': '房间小了些，但是还算干净。', '短评打分': 3}
{'短评内容': '位置很不错，但是隔音效果很差。', '短评打分': 3}
{'短评内容': '环境不错，隔音不是很好，非双休日价格不错', '短评打分': 5}
{'短评内容': '房间还不错，挺漂亮的\n然后老板也挺好的\n还有免费的电脑上网', '短评打分': 5}
{'短评内容': '酒店地处较偏僻，所以早上很安静，但是房间里面有股霉味，似乎入住率不高', '短评打分': 3}
