{'短评内容': '房间还算宽，空间够大，就是装修显旧了点。要是再光亮一点就更好了', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '脏乱差', '短评打分': 1}
{'短评内容': '价格实在，能免费停车', '短评打分': 4}
{'短评内容': '不喜欢，房间空气差，设施很旧！', '短评打分': 2}
{'短评内容': '还不错，就是有点旧', '短评打分': 5}
{'短评内容': '非常好！下次还会入住', '短评打分': 5}
{'短评内容': '前台服务垃圾', '短评打分': 1}
{'短评内容': '很脏，走进去整个人都不好，阴气太重。听朋友说出过事，澡都没洗就走了。真是一分钱一分货', '短评打分': 1}
{'短评内容': '卫生服务价格都还行.', '短评打分': 3}
{'短评内容': '不错、vvvvvvvvvv', '短评打分': 3}
{'短评内容': '很好，服务和设施都很好', '短评打分': 3}
{'短评内容': '还不错，承诺返现为什么会冻结？', '短评打分': 3}
{'短评内容': '很不错，设施比较新，服务很到位，整体都很好', '短评打分': 3}
{'短评内容': '来这里很多次了！一如既往的好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '半小时', '短评打分': 5}
{'短评内容': '整体还不错，只是离机场有点远，不过可以送机还好！', '短评打分': 5}
{'短评内容': '挺不错的，主要有专车接送机场，性价比蛮高', '短评打分': 5}
{'短评内容': '酒店服务很好，接机方便，服务台的工作人员素质高，司机还主动的帮助提包。非常感谢！', '短评打分': 5}
{'短评内容': '再次回到酒店，酒店的前台服务非常的好，接机很准时，推荐豪华房，以后还会入住', '短评打分': 5}
{'短评内容': '酒店离机场很近，服务人员工作态度非常友善，酒店还负责接机送机，司机师傅非常守时，并且帮助提行李，我个人非常认可这家酒店，对于出行的人选择这家酒店来回于机场真的是太方便了。', '短评打分': 5}
