{'短评内容': '房间是很小，我要的是豪华大床418的，不知是否前台折了', '短评打分': 3}
{'短评内容': '略显陈旧，相对于这个价格，房间偏小，装修应该是有15年以上', '短评打分': 1}
{'短评内容': '价格地点交通都是不错的，但房间只保留到下午5：00实在太早了。', '短评打分': 5}
{'短评内容': '硬件陈旧,没有快捷形酒店舒适,相比之下价格有点高.', '短评打分': 1}
{'短评内容': '还可以，地段不错，就是设施有点旧了。 有点吵。  总的来说交通方便。', '短评打分': 5}
{'短评内容': '酒店有些差，服务不好，早餐差。。。。。。。。', '短评打分': 1}
{'短评内容': '商务房比标准房舒服好多，不差这点钱，还是推荐住商务房间。', '短评打分': 3}
{'短评内容': '价格实惠', '短评打分': 3}
{'短评内容': '酒店前台服务态度好，在仁济医院办事的话，值得入住。', '短评打分': 3}
{'短评内容': '居然不能寄存行李，说是没有安检设备，从未碰到过。', '短评打分': 1}
{'短评内容': '环境明显不如2年前了，周围到处都是新建筑，由由太老了。前台确实有点寒酸，有点象招待所。', '短评打分': 3}
{'短评内容': '真的就像别人说的一样，旁边就是2个喜来登大酒店，分别是4星＆5星的大酒店。位置也非常方便。', '短评打分': 5}
{'短评内容': '酒店有点旧了，但服务员服务还不错，整体上还可以', '短评打分': 5}
{'短评内容': '地理位置很好，交通和购物都很方便，附件有地铁4号线，塘桥站', '短评打分': 5}
{'短评内容': '性价比较高，位置比较中心，出行交通方便。还不错~！', '短评打分': 5}
{'短评内容': '早餐太差了！！不临街的房间还可以，出门就是4号线，交通方便。', '短评打分': 3}
{'短评内容': '价格很合适，在上海算是很便宜的了。交通比较方便，在塘桥地铁站旁。房间面积还可以，就是稍微有些旧。其他方面还不错。', '短评打分': 5}
{'短评内容': '商务大床房 床很软 很大 很舒适  环境也比较干净    ', '短评打分': 3}
{'短评内容': '感觉尚可，但性价比不高。设施比较陈旧，卫生还可以。', '短评打分': 1}
{'短评内容': '距离八佰伴很近，八佰伴人称是购物天堂，走着过去也很方便，不信住住看。', '短评打分': 5}
{'短评内容': '只要不预定没有窗户的房间，就还是很不错的，虽然没有窗户的房间价格要便宜蛮多的。', '短评打分': 5}
{'短评内容': '闹中取静，交通便利，距离巴黎春天又近，附近还有个叫四季亭的日本料理味道也不错，地铁六号线也在眼前，强力推荐。', '短评打分': 5}
{'短评内容': '外楼看起来不怎么好，但是房间还不错哦，比想象中的好多了。价格算合理吧，在上海', '短评打分': 5}
{'短评内容': '我们的客人经常指定要求预定这家由由大酒店，因为与旁边的喜来登和福朋比较，价格只有三分之一甚至更多，但地理位置是一样的。', '短评打分': 5}
{'短评内容': '酒店主楼其实早就卖给富朋了，还以为是原先的由由，应该是很多年前的由由，一办入住就感觉给卖了。饭店设施比较老，根本不值现在的价。房间也是非常吵，以后不会再选此酒店了。', '短评打分': 1}
{'短评内容': '酒店还可以，坐地铁打车都很方便的，就是没有送早餐，', '短评打分': 5}
{'短评内容': '交通超级方便，而且价格相当便宜，很难想象这种地方每晚的价格还不到400元。', '短评打分': 5}
{'短评内容': '交通便利，价格合适，闹中带静，旁边还有巴黎春天等，物有所值。', '短评打分': 5}
{'短评内容': ' ＋环境还行', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地点方便，如果需要定浦东交通便利地点，这是个很好选择', '短评打分': 5}
{'短评内容': '不错的选择！日方出差人员住在这里很方便的~', '短评打分': 5}
{'短评内容': '位置非常好，出行很方便。性价比一般。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店地理位置很好,离客户比较近,方便工作,环境干净.', '短评打分': 5}
{'短评内容': ' 酒店设施比较陈旧，但还是比较干净，床也挺舒服的。', '短评打分': 3}
{'短评内容': '交通很便利的酒店。', '短评打分': 3}
{'短评内容': '价格还可以交通也很方便，就是房间的隔音不好！', '短评打分': 5}
{'短评内容': '很好。。。值得一去。卫生还不错的。。恩，服务也可以。', '短评打分': 5}
{'短评内容': '＋酒店离4号线塘桥站很近，但是一共有3个由由酒店，这个是最老的那个。房间还不错，如果靠马路这边的会有点吵。', '短评打分': 3}
{'短评内容': '因为是世博期间，上海所有的物价都涨得厉害，靠近世博会的酒店价格更是离谱。', '短评打分': 1}
{'短评内容': '交通相当方便，旁边还有日本料理四季亭，150元随便吃喝。', '短评打分': 5}
{'短评内容': '服务员的服务态度实在是很差，不知道是上海世博酒店员工难找，还是别的什么原因，给人留下的印象真的很差。。。。素质不高', '短评打分': 1}
{'短评内容': '地理位置相当好，服务也不错。', '短评打分': 5}
{'短评内容': '看世博会不错的选择~价格有些贵，可是世博会的场馆在附近！', '短评打分': 5}
{'短评内容': '好方便', '短评打分': 5}
{'短评内容': '跟福朋喜来登在一起，是前楼和后楼的关系，距离南浦大桥比较近，所以到浦西也很方便。整体性价比不错', '短评打分': 5}
{'短评内容': '非常陈旧的房间，隔音效果超级差，对不起这3颗星', '短评打分': 1}
{'短评内容': '好,性价比合理,我喜欢.去上海我都是网上订它.', '短评打分': 5}
{'短评内容': '老酒店，位置好，服务一般', '短评打分': 3}
{'短评内容': '出行方便，服务一般，价格有些不稳定，经常变', '短评打分': 5}
{'短评内容': '总体而言还不错。', '短评打分': 5}
{'短评内容': '设施太旧', '短评打分': 5}
{'短评内容': '位置非常好，出行很方便。性价比一般。', '短评打分': 5}
{'短评内容': '这个地段,住这样的酒店,还是物有所值的,除了设施有些稍旧,其他没什么问题.', '短评打分': 5}
{'短评内容': '酒店的整体环境还可以的,服务卫生都还可以的,价格的有点高了', '短评打分': 5}
{'短评内容': '這不是三星的，除了地铁方便，打的，招車很不方便。很吵。吃飯也不方便。和隔壁的大酒店同名同門号，師傅把你放在大酒店門前，進去入住才知道搞錯了，拖著箱包跑，下雨時淋了一身水。太差了，沒有行李員，但值得一提的是服務態度非常好，都願意替你拿東西。如果是沒箱包，可以吧。', '短评打分': 1}
{'短评内容': '该饭店最大的优势在于它的旁边就是地铁4号线的出口，但房间的隔音效果实在太差了，隔壁的说话声、关门声就好像在自己房间，房间内的空调怎么调也没什么作用，老宾馆价格却不便宜啊！', '短评打分': 1}
{'短评内容': '酒店的服务卫生方面还是不错的,设施条件一般了,价格有点偏高了.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '原来以为由由酒店应该很好，谁知住了以后才知道什么叫后悔', '短评打分': 1}
{'短评内容': '在上海这个价位和房间设施舒适程度已经非常不错了。尤其是在浦东办事，非常值得推荐。&lt;br /&gt;\n&lt;br /&gt;\n房间算是干净整洁，就是酒店外观差了些，窗户拉不严。&lt;br /&gt;\n&lt;br /&gt;\n总体来说值得再次选择。&lt;br /&gt;\n&lt;br /&gt;\nPS：不过名字很容易和隔壁的喜来登由由酒店搞混', '短评打分': 5}
{'短评内容': '给父母订了一晚，说房间很不错！', '短评打分': 5}
{'短评内容': '这里所有服务员的动作都是慢八拍的', '短评打分': 3}
{'短评内容': '我是3月21日中午住进去的，是附楼标间，之前也在这儿看了，说不好，可是都是2003年的留言，就没怎么在意，结果果然如此，房间设施一般，条件只能是过得去，窗户连纱窗都没有；靠着公路和正在施工的大楼，吵得没法睡觉，房门经常莫名其妙的响……总之比较后悔住这里，看来以后还不如去住真正的三星级的标间，同样的价钱肯定比这里好了，唉', '短评打分': 3}
{'短评内容': '酒店的地理位置不错。交通也不差。就是设备不怎么好。饭菜一般。订火车票的小伙子不错，考虑的很周到，态度很好，就是服务费高了点，能再便宜点就好了。前台服务还可以，有问有答，就是登记速度慢了点，人一多就不行了，得等一段时间，没我们北京的酒店登记速度快。用的方法太老了点，建议引进新的设备和方法。单靠手工登记不行！', '短评打分': 3}
{'短评内容': '我是由由副楼的老住客，我觉得副楼的硬件设施老了点也差了点！环境也不好，两边都是马路，后面的一条因为市政建设在修，很吵。还有住店客人的总体素质不高，很是喧哗，弄得我晚上睡不熟也睡不好。建议搞点隔音设施！还有就是副楼竟然不能兑换外币，还要我跑到主楼，很累人啊，我有点岁数了，觉得很不方便！总的还可以住住，前台的小姐服务还可以。还有送行李的男孩子也不错，服务很好，也很到位。希望由由大酒店能更进一层，生意越', '短评打分': 3}
{'短评内容': '和大家一样，副楼真的不怎样，半夜1点和朋友电话，人家从听筒里都能听到外边的车声。总台小姐的脸跟被别人踩过一样，臭兮兮的。房间没有正常的电源插头，要需要人家拿插线板来接~~不好~~~~~~~', '短评打分': 3}
{'短评内容': '我住的也是附楼标间,卫生间差的很,外面在施工,非常吵,更有胜者,早上五点多钟就有人很命的开我的房门,把我吓了一大跳. 总台的服务员态度就更差了,我结帐时三个人在聊天, 旁若无人.总之前台服务员素质太差,这样的窗口能代表酒店的形象吗? 难道真象我上海朋友告知我的那样, 由由是农民办的酒店?', '短评打分': 3}
{'短评内容': '我住的附楼标间，感觉很不好。&lt;br /&gt;\n首先是噪音大，虽然我知道外面施工，但是没想到隔音效果这么差，吵得一夜没睡好。&lt;br /&gt;\n而且在晚上11点多的时候，要睡了，可总听见卫生间里滴滴答答的声音，去看才发现原来是马桶坏了。没办法，只好把卫生间门关的死死的。&lt;br /&gt;\n&lt;br /&gt;\n可能别人住感觉会比我好一点，因为我本来就睡得比较轻。不过说心里话，', '短评打分': 3}
{'短评内容': '酒店的服务质量真的非常好！ &lt;br /&gt;\n 您，就是我们的上帝！！！&lt;br /&gt;\n有快件要递，找君悦没错！&lt;br /&gt;\n&lt;br /&gt;\n021-58828760&lt;br /&gt;\n http://www.jy-express.com/&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '我住在附楼标间，感觉不错，服务员态度好，房间干净，但外面噪音较大，整体还是值得一住。', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 3}
