{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '酒店超烂的，还要那么贵，电话都打不了！', '短评打分': 1}
{'短评内容': '独自一人去旅行', '短评打分': 4}
{'短评内容': '酒店位置挺好，就是设施有些老旧，电视还是坏的', '短评打分': 3}
{'短评内容': '啥都没有牙刷也没有', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好！', '短评打分': 5}
{'短评内容': '挺不错的位置好', '短评打分': 5}
{'短评内容': '离店要求机打发票被告知没有，要等一周才能取。再三要求下经理告知第二天发快递。但是第二天经理食言，拜托朋友去催促酒店方才发快递，居然还是到付。由于小区使用的是丰巢，快递员没有拿到费用所以被退件。直到现在没有听到酒店方任何回音。你们就是这样解决问题的吗？', '短评打分': 4}
{'短评内容': '电视开不了，叫了三次没人来，服务态度差！', '短评打分': 2}
{'短评内容': '第一次入住非常失望...衛生很差有蚊子跟蟑螂！電視機壞的看不了！總結就是沒有下次！', '短评打分': 2}
{'短评内容': '电视可以免费看热门电影，而且很清晰。酒店地理位置很好，离东门街特别近，过天桥就到；离湖贝地铁站很近，出行很方便。其他设施设备一般，深圳这一片价格区间一致的，基本都是这样。', '短评打分': 4}
{'短评内容': '订的其中一个房间空调制冷不制热，维修人员修过仍然是这样，还好11月底去的，晚上睡觉不冷，没什么影响。', '短评打分': 4}
{'短评内容': '房间环境怎么样，周边太吵！', '短评打分': 3}
{'短评内容': '非常不错。很干净，也很安静，好评。如果有机会肯定继续光顾。', '短评打分': 5}
{'短评内容': '非常满意，价格不贵，周边挺繁华的，离东门很近，就是晚上有人总塞小卡片，打扰我睡觉。', '短评打分': 5}
{'短评内容': '经济房的房间比较小，性价比低。', '短评打分': 3}
{'短评内容': '出行很方便购物什么的都是一站式很不错的酒店', '短评打分': 3}
{'短评内容': ' 非常满意，前台的小姑娘又漂亮又态度超好。开心', '短评打分': 3}
{'短评内容': '环境一般，定的房间说有窗户的，打开就是一堵墙。枕套都破的，叫服务员换，她就直接送过来，但是还是破的。反正是一个非常不好的地方，图片环境很好，我问服务员怎么跟实际的不一样，回答很“雷人”：图片是我们长沙总店的。很坑爹！', '短评打分': 1}
{'短评内容': '总的来说，性价比较高', '短评打分': 3}
{'短评内容': ' 酒店挺舒适，卫生好。实惠。', '短评打分': 3}
{'短评内容': '酒店环境不错，卫生较好，交通方便，价格实惠', '短评打分': 3}
{'短评内容': '簡單、算清潔、重點是有wifi上網，方便\n', '短评打分': 5}
{'短评内容': '酒店不错，地段方便、价格公道、卫浴热水很大，电视可以免费点播…………', '短评打分': 5}
{'短评内容': '我住的818號房, 沖涼房去水道不暢通, 做成廢水倒灌, 還有, 進房間有股味道, 衛生方面應該做好點', '短评打分': 5}
{'短评内容': '电脑房 真的完全没光线。其他不错，很有性价比了！', '短评打分': 5}
{'短评内容': '服务态度真叫 差  是东门步行街那里 交通还是方便 只是步行街看上去像是市场  到处都好脏\n大床房真的很小  电视机旁边的桌子配有椅子  把椅子拖出来 就没办法过人了  我老公坐在那玩电脑  我去窗户那边的抽屉拿东西就要从床上爬过去\n双人间还可以 还配了小沙发  牙刷又不收费了哦~~', '短评打分': 1}
{'短评内容': '挺好的呢~~无论各个方面~~就是吹风机有点少。。。。', '短评打分': 5}
{'短评内容': '好，整体水平比较好，但是我住的那个房间的地板好脏，希望能改进，下次继续选择这间酒店。', '短评打分': 5}
{'短评内容': '干净整洁,出行方便,同地区内相对的低价位.总之除了老生常谈的那个个性化洗手池,其他都不错拉~', '短评打分': 5}
{'短评内容': '位置不错，就在东门附近，离地铁站很近，房间小了点', '短评打分': 5}
{'短评内容': '交通便利，购物方便，环境较为舒适，房间配置无限网络，很好。', '短评打分': 5}
{'短评内容': '交通方便环境较为舒适，重点房间是无线，棒！', '短评打分': 5}
{'短评内容': '环境挺好的，睡得也相对比较舒服.房间的颜色也是我比较喜欢的。特别浴室跟刷牙的地方分开了，我觉得这部分很人性化。', '短评打分': 5}
{'短评内容': '服务一般！可气的是托管行李嫌弃我们放多了！', '短评打分': 1}
{'短评内容': '隔音有点差··窗外有一块广告版挡住视线··跟无窗没区别··', '短评打分': 5}
{'短评内容': '酒店很干净，服务也还不错，就是房间小了点、、 价格合理，下次还会来住', '短评打分': 5}
{'短评内容': '性价比挺高，有些房间窗户外面的卫生还是要注意的，这也是酒店的一部分，不能忽视', '短评打分': 5}
{'短评内容': '帮别人订的，性价比很高，在这个位置这样的价位还算是不错的了', '短评打分': 5}
{'短评内容': '还可以，房间很干净。', '短评打分': 3}
{'短评内容': '还可以，就是没有洗涑用具还不是很完善。', '短评打分': 3}
{'短评内容': '房间干净整洁，处在市中心还能有这样的价格实属难得，如果能有营养早餐或者舒睡牛奶等惊喜就更好了，7天就是这样的。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '性价比很高，卫生环境很不错，灯光有点暗，可增加亮点的灯', '短评打分': 5}
{'短评内容': '性价比很高，卫生环境很不错，但有些房间的窗户对着外面一栋楼，很脏', '短评打分': 5}
{'短评内容': '也没什么好说的，一般酒店的服务。就近东门，请自带牙具，酒店的牙具3元，刚进房间有好大的异味，我觉得水龙头的压力还可以，订的电脑房，那的电脑软件都老到没牙了。还在用2009的qq', '短评打分': 5}
{'短评内容': '作为连锁酒店，还算可以，住酒店的客人比较多，结账也就时间比较长。酒店电梯要用锁牌，比较安全。', '短评打分': 5}
{'短评内容': '位置很方便，，床很小，1.35米的床，，空间感觉有点拥挤，，不过这个价格也差不多了 ', '短评打分': 5}
{'短评内容': '酒店配套设施齐全，卫生干净整洁，服务态度也很好，值得推荐！', '短评打分': 5}
{'短评内容': '飯店隔音不好外部工作人員及房客吵雜 交通還算便利 好找', '短评打分': 5}
{'短评内容': '环境卫生OK，位置佳，去的早，没电脑房，换成大床房，房间有点小了。', '短评打分': 5}
{'短评内容': '还不错，挺干净的，个人觉得比七天还好，价格也可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '再次选择入住该酒店，觉得改进了，因为上次服务员的对讲机太大声了，提出了批评，现在好了很多，值得表扬，会推荐给朋友。', '短评打分': 5}
{'短评内容': '性价比还不错，就是隔音不好，走廊的人走来走去都听的很清楚，早上服务员的对讲机很大声，影响客人的休息，希望要注意。', '短评打分': 5}
{'短评内容': '服务差房间有虫浴室下水不畅床单有血迹高价房换底价房不予调换', '短评打分': 3}
{'短评内容': '酒店性价比还可以，地理位置不错，靠近地铁站，出行方便，房间卫生条件挺好的，干净整洁，住宿条件比较到位', '短评打分': 5}
{'短评内容': '房间还可以就是有些小，出行还不错，酒店的服务也蛮好的。价格也是中等水平。', '短评打分': 5}
{'短评内容': '价格不贵，主要是去东门逛街方便······', '短评打分': 5}
{'短评内容': '房费价格不是很低，最主要的是，现在很多酒店都是能延迟到14:00。他们的规则只能12点退房，没有什么优势。建议其他会员考虑清楚。', '短评打分': 1}
{'短评内容': '还可以，性价比高，东西新，交通方便，但房间一股味道。', '短评打分': 5}
{'短评内容': '整體都是不錯的酒店.可是空調的過濾網很久都是沒有洗,影響了房間溫度.最後是由我自己拆除洗乾淨呢-.-&quot;  (我是空調專業人員)', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '隔音好差, 整晚都聽到汽車聲.', '短评打分': 1}
