{'短评内容': '房间很大.隔音也很好', '短评打分': 5}
{'短评内容': '没有给早餐票，后来才知有早餐。', '短评打分': 5}
{'短评内容': '设施有点陈旧，卫生还算干净。', '短评打分': 5}
{'短评内容': '妈妈去看了房间，老人家说挺好的，就是牙刷牙膏都要单独付费！', '短评打分': 5}
{'短评内容': '说点什么好呢，不知说啥是好，前台接待挺好。', '短评打分': 3}
{'短评内容': '服务员态度很好，打扫卫生的大姐也很勤快，卫生条件不错，交通条件便利。三楼还有推拿按摩专业技师，非常棒！', '短评打分': 5}
{'短评内容': '服务员态度很不错', '短评打分': 5}
{'短评内容': '比较旧，环境一般', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还好吧……', '短评打分': 3}
{'短评内容': '服务很热情，下次还来入住！', '短评打分': 3}
{'短评内容': '酒店环境好，服务态度好，办事方便', '短评打分': 3}
{'短评内容': '酒店条件不错，地理位置也不错，服务态度也很好', '短评打分': 3}
{'短评内容': '环境一般，设施一般！服务还可以', '短评打分': 3}
{'短评内容': '房间内所有用品都是收费的，其他还算可以吧。', '短评打分': 5}
