{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '地理位置十分便利，就在火车站侧面，而且非常便宜', '短评打分': 5}
{'短评内容': '很好，，，，，，，，，', '短评打分': 5}
{'短评内容': '太差了，不能去', '短评打分': 1}
{'短评内容': '因为出差赶时间住在这里，没办法，在北京边上的胡同里，房间比较旧，热水就那样吧，睡了一觉就走，如果赶时间住一下还行，不赶时间的话就算了', '短评打分': 3}
{'短评内容': '服务态度真的很差。床的弹簧都弄的凹凸不平。。睡觉都累。刷牙杯子不敢用，脏脏脏！！服务态度差差差。离店的时候正好看到有别的旅客团的99元，到店店家说没有，不退钱，呵呵呵呵呵呵！要退款找网上去，可携程不能退款。', '短评打分': 1}
{'短评内容': '就剩便宜了，其它条件都较差', '短评打分': 3}
{'短评内容': '呵呵', '短评打分': 2}
{'短评内容': '位置比较好找。距离北京站很近。预定的房间给留了一间带窗的房间。非常感谢，就是离火车道太近，噪音扰民。别的都很好，没有暖气有空调。', '短评打分': 5}
{'短评内容': '脏乱差', '短评打分': 2}
{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '挺好的，离北京站比较近，地点详细，宾馆比较好找', '短评打分': 3}
{'短评内容': '去了看了看还不错，挺卫生的，老板也不错，服务员态度也比较好，离火车站特别近，靠着派出所也感觉特别安全，很喜欢。谢谢。', '短评打分': 5}
