{'短评内容': '感觉还算可以。', '短评打分': 5}
{'短评内容': '老板娘很好客，还组织客栈烧烤！棒棒的', '短评打分': 5}
{'短评内容': '酒店设施一般，感觉房间光线不是很强', '短评打分': 3}
{'短评内容': '地理位置好，环境好服务好', '短评打分': 5}
{'短评内容': '服务好环境好，老板很热情', '短评打分': 5}
{'短评内容': '老板娘人很好，自家院子没房帮我们找房子。下次一定推荐朋友来。', '短评打分': 4}
{'短评内容': '床单有点点破洞 所谓大床就是两张小床拼的 挺喜剧的 不过束河确实安静得多不算太喧嚣 客栈位置挺好', '短评打分': 3}
{'短评内容': '老板人很好性价比超高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '整洁舒适，而且非常安静，晚上听得见小河的流水声。老板娘非常好。住这十来天像一家人一样，非常开心，由衷赞美！', '短评打分': 5}
{'短评内容': '不错，老板娘很热情很好', '短评打分': 3}
{'短评内容': '房间不错，老板娘很好，就是现在天有点冷，晚上洗澡还是觉得挺冷的，总体不错。', '短评打分': 3}
{'短评内容': '虽处在闹区，但是酒店很安静。虽不是民族那般古色古香的布置，但也很温馨。唯一遗憾的就是卫生间，水实在是太小了，洗澡很不方便。希望是因为黄金周的原因。', '短评打分': 5}
{'短评内容': '＋酒店老板娘十分热情，房间新，服务态度好，连接机的司机李师傅都特别NICE', '短评打分': 5}
{'短评内容': '位置还是挺好找，但是酒店设施挺一般的，房间不是很大卫生间比较老，价格是稍微高了一些。不过老板娘的态度还不错挺热情的。', '短评打分': 5}
