{'短评内容': '酒店位置和设施都还可以，就是前台服务效率有待提高', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整体感觉不太好！', '短评打分': 1}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '住了个没窗户的，设施还是好的，只是太闷了。。', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以，酒店比较大，风景房间也很温馨，床很舒服，热水很好，服务员服务态度很理想', '短评打分': 5}
{'短评内容': '这家酒店一般，住锦江之星主要是为了方便晾衣服，价格便宜。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通很方便，房间卫生也很好，服务员的服务态度很好，我做过很多次了，非常喜欢床很舒服，热水也很好', '短评打分': 5}
{'短评内容': '很喜欢这里，环境各方面都很好', '短评打分': 5}
{'短评内容': '很好，很舒服????', '短评打分': 5}
{'短评内容': '好…………', '短评打分': 5}
{'短评内容': '住得比较舒适', '短评打分': 5}
{'短评内容': '挺好，锦江之星确实不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '离机场不远，暂住还可以。房间卫生干净，但设施较旧。周围环境较吵闹。由于路中间分离带，不太易开车到达。', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好，朋友说下次还住这里', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好，朋友说下次还住这里', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好，朋友说下次还住这里', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好，朋友说下次还住这里', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好，朋友说下次还住这里', '短评打分': 5}
{'短评内容': '住了一晚，挺干净的，房间不大，收拾的还不错，标准化的力量', '短评打分': 5}
{'短评内容': '不错。！ 。环境也还不错。杯子都是一次性的。。比较干净！', '短评打分': 5}
{'短评内容': '用陈玉瑜名字入住一天房号326', '短评打分': 3}
{'短评内容': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', '短评打分': 5}
{'短评内容': '还可以，比较干净', '短评打分': 3}
{'短评内容': '第一次给的房间烟味比较重，前台热情地帮忙换了另外房间（两个窗户，通风较好），感觉清爽了很多。晚饭在酒店解决的，不能点菜，锅仔实在是很难吃！', '短评打分': 5}
{'短评内容': '挺干净的，住得蛮舒服', '短评打分': 3}
{'短评内容': '中规中矩,算是干净整洁,洗澡水很舒服。\n', '短评打分': 3}
{'短评内容': '酒店位于老车站附近，交通还是不错。第一次入住，因在预订点前不能到达，要往后延1小时，打电话到总能，说不能保留。直接取消。还有一次，超过了预订时间十来分钟，就直接把我的订单给取消了。外面又下大雨，只能重新开房，很不爽。后来都住别的酒店了。', '短评打分': 1}
{'短评内容': '出差住，价格和环境都可以。下次来出差还会住的', '短评打分': 5}
{'短评内容': '环境不错，交通便捷。房间的空间比较充足，床比较舒服，睡眠质量有保障。窗户偏小，靠近路边噪音比较大。整体评价中上，值得推荐！', '短评打分': 5}
{'短评内容': '酒店挺好的，卫生很干净，东西也很齐全，空间蛮大的， 就是周围环境有点吵，很早就醒了。', '短评打分': 5}
{'短评内容': '房子不错，有电脑就更好了……', '短评打分': 3}
{'短评内容': '经常住这家，因为便宜又方便，呵呵，卫生对得起这个价格', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '挺干净舒适的， 就是周边什么好逛，就超市多。打车也不太好打，好几辆空车开过也不停。', '短评打分': 5}
{'短评内容': '义乌出差方便舒适的酒店。就是停车太麻烦。老是给交警贴单。', '短评打分': 5}
{'短评内容': '如果不是在网上预订的话，179的价格还是蛮贵的，牙具杯子 和毛巾不是很好用。服务员的服务态度蛮好的。房间隔音也不错，我住的是转角处有俩个窗户的，开始以为会很吵，到晚上也不会，白天是有一点，因为正对着红绿灯的位置。', '短评打分': 5}
{'短评内容': '位置很便利，性价比很高，以后去就住这儿了', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是周边没啥吃饭的地方。下次去还会考虑住锦江之星', '短评打分': 5}
{'短评内容': '房间比较干净，门口停车不便，但是叫车还是蛮方便的哈哈', '短评打分': 5}
{'短评内容': '每次去义乌，都喜欢住这家，相对来说比较干净方便', '短评打分': 5}
{'短评内容': '在义乌经济型酒店中比较好的一个，干净安静，就是停车是个大问题。', '短评打分': 5}
{'短评内容': '房间很干净，装修也新。 只是附近没什么好逛的地方。', '短评打分': 5}
{'短评内容': '在义乌出差经常住在这个酒店。干净方便。就是门口停车不方便。', '短评打分': 5}
{'短评内容': '酒店位置便利，性价比很高，以后会坚持住这里', '短评打分': 5}
{'短评内容': '房间很干净,下次会继续入住.交通比较方便.', '短评打分': 5}
{'短评内容': '很干净，睡觉很舒心。就是价格太高了，比别的地方高啊，义乌难道就这样的消费吗？还有就是前台服务员态度极其恶毒，还和我争吵', '短评打分': 5}
{'短评内容': '客房整洁，宽敞，舒适', '短评打分': 3}
{'短评内容': '锦江之星义乌店比较新 房间够大 服务周到 不含早餐有些遗憾 交通也挺方便 下次还会再来!', '短评打分': 3}
{'短评内容': '和其他地方的锦江之星差不多，比较干净卫生，不含早餐比较遗憾。', '短评打分': 5}
{'短评内容': '房间整洁，舒适，餐厅卫生，简洁，前台服务热情，是大众消费的标杆', '短评打分': 5}
{'短评内容': '还可以，就是电视机差了点', '短评打分': 3}
{'短评内容': '酒店的环境卫生都不错 就是周边的环境不太好 白天比较吵 晚上还是比较安静的', '短评打分': 5}
{'短评内容': '很不错啊 连锁店我最喜欢锦江之星了 但网上订房为什么不送早餐的呢？', '短评打分': 5}
{'短评内容': '这家店的大床间床很舒服，房间也大，比杭州的凯旋路店好很多，而且义乌的这家价格还便宜40块！ 赞一个。 ', '短评打分': 5}
{'短评内容': '环境还可以,就是缺电脑', '短评打分': 3}
{'短评内容': '＋挺干净的', '短评打分': 3}
{'短评内容': '乾淨, 床好睡, 服務也不錯,性價比高. 去義烏市場交通也方便', '短评打分': 5}
{'短评内容': '连锁酒店里我首推锦江之星，很少用到服务员，服务评价先不说，但装修和洁净度非常满意！', '短评打分': 5}
{'短评内容': '还行吧，帮同事预订的，回来后没有说什么不好的地方', '短评打分': 5}
{'短评内容': '帮朋友预订的，还行吧，回来没有说什么不好的地方', '短评打分': 5}
{'短评内容': '我的房间是个拐角房间，系统提示的是25平米。绝对没有。我看也就18左右。而且酒店就在一个石子路上边上，北面就是个环岛。我的房间四周都是马路，特别的炒。所以不是很满意。', '短评打分': 1}
{'短评内容': '地理位置还可以,大堂等设施都可以,餐厅也不错,就是我住的房间没有窗,而且很小,感觉上有点.....?', '短评打分': 5}
{'短评内容': '这家酒店让我第一次感觉让我很不爽。前台人很傻比。很多人在。就一窝人帮助一个客户。来客人了，招呼都不打一点热情也没有的？让我很是生气。下次在住，还得三思而后行。要好好的考虑过才行。服务态度差。不热情！', '短评打分': 1}
{'短评内容': '干净服务态度好，酒店临街隔音效果差', '短评打分': 3}
