{'短评内容': '就那么回事', '短评打分': 5}
{'短评内容': '挺好的 不错', '短评打分': 5}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '好非常好非常不错', '短评打分': 5}
{'短评内容': '非常好非常满意', '短评打分': 5}
{'短评内容': '挺好，交通方便，房间卫生也不错？', '短评打分': 4}
{'短评内容': '感觉挺不错    棒棒哒', '短评打分': 5}
{'短评内容': '如家越来越差了', '短评打分': 3}
{'短评内容': '性价比高。', '短评打分': 5}
{'短评内容': '挺好的，下次再来', '短评打分': 5}
{'短评内容': '挺好的，下次再来', '短评打分': 5}
{'短评内容': '服务态度特别好，而且房间很干净。挺暖和的，很满意', '短评打分': 5}
{'短评内容': '价格便宜，方便出行，WIFI太差了！', '短评打分': 5}
{'短评内容': '环境很好服务挺好很干净舒服非常满意', '短评打分': 5}
{'短评内容': '很好设备齐全很干净舒服很满意', '短评打分': 5}
{'短评内容': '不错的酒店，服务还可以', '短评打分': 5}
