{'短评内容': '地理位置还行，周边有比较方便的吃饭购物处', '短评打分': 4}
{'短评内容': '总体还不错，服务也不错', '短评打分': 4}
{'短评内容': '房间干净卫生  服务态度很好！', '短评打分': 5}
{'短评内容': '挺好的。服务人员也很好。之前一天住如家真心有点醉了。汉庭好很多。', '短评打分': 5}
{'短评内容': '房间很干净，位置安静', '短评打分': 5}
{'短评内容': '很不错服务态度很好  赞', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '临路边的房间，车流不断，整晚都有噪音。 除了这个其他都不错', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '干净不错干净不错干净不错干净不错', '短评打分': 5}
{'短评内容': '非常不错，推荐大家过来住，不愧是正规的连锁，早餐也很给力，房间很干净，住的舒服', '短评打分': 3}
{'短评内容': '汉庭一如既往的舒适', '短评打分': 3}
{'短评内容': '房间很干净，环境很好，位置也不错，新开的，整体来讲还是很好的 下回还会去住', '短评打分': 5}
{'短评内容': '房间性价比还不错。但是离四方汽车站还有段距离，要打车或公车。', '短评打分': 3}
{'短评内容': '总体还行，就是马桶不好用', '短评打分': 3}
{'短评内容': '酒店卫生还不错，就是位置有点偏。', '短评打分': 3}
{'短评内容': '我非常满意 有机会我愿意经常入住 愿生意兴隆', '短评打分': 5}
