{'短评内容': '好评……………', '短评打分': 5}
{'短评内容': '很久没点评一家酒店了，这次心血来潮缘于一顿很糟糕的早餐，我下次入住还会跟踪点评，如果不能看到后续点评，那我一定是被这家酒店拉黑了。首先，我最近三四年一直陆陆续续在这家酒店入住，理由，价格不高，一般400多，位置偏僻，所以不吵闹，后来还给自动加入了会员，这次从携程预订，价格涨到带早606，瞬间比南面新开希尔顿酒店598高出8元，但因为惯性还是选择了这家。前台一如既往的规范，进到房间感觉比我以前入住的', '短评打分': 3}
{'短评内容': '停车方便 接待热情', '短评打分': 5}
{'短评内容': '早餐不错，大床房床很软，睡着舒服，安静。', '短评打分': 5}
{'短评内容': '早餐丰盛，种类很多。', '短评打分': 5}
{'短评内容': '房间有点小，', '短评打分': 5}
{'短评内容': '非常的好', '短评打分': 5}
{'短评内容': '卫生脏', '短评打分': 2}
{'短评内容': '周边很吵 ', '短评打分': 5}
{'短评内容': '房间干净 服务到位 交通方便', '短评打分': 5}
{'短评内容': '除了房间点餐有点一般其他都可以', '短评打分': 5}
{'短评内容': '好评……………', '短评打分': 5}
{'短评内容': '给朋友定的酒店，我平时有时候也会去住住，因为他在济南的西边，我在东边，有时候工作原因就会选择住在这里，感觉跟自己家一样。', '短评打分': 5}
{'短评内容': '酒店位于济南偏西部，距离经十路和谐广场很近，附近酒店比较来说，应该是条件很好的。酒店设施、卫生及服务都很好，早餐也比较丰富。美中不足的是，早上起床后，看到桌上及手机上，一层灰尘。可能和近期济南天气有关，但是建议清洗一下中央空调。酒店总体很不错，值得推荐！', '短评打分': 5}
{'短评内容': '每次去济南都是住这个酒店，中间闹了点矛盾，不过最后服务员态度解决好了', '短评打分': 4}
{'短评内容': '住过几次了，总得说还可以', '短评打分': 4}
{'短评内容': '优秀', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '第二次入住，依然不错，表涨价，每次济南就都是它了', '短评打分': 5}
{'短评内容': '补充一下，我当时在前台同事办了一张雅高的会员卡为何到现在还没收到捏？', '短评打分': 5}
{'短评内容': '套间的性价比很高，因为新开业的，装修很好，非常居家的感觉，温馨舒适！不像其他老的四星五星酒店装修的那么恶俗~唯一不太习惯的就是我是的卫生间是玻璃隔开的又是全透明的，当然打电话给前台要求前台会送来帘子挡一下。', '短评打分': 5}
{'短评内容': '酒店环境优雅,居住条件较好,出行方便,价位适中,值得推荐。', '短评打分': 3}
{'短评内容': '环境很好，就是稍显偏了些\n房间干净，舒适', '短评打分': 5}
{'短评内容': '不能算五星的，但很干净，服务很好，周围有沃尔玛，银座等商场，还是不错的选择。', '短评打分': 5}
{'短评内容': '酒店位于济南西部，在西部应该算是条件最好的酒店了，装修风格好，比较华丽，硬件条件很好，地下停车场很方便，比较安静，周围有沃尔玛等超市和购物场所，生活方便。如果来济南要住在西部，这应该是条件比较好的酒店的唯一选择了，呵呵', '短评打分': 5}
{'短评内容': '服务、房间不错，性价比高。就是打车不太方便。', '短评打分': 5}
{'短评内容': '我们入住的是高级大床房，酒店的设施算新，但房间面积不大，服务和房间硬件标准应该是四星的标准。本来是奔着五星的标准去的，不免有些失望。上电梯的时候，有服务员过来帮助停住电梯门算是服务中仅有的一点亮点。早餐101元一位，应该算高了，但真是大跌眼镜，霜糖面包是放了好几天的，居然坚韧到咬不动，水果中李子是坏的，而且西餐为主，中餐几乎没有，煎的鸡蛋是冷的，不是现煎的，热牛奶的我们三个人尝了，都觉得变质了。总', '短评打分': 5}
{'短评内容': '我们入住的是高级大床房，酒店的设施算新，但房间面积不大，服务和房间硬件标准应该是四星的标准，说是类五星，真的有点过了。本来是奔着五星的标准去的，不免有些失望。上电梯的时候，有服务员过来帮助停住电梯门算是服务中仅有的一点亮点。早餐101元一位，应该算高了，但真是大跌眼镜，霜糖面包是放了好几天的，居然坚韧到咬不动，水果中李子是坏的，而且西餐为主，中餐几乎没有，煎的鸡蛋是冷的，不是现煎的，热牛奶的我们三', '短评打分': 1}
{'短评内容': '酒店非常新，早餐不错，设施完善，地理位置也行 下次还定他家了', '短评打分': 5}
{'短评内容': '酒店各项设施都不错，装修真得超棒，价格又合适，真是再好不过了。\n\n周围饭店奇多呀，各种菜系，酒店裙楼有一家港式茶餐厅很正宗，酒品还有当地的崂山原汁等，很适合去呀。\n\n可惜打车不容易，我头天晚上跟酒店咨询了下，第二天9点就帮我挡了车，不过司机司傅收了我160元，说是跟酒店的协议价，酒店要拿20-30的，也不知是真是假，但是服务超好，也就认了吧。', '短评打分': 5}
{'短评内容': '酒店很新，装修简洁大气、服务贴心周到，让人有宾至如归的感受，一家人都很喜欢。', '短评打分': 5}
{'短评内容': '。酒店硬件软件都够好。赞！', '短评打分': 3}
{'短评内容': '不错的雅高酒店，新开酒店，设施较新，感觉酒店接待商务客人较多，遇到会议的时候稍微有些“热闹”。', '短评打分': 5}
{'短评内容': '酒店位于济南的西边 稍许有点偏离市中心 但是比较新 加上酒店所在的裙楼就有沃尔玛 还是比较方便的 设施方面都挺不错的 服务态度也很好 前台Check in的时候发生了一点小问题 酒店一时没找到我的订单 在帮忙查询的过程中就有人送来了酒店大堂的免费饮品券 还好很快解决了 前台工作人员一个劲的给我们道歉 更没想到入住后 酒店客房预订部的经理又特意打来电话再三表示了歉意 感觉服务态度确实不错 晚上回房间', '短评打分': 5}
{'短评内容': '性价比不高，服务员的态度很差，再也不去了，物理设施经常坏而且坏了竟然让顾客赔偿', '短评打分': 1}
{'短评内容': '性价比很高,设施很新!位置也不错!我个人很喜欢', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高！', '短评打分': 3}
