{'短评内容': '很不错，很好找，住的舒服。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '第二次入住，依然满意', '短评打分': 5}
{'短评内容': '#ud83d#udc4cOK#ud83d#udc4cOK#ud83d#udc4c', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还行。就是靠近马路声音有点大！！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '房间干净。', '短评打分': 5}
{'短评内容': '对于这家酒店我没什么可以说的 就是 嗯 早餐跟前台的小妹一起吃', '短评打分': 5}
{'短评内容': '居然，查房，哈哈哈。', '短评打分': 5}
{'短评内容': '卫生，环境，停车，以及周边吃东西都很方便，离小商品市场也挺近！', '短评打分': 5}
{'短评内容': '还行，挺干净的。', '短评打分': 5}
{'短评内容': '一楼厕所有窗户确没窗帘，吓死姐姐了', '短评打分': 5}
{'短评内容': '经济实惠方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '越来越一般。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一般了，没什么特别的。', '短评打分': 4}
{'短评内容': '出门前提前在京东订好的酒店，省钱又放心！', '短评打分': 5}
{'短评内容': '挺好的，酒店应该是由以前的老酒店改装的，不是传统的如家风格，住得很舒服，地段也不错。', '短评打分': 5}
{'短评内容': '价格实惠。干净。总体还行吧，。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格实惠。干净。总体还行吧，。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，乘公交到商贸城只需三站', '短评打分': 3}
{'短评内容': '交通很方便，酒店不错，服务还可以，下次会再考虑入住的。', '短评打分': 5}
{'短评内容': '去义乌商品城的话，我觉得如家是首选吧，今次也是我第一次入住如家，从火车站到如家，搭公车很方便的，然后前台那几个美女态度都很好的，第一次见到那么好的，我鞋子烂了，她们还给我弄了一双新的鞋子，我下次过去义乌，肯定也是在如家入住的。\n还有，我和我同学都觉得住得很舒服。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很好，服务员的态度也不错，工作效率很高。交通很便利，房间很有家的感觉。总体来说还不错。但房间窗户的隔音差了了点，我住的那间卫生间的门有点坏了。', '短评打分': 3}
{'短评内容': '酒店环境不错，离国际商贸城也不远，交通也很方便！', '短评打分': 5}
{'短评内容': '连锁的相对来说比较干净，挺好的，下次继续光顾，就是夏天那个窗户不能关，有蚊子！', '短评打分': 5}
{'短评内容': '房间大，热水大，第一次住如家，家一般的感觉 。以后都首选如家', '短评打分': 5}
{'短评内容': '酒店位置和外观不错。只是到了夏天，窗户是否应该装个纱窗呢？我一个晚上打了十来只蚊子，几乎没有睡好，不过，这个是客观问题，估计其他酒店也会有这个情况。', '短评打分': 5}
{'短评内容': '还是住连锁的好，干净，房间很大，装修也很新', '短评打分': 5}
{'短评内容': '还可以 挺干净 服务员态度很好 位置也还不错 离商贸城一期走路十分钟可以到，公交车门口也有直达的一站路到。火车站到此酒店乘坐801一车到', '短评打分': 5}
{'短评内容': '确实不错，很干净，面积也很大', '短评打分': 3}
{'短评内容': '住在临街，太吵杂了！隔音效果不好，街上的车开动的声音一清二楚', '短评打分': 3}
{'短评内容': '好，老顾客了，只是希望有更多的返30现金，呵呵', '短评打分': 5}
{'短评内容': '房间很大。可以2点退房。', '短评打分': 3}
{'短评内容': '感觉挺温暖的', '短评打分': 3}
{'短评内容': '如家酒店房号510 很满意', '短评打分': 3}
{'短评内容': '入住 房间好', '短评打分': 3}
{'短评内容': '环境也不错！', '短评打分': 5}
{'短评内容': '好，就是希望以后返券能有30元，呵呵呵。。。。。', '短评打分': 5}
{'短评内容': '。酒店环境和服务很好', '短评打分': 3}
{'短评内容': '厕所比较久，其他 都还好。电视机有点小，床也不是很新', '短评打分': 5}
{'短评内容': '硬件和卫生都还不错。', '短评打分': 3}
{'短评内容': '如家是我这次旅行住过的六家旅店中让我们最满意的一家。不论是卫生环境还是服务态度、酒店设施等都是如此，以后有机会还会入住的。鼎力推荐！', '短评打分': 5}
{'短评内容': '房间大，设施新，很不错的酒店，特别提一下，早上的自助早餐15元也很超值，大家如果到义乌一定要订这家，离义乌小商品批发城也很近，房间还有赠纯净水，很人性化，下车直接坐801路1.5元就到了，记得是振华装饰公司下车，我这次出行半个月，这个酒店是唯一一家不错的酒店了！', '短评打分': 5}
{'短评内容': '，第一次住，感觉很不错，房间宽敞干净，价格又合理，去火车站也很方便。下次有机会出差我还住这里。', '短评打分': 3}
{'短评内容': '酒店的环境不错，价格比较公道，下次去义乌还会选这家酒店入住', '短评打分': 5}
{'短评内容': '服务态度还不错哦', '短评打分': 3}
{'短评内容': '性价比还行。就是离商贸城远了点。', '短评打分': 3}
{'短评内容': '还不错，就是退房有点慢。   ', '短评打分': 3}
{'短评内容': '房间很宽敞，住宿条件不错，位置也好，下了高铁坐801路到振华装饰公司站下车右手边就到，很方便，离国际商贸城也近，步行即可！', '短评打分': 3}
{'短评内容': '酒店房间宽敞，设施完善，服务态度好，有免费停车场，距离商贸城不远。', '短评打分': 3}
{'短评内容': '飯店靠市中心，很方便，另外，下次希望廁所的通風效果能更好。', '短评打分': 3}
{'短评内容': '很好，已经是老客户了，基本每个月住一次了，呵呵', '短评打分': 5}
{'短评内容': '服务很好，离国际商贸城也不是很远。卫生，就是临近马路，有点噪音。网络质量偏差。', '短评打分': 5}
{'短评内容': ' 非常满意，环境很好', '短评打分': 3}
{'短评内容': '交通非常方便，比上次住的锦江之星位置要好，离商品城近，建议去的朋友选择，', '短评打分': 5}
{'短评内容': '好,离我的目的地又近,以后还会住的!!!!!', '短评打分': 5}
{'短评内容': '总体还行，就觉得房间有点小，枕头不舒服，总统还干净', '短评打分': 5}
{'短评内容': ' 进门第一感觉不错！', '短评打分': 3}
{'短评内容': '房间浴室 不咋地 ， 房间也不是很干净  看起来 ', '短评打分': 1}
{'短评内容': '一般般的条件，首先吃的地方不方便，乘车不方便，其次格局跟其它如家的格局不太像。早餐要15元', '短评打分': 1}
{'短评内容': '位置到国际商贸城挺好，坐K801车挺方便，很安静，服务态度挺好！', '短评打分': 5}
{'短评内容': '一如既往的不错，下次去义乌的话，应该还会入住该酒店，很干净也很方便', '短评打分': 5}
{'短评内容': '酒店服务不错，位置也很好，很干净。以后还会住该酒店。', '短评打分': 5}
{'短评内容': '比想像的好，也比我住过的其它如家要好。大厅很大，房间干净卫生，空调效果好，最值得称道的是自助早餐，15元很丰盛呀，差不多是当地一碗米粉的价。只是隔音真的差，电视太老化。', '短评打分': 5}
{'短评内容': '住的靠路的那边，还真有点吵。周围配套的少了一点，交通还行吧。', '短评打分': 1}
{'短评内容': '隔音差了一点，淋浴水比较小。总的来讲还可以。早餐十五块钱还可以吧。', '短评打分': 5}
{'短评内容': '总体还可以，就是卫生间有臭味。', '短评打分': 3}
{'短评内容': '商务房很宽，值！前台服务也OK', '短评打分': 3}
{'短评内容': '酒店很不错，位置也不错，很好找，离商贸城不远。服务也热情。', '短评打分': 5}
{'短评内容': '房间大，交通也方便。不过打车好像不太好打。', '短评打分': 5}
{'短评内容': '很干净的酒店，服务也不错。就是靠马路的房间，早上想睡晚点会比较吵。', '短评打分': 5}
{'短评内容': '房间挺大的，服务好。就是出来打车难一点。', '短评打分': 5}
