{'短评内容': '早餐嘛，一句话，能吃而已，有点受不了的是餐厅大妈一直盯着，而且面无表情那种，感觉就像是被关押，被监视吃的那种，令人毛骨悚然，顿时没有食欲', '短评打分': 3}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '288在小县城住这么差，真是醉了。', '短评打分': 2}
{'短评内容': '早餐太差了，临窗特别吵', '短评打分': 3}
{'短评内容': '还行吧，早餐太一般', '短评打分': 4}
{'短评内容': '房间不怎么样，有点小位置也偏，床倒是不错，软绵绵得！', '短评打分': 5}
{'短评内容': '不错，不错，不错，下次再来。', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '临街晚上有点吵，其他还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差找个地住，就是早餐过于简单。', '短评打分': 4}
{'短评内容': '空间比较大，卫生设施也还好，有窗户很通风，但因靠近马路有些吵。', '短评打分': 5}
{'短评内容': '空间比较大，卫生设施也还好，有窗户很通风，但因靠近马路有些吵。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '性价比不行', '短评打分': 3}
{'短评内容': '酒店很干净  早餐也不错', '短评打分': 3}
{'短评内容': '酒店很干净，停车方便，离高速出口也很近，值得一住。', '短评打分': 3}
{'短评内容': '不错,是家商务酒店,但设备和服务都还不错!', '短评打分': 5}
{'短评内容': '阳光酒店舒适、干净且交通条件好，停车方便，还有早餐，服务到位，值！', '短评打分': 5}
{'短评内容': '感觉还好，就是卫生间有点味道！', '短评打分': 3}
{'短评内容': '整体感觉很不错，前台办事效率很快，网上订的马上就可以查到入住，房间很舒服，用品也很全，不过我住的这间空调有点小问题，会嗡嗡地响。价格也不算高，总之很赞！', '短评打分': 3}
{'短评内容': '＋这酒店还不错，就是停车场太考技术了', '短评打分': 3}
{'短评内容': '比较干净 卫生条件不错\n没有早餐 周边吃饭还算方便', '短评打分': 5}
{'短评内容': '价格有点偏高不说.因为在贵州都匀那边的消费水平我是知道的.床上用品还可以.唯一一点就是,隔音效果不好,大清早的外面吵得要死.洗漱用品服务员居然忘了放梳子.大床房的布置不是很好.', '短评打分': 1}
{'短评内容': '房间不错，性价比很高，唯一不足是刚装修，略有味道。', '短评打分': 5}
