{'短评内容': '酒店环境安静，氛围很好。但饮食欠缺。', '短评打分': 5}
{'短评内容': '酒店服务满意', '短评打分': 5}
{'短评内容': '服务非常满意', '短评打分': 5}
{'短评内容': '服务非常满意', '短评打分': 5}
{'短评内容': '酒店是海河教育园区内的不二选择，房间很大，硬件设施可以说是五星酒店配置～早餐种类虽然不是特别多但很可口，吃的很舒服', '短评打分': 5}
{'短评内容': '酒店大门不开，从侧面走，感觉很不好。 电视频道太少了！ 空调太吵了。早餐比较差！也许是冬天了，酒店周边感觉好荒凉。', '短评打分': 4}
{'短评内容': '十一在酒店住了三天，住！玩！设施硬件都好！就吃不像个四星！需要改进！早餐根据人数换地方！东西也太少！餐厅都关门了！也许忙婚礼去了!散客就一般般了！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还不错。房间布局有些特殊。', '短评打分': 5}
{'短评内容': '价格优惠环境优雅', '短评打分': 5}
{'短评内容': '很好，评价说设施齐全，卫生条件不错。十分满意。', '短评打分': 5}
{'短评内容': '近要去的目的地，不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '替别人定的，据说还行', '短评打分': 4}
{'短评内容': '整个酒店的非常的安静，客房的空间十分的大，床软得十分的舒服，给人的感觉很好。但是由于距离机场近，却十分偏僻，出入不太方便。吃饭也不方便。', '短评打分': 5}
{'短评内容': '酒店很好，看我们人多，主动多给早餐劵，还可以推迟下午2点退房。服务也很好。', '短评打分': 5}
{'短评内容': '酒店环境真心不错，只是距离市区很远，周边配套设施还不完善。酒店早餐质量一般，连续几天都吃同样内容。就连餐食拜访位置都不曾变动。', '短评打分': 5}
