{'短评内容': '干净', '短评打分': 5}
{'短评内容': '还不错的酒店，干净卫生，周边也有一些吃的，价格优惠，关键是服务人员也很热情，态度很好，下次出差还住这里', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '好点没符合标准', '短评打分': 3}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店位置就在十字路口，很容易就可以找到，交通出行很方便，楼下就有面馆，吃点东西也很近，房间比较干净，住两天蛮好的。', '短评打分': 5}
{'短评内容': '出差临时住宿一直选这里，干净卫生，价格公道，虽靠近马路，住在内侧的房间还是比较安静的，总体来说，推荐入住。', '短评打分': 5}
{'短评内容': '还不错。感觉还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境不错，交通方便', '短评打分': 4}
{'短评内容': '酒店外环不起眼，不过里面看起来都是新装修的，干净整洁，楼下就有吃海鲜的，不错！！', '短评打分': 5}
{'短评内容': '感觉房间有点小412，入住办手续比较快！', '短评打分': 4}
{'短评内容': '环境还好，服务也行，设施标准，卫生方面就是有股味道。', '短评打分': 5}
{'短评内容': '可以吧……', '短评打分': 5}
{'短评内容': '挺好的 环境好 设施齐全 靠近市中心', '短评打分': 5}
{'短评内容': '房间异味，热水慢，格局较小，性价比不高', '短评打分': 4}
{'短评内容': '酒店卫生不错，挺干净。', '短评打分': 3}
{'短评内容': '好几次住了，性价比挺高的宾馆，就是前台服务有点差，车位比较少，其它方面还是挺不错的。', '短评打分': 5}
{'短评内容': '连发票都不能开的宾馆叫我怎么再次入住？房间内上网半天上不去！', '短评打分': 1}
{'短评内容': '不错的地方，就是停车位太少了，不太方便，住的还可以，干净', '短评打分': 5}
{'短评内容': '房间太小，管理有点乱。设施还好。可能新装修还有的味道。', '短评打分': 3}
{'短评内容': '十房间面积不够大。某它的一般。', '短评打分': 3}
