{'descr': '位置很好找，房间不算小，被子有点味道，不知道是否换过', 'star': 4}
{'descr': '位置就在古镇，挺安静的', 'star': 4}
{'descr': '环境还可以', 'star': 3}
{'descr': '位置很好，就在枫泾古镇上。房间还算干净，洗澡水好小。晚上临街的房间比较吵，古镇开店的到11点还有人大声说话，一早五点不到就有点开门了。', 'star': 3}
{'descr': '没有早餐、停车场，地理位置很好，很干净，隔音效果不太好，房间比较小。', 'star': 5}
{'descr': '虽然房间有些小，但还是比较干净的。就在古镇上，吃东西很方便，周边风景不错，就是停车要远一些，如果想停在客栈门口最好5点后，开进去。', 'star': 5}
{'descr': '算镇上最好的旅店了！老板服务态度非常好！', 'star': 5}
{'descr': '感觉一般', 'star': 3}
{'descr': '还可以，家庭类，就是停车很麻烦', 'star': 4}
{'descr': '酒店在景区入口不远，房间简单干净整洁，白天比较嘈杂，对面是店铺，晚上还算安静，整体感觉不错。下次如果去，应该还会住这里。', 'star': 4}
{'descr': '客栈古色古香，位置不错出门就是古镇风景区，吃喝拉撒非常方便，坐公共交通步行就可以到达。就这个价格客栈设施能满足旅游的基本需要，适合享受慢生活的群体，不适合要求高的人士，有机会来枫泾还会住。', 'star': 5}
{'descr': '外面感觉还不铛，有古镇风情，里面和一般旅馆差不多', 'star': 3}
{'descr': '住的很好，位置也不错', 'star': 4}
{'descr': '位置好，不难找。只是房间太小，连放行李的地方也没有。', 'star': 4}
{'descr': '位置好，还不错，够字数了么', 'star': 3}
{'descr': '位置好，老板很热情。内部设施和环境么，如果你比较讲究，就不推荐了。', 'star': 1}
{'descr': '还行，感觉空调很冷，第二天小感冒了，另外门口吃早点找不着北', 'star': 5}
{'descr': '虽然房间有点小，但设施很齐全，在古镇比较繁华的地方，也挺好找的。。。', 'star': 5}
{'descr': '很不错  位置好 价格适中 老板娘人好 房间用的热水器烧水 就是接着洗澡的话  可能的等着水烧热了才能  其他的还不错', 'star': 5}
