{'短评内容': '很好方便快捷订到满意服务保障', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间很干净，睡觉也很安静，感觉不错！', '短评打分': 5}
{'短评内容': '房间干净，晚上很安静', '短评打分': 5}
{'短评内容': '特别喜欢，服务态度也很好，是我在网上选的那个房间，比前一晚在曾厝安住的好多啦，超喜欢岛上', '短评打分': 5}
{'短评内容': '房间很安静，离龙头街很近，去景点距离还算可以，因为本身岛上也不大，店员很热情，能告知具体路线～缺点是酒店空调声音太大了，门口的那个巷子过于狭窄，还有台阶，对于老人可能不太方便～', '短评打分': 4}
{'短评内容': '这次是一个人旅行，找了一家民俗体验，虽然路比较难找，但是晚上睡觉的确这家很安静！宾馆有的他们家都有。性价比是高，因为充电器插头少了，她们都很热情的借我了。总之很喜欢啦，满分好评', '短评打分': 5}
{'短评内容': '进去的巷子太窄了又斜，拉拉箱都不能好好拉的，不太方便又是排档放杂物的，不干净，看到这样的巷子也是醉了，进到去也没多大的惊喜，只能说一点就是出了巷口就有很多吃的店铺', '短评打分': 3}
{'短评内容': '挺好的，其实挺容易找到的，就是一开始不熟悉，绕远了。房间挺安静的', '短评打分': 5}
{'短评内容': '环境可以，比较干净，位置有点难找', '短评打分': 4}
{'短评内容': '我和女朋友不是挑刺儿的人，住的感觉也不错，就是别住一层的大床房就是了，空调有噪音', '短评打分': 4}
{'短评内容': '酒店位置位于热闹的龙头路和福建路交汇点，出去很方便。老板俩对客户都很友好，还介绍景点如何玩，很贴心的。酒店房间还干净，舒服，很有家的感觉。整个十一假期的出游，在鼓浪屿过得很休闲写意，是多次假期出游中最轻松、行程安排最合理的一次。很值得推荐的酒店。只是路口的垃圾能清理干净会让人感觉更好。', '短评打分': 4}
{'短评内容': '比较偏僻，但店主人很好', '短评打分': 5}
