{'短评内容': '宾馆位置还可以，条件顶多是两星，床品干净，质量一般。', '短评打分': 3}
{'短评内容': '酒店环境还可以，交通方便。但房间一般。', '短评打分': 3}
{'短评内容': '首先得赞美下香格里拉的风景，确实很美很美。但毕竟是藏族地区吃的就不怎么地了，听导游的没错，一定要把早餐吃好、吃饱，吃来吃去只有酒店的自助早餐合适我们的口味，真的好，品种很丰富。房间和服务也还不错。推荐！', '短评打分': 5}
{'短评内容': '还可以，相当于条件好一些的地方的三星级。不过有假冒酒店服务员的人上门提供陷阱服务，说是酒店赠送的保健按摩，免费的，实际是...！', '短评打分': 5}
{'短评内容': '到了香格里拉实地看了才决定住这家酒店的，门脸在香格里拉来说还算不错，周围吃饭的不少，走路就到，但是好吃的可没什么。酒店设施也就勉强是个三星，但是香格里拉实在是没有好酒店。入住时不少旅行社的也在入住。', '短评打分': 5}
{'短评内容': '朋友帮定的酒店，把时间弄错了，我们提前了一天到达，酒店房间已经满了，前台服务员热心地帮我们四处联系周围的酒店，并详细地把各家酒店情况向我们一一介绍，我们选了一家，第二天又回来住，服务很不错，房间也很舒服。', '短评打分': 5}
{'短评内容': '香格里拉风光确实很美，但真的冷啊！回到酒店就感觉很暖和，卫生也做的很好。', '短评打分': 5}
{'短评内容': '第一次来这样冷的地方，刚进入城里时，看见路边都是雪很兴奋，一到酒店，下车就跑去玩雪，才发现地上都是冰，几个朋友都滑倒了，酒店门卫赶快来扶住我们，帮我们捡掉在地上的东西，看着这些脸上映着高原红的服务员，心里很暧，玩得很开心。', '短评打分': 5}
{'短评内容': '地理位置不错，外观挺有民族特色，离古城很近，方便、干净。', '短评打分': 5}
{'短评内容': '硬件设施比较陈旧，软件服务还是可以的，房间有浴缸，但初到高原一般很少用得到，怕有高原反应。', '短评打分': 5}
{'短评内容': '挺干净的，早饭种类不是很多，不过已经很不错了。', '短评打分': 5}
{'短评内容': '环境 服务都很好 超级推荐大家去体验一下', '短评打分': 5}
{'短评内容': '房间一般,三星的标准!! 没网络,要网络的提前说明!!', '短评打分': 5}
{'短评内容': '作为四星级涉外酒店，设施陈旧了一些。房间隔音不是太好，早餐也不丰盛。但就地区而言，也就这样了。', '短评打分': 5}
{'短评内容': '酒店设备老旧，厕所的门是坏的，面巾质量差，薄得像纱布，有些部分还是湿的。总体来说，连3星酒店还不如。这些也都算了，最让人气愤的是前台服务态度极差，入住时帮我们办理手续的服务员说押金100，为了方便给个整数，我们房费740，他让我们给个900，合理。给了900元，都要开单了，突然旁边一个女服务员跑来，硬说要收1000，我们只不过问了一下不是说给900怎么突然要多给100，她马上脸黑得好像我们欠她钱似', '短评打分': 1}
{'短评内容': '卫生太差、被子和床单烂的而且上面全是污渍、餐厅肮脏，晚上有女的给房间打骚扰电话，最可怕的是出来好像有人跟踪。所以千万别去这个破酒店还是4星，大骗子！烂酒店！！大骗子！烂酒店！！大骗子！烂酒店！！大骗子！烂酒店！！大骗子！烂酒店！！', '短评打分': 1}
{'短评内容': '早餐开放时间段太短，且品种太少！', '短评打分': 5}
{'短评内容': '酒店特别差，住了几天都快崩溃了。后来发现香格里拉其它100多的酒店也比这家强很多。', '短评打分': 3}
{'短评内容': '酒店就像个招待所，服务也是招待所水平，收费却是四星五星水准的。', '短评打分': 3}
{'短评内容': '酒店服务差，卫生间脏。消费还特别贵。还算四星级酒店，但感觉还不如一百元的酒店。', '短评打分': 1}
{'短评内容': '真的太一般了，入住结账的效率也慢，390元的大床房真不值得，虽说离客运站很近，但我很后悔没有花那六块钱打的士；临街，晚上睡觉很吵，而且房间实在太小了点，床也是我见过的大床中最小的；真不如古城里一两百的客栈。唯一还觉得贴心的就是有水果赠送。', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都很不错，卫生服务也很达标，价格合理适中，房间的配置也很好，位置出行也很方便。', '短评打分': 3}
{'短评内容': '一切都一般，但也没有别的酒店好选的，水不好，好全市都一样的不好。', '短评打分': 5}
{'短评内容': '酒店的管理还有很大差距，旺季的房间紧张', '短评打分': 3}
{'短评内容': '房价性价比一般', '短评打分': 3}
{'短评内容': '10月初了  酒店空调纯属摆设， 没暖气  只有呼呼的响声。 因为一行订了10间房间/夜，所以在此利用多次点评的机会多反映点酒店的问题。 ', '短评打分': 3}
{'短评内容': '前台办理入住和结帐手续不专业，磨蹭半天，无法提供机打水单，无法预授权，结帐时只能房费刷卡，其他如洗衣费，电话费非要求现金，相当麻烦和不人性化', '短评打分': 3}
{'短评内容': '酒店较新，这次是第二次住了，和之前住时相比，看得酒店的设施维护工作做的不太好，才一年时间多了很多卫生死角。早餐一般，餐厅卫生有待提高。房间住的303，床头地毯上一股浓烈的臭味，充斥房间。\r\n这里要重点提一下的是：酒店的管理比较混乱，下雨天跟前台借了把伞，伞尖又轻微凹坑，我也未太在意，但归还时却一口咬定外借时都是好的，非常纳闷他们外借时是怎么检查的，而且有个前台服务生态度恶劣，嘴脸丑恶，经理无判断力', '短评打分': 1}
{'短评内容': '房间干净\\舒适,入住还送饮料水果', '短评打分': 5}
{'短评内容': '房间比较旧。早餐和服务都不错。离长途车站很近。', '短评打分': 5}
{'短评内容': '奥运末来到这里，酒店很新，设施干净，我住的那间还可以看到扎抡布寺（好像是吧），还可以看到远处山上的“香格里拉”四个字。只待一天，其他服务未曾感受。价格比还可以吧。', '短评打分': 5}
{'短评内容': '酒店很新，房间设施很不错。我入住的是350元的商务单人间，床很舒服，还有卫生间很干净，洁具还是科勒的，毛巾也很柔软舒服。总之不错，只是价格高了点。早餐一般。', '短评打分': 3}
