{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '提别人订的，不错，很好，下次还会入住。                                好', '短评打分': 5}
{'短评内容': '总的来说不是很好，酒店名由于LED灯不亮，走到眼前仔细辨认才能发现，大堂也不明显，淋雨是最不可忍受，很长时间都不热。', '短评打分': 2}
{'短评内容': '挺好的，价钱不贵，卫生干净，服务也特好。下次去还想住那。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境还不错，酒店有点老了', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错到哪里都很方便', '短评打分': 5}
{'短评内容': '住了好几次了，环境好，下次还会光顾的', '短评打分': 5}
{'短评内容': '同学端午节期间来连拍婚纱照，帮定的这家酒店，离商圈很近，步行5分钟，周围有劳动公园，空气也很好，酒店整体不错，就是早餐质量稍显一般，希望日后改进', '短评打分': 5}
{'短评内容': '该酒店服务态度很好，环境干净卫生，很舒适', '短评打分': 3}
{'短评内容': '环境不错 服务人员态度很好 住的很舒心......', '短评打分': 5}
{'短评内容': '这个酒店虽然没挂星，但可能是新装修的，里面的设施和卫生条件真的好极了！住的非常舒适，而且很安静，下回去大连还会光顾的！', '短评打分': 5}
{'短评内容': '卫生条件很好，环境不错。很安静，下次还会光顾的。', '短评打分': 5}
{'短评内容': '员工第一次入住  觉得可以  对得起价格 下次还住', '短评打分': 5}
{'短评内容': '地理位置非常好，吃饭逛街都很方便，性价比高，推荐', '短评打分': 5}
{'短评内容': '地理位置不错，吃饭，逛街都非常的方便，性价比非常高。', '短评打分': 5}
{'短评内容': '环境安静  价格合适  服务态度好  非常不错', '短评打分': 5}
{'短评内容': '周边环境很安静 但是距离繁华地带却都不远 公交车很方便 室内环境干净 整洁 住宿所需要的基本物品齐全 服务人员态度非常好 下次有机会还会去住', '短评打分': 5}
{'短评内容': '虽然未挂三星的酒店，却胜过瑞诗，凯宾斯基等准五星酒店，所有厨卫未TOTO，房间超级干净，不干不燥，非常的舒服，地理位置就是大连中心，本人住了五天，舍不得离开', '短评打分': 5}
{'短评内容': '房间设计与生活用品的品质都是一流，服务态度非常好，隔音效果好，交通方便，以后还会再去的。', '短评打分': 5}
{'短评内容': '在大连考研，考点在三十四中的，一定要选择唐山街宾馆，离考点不到200米，还不用过马路，是绝佳的选择。2013年考研的同学，知道考点后就订这儿啊（北外、北二外、北航、北师大基本都是在这儿考，不变的）。有早餐，房间内也比较宽敞，卫生间特别干净，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店大堂有刺鼻的臭味房间还是挺干净的就是有点小 总体感觉还可以', '短评打分': 3}
{'短评内容': '装修得很好 建筑材质考究 实木\n家具舒适温馨 液晶电视很大 喜欢的！', '短评打分': 3}
{'短评内容': '酒店也就是一般的酒店，没有四星级酒店的服务和规模，床很硬连褥子都没有，像是睡在硬板床上，早餐很简单，电梯也很小，从硬件和软件上看都不够星级标准，如果不提高以后不会再去了.\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '酒店也就是一般的酒店，没有四星级酒店的服务和规模，床很硬连褥子都没有，像是睡在硬板床上，早餐很简单，电梯也很小，从硬件和软件上看都不够星级标准，如果不提高以后不会再去了', '短评打分': 1}
{'短评内容': 'xxde,这酒店，服务真不怎么样，本来印象还不错，住了好几次了。这次真让我上火了。硬件就不多说了，床板硬，网速慢，早餐品种少。\n今天倒好，收拾房间的服务员被套没整理就准备走了。矿泉水也没给补全。\n餐厅电话接线服务员态度也不怎么样，连个送餐服务都没有。\n这酒店，以后不住了！', '短评打分': 1}
{'短评内容': '还有个缺点，早餐种类太少了，每次来都不知道吃什么好。。。。。致命伤啊。\n价格还比较吸引人。地段不错。。。。。。。。', '短评打分': 5}
{'短评内容': '优点是新装修，地段还不错。\n缺点是，网速太慢，这点如果是出差需要传文件，简直无法容忍！！！\n还有一个是床板确实有点太硬了。', '短评打分': 5}
{'短评内容': '床很硬，被子比较潮。\n早餐极为简单。\n入住手续办理非常慢。', '短评打分': 1}
{'短评内容': '酒店环境还行。是新装修的。就是配套设施还不行，连一个吹风机都没有', '短评打分': 1}
{'短评内容': '房间很不错，就是刚装修完，有点味道，早餐种类略少，不过很值得推荐，酒店还送了果盘', '短评打分': 5}
