{'短评内容': '一般。太一般了', '短评打分': 3}
{'短评内容': '酒店靠近大道', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生有待提高。周边坐车不方便。', '短评打分': 3}
{'短评内容': '房间非常温暖！干净肃静！出门交通也方便，400米之内公交车站！', '短评打分': 5}
{'短评内容': '在价格比上我认为是低的', '短评打分': 3}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '好，非常好，服务周到，条件一般', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '环境好，干净整洁，出行方便。', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '环境还可以，挺安静的。', '短评打分': 5}
{'短评内容': '很好，第二次来住了。', '短评打分': 3}
{'短评内容': '房间卫生挺好，环境不错，服务也很好。下次还来。', '短评打分': 5}
{'短评内容': '新建的宾馆，都是新的，很干净，服务也很好，暖气给的很足', '短评打分': 5}
