{'短评内容': '不错不错不错，就是电梯比较麻烦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务好，房间干净，位置好找', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很干净，舒适，性价比高，值得入住', '短评打分': 5}
{'短评内容': '比较安静', '短评打分': 5}
{'短评内容': '还不错，就是设备有点旧！', '短评打分': 5}
{'短评内容': '很好 下次再来', '短评打分': 5}
{'短评内容': '酒店服务好，早餐丰盛，周边小吃较多，值得堆存入住！', '短评打分': 5}
{'短评内容': '好好好好好好～～～', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好，住的安心放心，下次还要住。', '短评打分': 5}
{'短评内容': '21日最多三次，什么时间？嗯，不错的酒店，位置很好很干净，前台服务很负责，很好，很好，大战大战', '短评打分': 5}
{'短评内容': '酒店还可以性价比不错，房间窗户有点儿小。', '短评打分': 5}
{'短评内容': '不错。酒店还可以周围吃饭比较方便。', '短评打分': 5}
{'短评内容': '不错?很好的?', '短评打分': 5}
{'短评内容': '还行！环境不错', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '挺好的呀。。。。。。干净整洁方便安静。。。。。。距离电影院，吃饭的地方也是非常的近。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，一如既往的好', '短评打分': 5}
{'短评内容': '房间干净 楼下餐饮很多 ', '短评打分': 5}
{'短评内容': '比较干净，隔音差。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '性价比很高，给同事订的，挺好！性价比很高，给同事订的，挺好！性价比很高，给同事订的，挺好！', '短评打分': 4}
{'短评内容': '性价比较高！', '短评打分': 5}
{'短评内容': '习惯的酒店，西安的比去过的其他地方要好很多', '短评打分': 5}
{'短评内容': '住着感觉很舒服 经济', '短评打分': 5}
{'短评内容': '很好很好，交通方便，吃的也很多', '短评打分': 5}
