{'短评内容': '22楼，高瞻远瞩，房间不大，但很温馨宁静，适合休息，不知这个价位下次还能否订到。', '短评打分': 5}
{'短评内容': '设施陈旧，', '短评打分': 4}
{'短评内容': '酒店位置很好，中心广场附近，车站附近，旁边有大型商场，商业街，停车方便且免费，房间面积也宽敞，适合带孩子出行。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '性价比比较高。', '短评打分': 5}
{'短评内容': '每次来汉中都住这里，性价比很高。', '短评打分': 5}
{'短评内容': '每次来汉中都住这里，环境好，性价比很高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生条件还可以', '短评打分': 4}
{'短评内容': '很好，楼层高', '短评打分': 5}
{'短评内容': '环境卫生还可以', '短评打分': 3}
{'短评内容': '交通便利，性价比好', '短评打分': 4}
{'短评内容': '总体来说，很不错！', '短评打分': 4}
{'短评内容': '还可以，卫生间味太重！！！希望改进。电梯不平稳。5分', '短评打分': 2}
{'短评内容': '豪华的还行，就是酒店服务人少了', '短评打分': 5}
{'短评内容': '房间大小合适，环境舒服，洗澡水美极啦，就是房间不隔音，严重影响个人休息。', '短评打分': 3}
{'短评内容': '三只蚊子啊，此国贸非彼国贸！', '短评打分': 5}
{'短评内容': '酒店位置较好，位于市中心区域，但隔音不怎么好，而且卫生条件也不好。', '短评打分': 1}
{'短评内容': '   总体可以  大厅不行', '短评打分': 3}
{'短评内容': '挂的是4星级宾馆，但设施比较陈旧，肯定开业时间相当长了。', '短评打分': 1}
{'短评内容': '环境不错，交通，购物，吃饭都很方便，要是能再配上电脑上网就好了。', '短评打分': 3}
