{'短评内容': '酒店设施尚可 ，大堂不在一楼，服务还可以吧，交通方便', '短评打分': 5}
{'短评内容': '本次入住感觉很一般，生日当天需要提醒下才会给一个很难吃的蛋糕，告知换浴巾也没有换。下次不会再住这儿了，对服务认为没有保障了。', '短评打分': 3}
{'短评内容': '还可以吧，离南站很近，附近有购物圈，万达百盛什么的。可一说是闹中取静。但是酒店大唐再六楼，房间还可以。', '短评打分': 3}
{'短评内容': '酒店价格适中,位置在市中心比较方便,出差与旅行都好,下次来还会住.', '短评打分': 5}
{'短评内容': '酒店在北方来说，还行。就是不太好找。住的还不错', '短评打分': 5}
{'短评内容': '房间一般，在四星的标准里感觉属于中等，总体来说没有打毛病，也不是特别好，就那样！', '短评打分': 5}
{'短评内容': '这酒店灰常好，环境，服务和食物都没话说，下次还会去住', '短评打分': 5}
{'短评内容': '自助餐品种虽然还可以，但没什么好吃的，不值', '短评打分': 5}
{'短评内容': '富丽华酒店不错的，价格比较适中，软硬件都不错。下次还会入住！', '短评打分': 5}
{'短评内容': '整体还不错的，自助餐还可以的，房间条件满意的，价格有点偏高，希望能多搞优惠活动', '短评打分': 5}
{'短评内容': '酒店还行，就是前台在六楼不太方便，不过自助餐便宜，还有优惠券。', '短评打分': 3}
{'短评内容': '还可以，卫生间不错，房间稍小。服务不错。中餐的海鲜疙瘩汤很好吃！', '短评打分': 5}
{'短评内容': '酒店环境很好而且房间很干净特舒服给好评哦下次还会入住', '短评打分': 3}
{'短评内容': '很一般的酒店 没有什么特色 也没有明显缺点', '短评打分': 1}
{'短评内容': '价格合适', '短评打分': 3}
{'短评内容': '第二次入住，感觉很差，以后不住了。', '短评打分': 3}
{'短评内容': '酒店还可以，大唐在6楼，不是那么方便。酒店游泳池基本没有什么人，很不错。', '短评打分': 5}
{'短评内容': '感觉很一般 没有大连的高档 ，，，，，，，，，', '短评打分': 1}
{'短评内容': ' 服务好', '短评打分': 3}
{'短评内容': '同事说还不错。下次去沈阳出差还要我定这家。', '短评打分': 5}
{'短评内容': '整体还好吧，没有特别的优点，也没有特别的缺点！', '短评打分': 5}
{'短评内容': '酒店不错，房间很温暖，设施不是很新，位置很好。', '短评打分': 5}
{'短评内容': '酒店很不错，温度也很好，希望价格能更合理点。', '短评打分': 5}
{'短评内容': '游泳池不错，酒店服务好，入住率高，导致电梯有时较慢，总体来说，不错的酒店。', '短评打分': 3}
{'短评内容': ' 酒店地理位置很方便，环境和服务都很好，只是价位偏高，而且这样的价格都不含早餐实在不给力', '短评打分': 3}
{'短评内容': '酒店条件在沈阳算是不错的，交通位置也方便，服务方面也算满意虽然结账是出了点小插曲但前台员工的态度还是非常耐心和配合。', '短评打分': 5}
{'短评内容': '地点还不错，价格偏高。总体还不错，结账太慢。。。可能有几个老外堵塞了。\n\n588不含早餐。。。。。', '短评打分': 5}
{'短评内容': '酒店位置不错，但房间和网上看得不一样，有点小，洗澡水也不热', '短评打分': 1}
{'短评内容': '不符合五星的期望值和价格，房间挺旧，预定的豪华房面积也不大，早餐贵但食品种类和口味都令人失望。', '短评打分': 1}
{'短评内容': '和以前去的时候相差太远了 房间电视坏了  墙角都开了', '短评打分': 1}
{'短评内容': '酒店位置非常好，交通和餐饮均方便。酒店硬件不错，早餐不错', '短评打分': 5}
{'短评内容': '嗯，富丽华就是富丽华，感觉就是好，我喜欢，走到哪里，都是我最佳的选择。', '短评打分': 5}
{'短评内容': '非常好，服务、态度、环境都很好，吃的也不错。', '短评打分': 5}
{'短评内容': '还好，房间设施不错，价格高！总体值得推荐', '短评打分': 5}
{'短评内容': '位置好，酒店设施有点旧。离谱的是房间有大虫子！这个价格带早餐还算合理！', '短评打分': 5}
{'短评内容': '总体不错，离工作地点也很近。酒店装修比较好，大堂在7楼，服务在沈阳也还算Nice，应该会再来住。不过，早餐品种虽然多，但好似不太合胃口。 ', '短评打分': 5}
{'短评内容': '酒店各方面都不错，对得起这价格，以后还会来住的。', '短评打分': 3}
{'短评内容': '酒店设施不错，房间和床很舒服，就是不提供喝水的杯子很奇怪。前台服务速度稍慢。地理位置很好，处于闹市但房间又安静。', '短评打分': 3}
{'短评内容': '还是不错的。位置挺好。赶上糖酒会，价格偏高。网速很慢。', '短评打分': 5}
{'短评内容': '位置好！购物方便！设施需要改进了！有些旧了！', '短评打分': 5}
{'短评内容': '总体不错，离地铁站很近，虽然沈阳的地铁还没有形成网络。\n几点不足：\n1、早餐品种不够多。\n2、行政房里的宽带居然还要收费，而且网速简直无法忍受。\n3、连中央新闻频道也没有。', '短评打分': 5}
{'短评内容': '住了好几次了，还不错，推荐来沈阳出差的朋友', '短评打分': 5}
{'短评内容': '酒店很不错，顶一下。', '短评打分': 3}
{'短评内容': '五星酒店,虽然房间不大,但是酒店很好,服务也比较不错', '短评打分': 5}
{'短评内容': '位置不错，大堂在酒店楼上。房间较小，比较卫生。服务也还不错。', '短评打分': 1}
{'短评内容': '位置好，设施也比较新，处在商业区，购物方便，就是酒店的价格波动太大，去年住才300多，今年就600多了，哎！CPI啊！', '短评打分': 5}
{'短评内容': '帮同事定的，同事反映酒店位置好，逛街比较方便', '短评打分': 5}
{'短评内容': '首先该酒店没有大门,让人感觉不到高级酒店的气氛.房间陈设一般,窗户开了撑不住,而且窗框全是沙尘.卫生间的大灯和排气扇是串联的,你要光就必须接受很不舒服的声音.没有停车场,可能是位置太好了吧,但与北约克维景就一街之隔,也在同档次酒店售卖,但差别为什么怎么大呢?', '短评打分': 1}
{'短评内容': '很好的房间', '短评打分': 3}
{'短评内容': '比起其他五星酒店来说服务一般', '短评打分': 3}
{'短评内容': '地理位置不错，但是软硬件都不敢恭维，尤其是电梯太慢了，早晨从楼上下来，得用10分钟，与五星级酒店不相配。', '短评打分': 1}
{'短评内容': '总体来说还是可以，但是个人觉得性价比不是很高，在沈阳六百多也不算低啦', '短评打分': 5}
{'短评内容': '位置好，房间较老，设施还不错，服务好，秉承以往酒店的风格，还不错。', '短评打分': 5}
{'短评内容': '酒店位置离工作的地方比较近。服务态度什么的都不错，但是不知道为什么，明明沈阳有出租车叫车电话，前台的小伙子就是告诉我没有，让我星期天一早六点钟到街上自己拦。幸亏有别人订的车也要去机场，出租车司机好心又给叫了一辆，要不我就赶不上飞机了，沈阳的出租车司机大部分周日都休息！我站在街上拦的话估计一个小时都拦不到。听说得给他们小费他们才愿意给提前订车。这事让我十分郁闷。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '周边环境很好，购物，美食，就是酒店大门太小，停车场入口一把拐不过去，晕，其他都还不错，富丽华，靠谱。。。。。。', '短评打分': 5}
{'短评内容': '优点：交通方便，高层视线好，大厅气派；缺点：客房(高级房)面积一般，饮料宽带等需额外付费。结论：不推荐，中规中矩，没特色。', '短评打分': 3}
{'短评内容': '之前看到对隔音效果的评价很差，有点担心。幸好隔音效果很好，睡眠质量得到了很好的保障！', '短评打分': 3}
{'短评内容': 'Good location and nice service Friendly personnel,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '感觉很好，交通便利，干净整洁，服务周到，还会入住的！', '短评打分': 5}
{'短评内容': '酒店的位置很中心，但是大堂不在一楼，所以看不到五星的气派，早餐开餐是否可以再早些这样赶飞机方便些。', '短评打分': 5}
{'短评内容': '第二次入住了，各方面感觉还不错～～～～~', '短评打分': 5}
{'短评内容': '还可以，离沈阳站(南站1公里)，之间购物餐饮很多。', '短评打分': 5}
{'短评内容': '地段不错,房间干净整洁.大堂在6楼,有时需等电梯.', '短评打分': 5}
{'短评内容': '酒店还不错，推荐一下~~~~~~~~~~', '短评打分': 5}
{'短评内容': '本以为和大连富丽华档次相同，但是入住后极度失望。', '短评打分': 1}
{'短评内容': '酒店位于商业中心区太原街附件，热闹但并喧闹，晚上可以睡个好觉，房间还不错。\n但宽带的速度一般；早餐很一般，毕竟是四星级酒店嘛。位置好价格还不算太贵，就可以了。', '短评打分': 5}
{'短评内容': 'This is a good hotel.  very close to my working place.  Price is OK.  Hotel staff are friendly but check in time is too long.  I think I will stay there again', '短评打分': 5}
{'短评内容': '地理位置不错,价格也适中。但是,整体服务一般。', '短评打分': 3}
{'短评内容': '这饭店经常住。 挺好。 以后也住这饭店。 ', '短评打分': 5}
{'短评内容': '酒店房间还好，大堂不在一楼，按照性价比来讲，价格偏贵。', '短评打分': 1}
{'短评内容': 'satisfied. Like this hotel.', '短评打分': 5}
{'短评内容': 'I like this hotel very much. ', '短评打分': 5}
{'短评内容': 'Like\u3000this\u3000hotel.', '短评打分': 3}
{'短评内容': '：环境还行，早餐不错。房费今年涨价了不少', '短评打分': 3}
{'短评内容': '位置好，交通比较方便。但床上用品不只为什么全是破洞。之前看了点评以为是个别现象，但实际也遇到了同样的问题。早餐停止时间较晚。', '短评打分': 5}
{'短评内容': '酒店客房服务的送餐特别难吃', '短评打分': 3}
{'短评内容': '性价比高，设施新，服务不错。早餐一般，水果种类太少。', '短评打分': 5}
{'短评内容': '酒店设施有点旧了！', '短评打分': 3}
{'短评内容': '交通还很方便，比较安静和舒适，服务也不错。房间再大点就好了', '短评打分': 5}
{'短评内容': '酒店房间小，晚上自助餐很早就结束了，住酒店还是第一次碰到。', '短评打分': 1}
{'短评内容': '服务欠佳，设备陈旧，总体感觉一般', '短评打分': 3}
{'短评内容': '酒店很舒适推荐', '短评打分': 3}
{'短评内容': 'bucuo...................................', '短评打分': 5}
{'短评内容': 'bucuo...............................', '短评打分': 5}
{'短评内容': '酒店位置不错 比较便利 房间很舒适 总体来看比较不错', '短评打分': 5}
{'短评内容': '酒店挺新，房间干净温馨，服务很好，值得推荐', '短评打分': 3}
{'短评内容': '酒店有些老，卫生条件不太好，交通不方便。', '短评打分': 1}
{'短评内容': '十己入住很满意', '短评打分': 3}
{'短评内容': '毛巾有点脏，床单有几个洞，早餐不好吃。酒店整体设计不合理。前台，及其他服务员的态度倒是不错。', '短评打分': 1}
{'短评内容': '还不错，早餐不好吃', '短评打分': 3}
{'短评内容': '酒店还可以，就是床单有些破洞，要及时更换。', '短评打分': 3}
{'短评内容': '挺新挺干净，早餐还不错，环境也好，不过最烦的酒店提供的免费矿泉水是特小的两瓶，根本不够喝。', '短评打分': 5}
{'短评内容': '沈阳富丽华大酒店，跟名字一样，非常富丽，交通也方便，谢谢！', '短评打分': 5}
{'短评内容': '沈阳富丽华大酒店价格适中,房间干净,服务好,床品舒适', '短评打分': 5}
{'短评内容': '一般的酒店，价格有点偏高，但是还能接受，下次估计不能住了', '短评打分': 1}
{'短评内容': '地点很方便，房间条件也不错。早餐一般般。管理有点僵化。', '短评打分': 5}
{'短评内容': '贵，不值那么多钱，设施也不好。嘿嘿，其他没什么了', '短评打分': 5}
{'短评内容': '别的挺好，就是价格最近有点高了，好像酒店的入住率一直不高。呵呵', '短评打分': 5}
{'短评内容': '很高级~因为价格在那里呢~可惜不含早餐。。。', '短评打分': 5}
{'短评内容': '装修简朴而又时尚，房间功能齐全，可以免费上网，床单更换及时，卫生间宽敞，服务到位。', '短评打分': 5}
{'短评内容': '位置蛮好，早餐也蛮丰富。就是房间有点小。', '短评打分': 5}
{'短评内容': 'Good hotal, good service, good place', '短评打分': 5}
{'短评内容': '酒店环境还行，就是早餐太贵', '短评打分': 3}
{'短评内容': '服务很好,设施稍微旧点,大堂很小,前台在六层.游泳池不错,水温正好.过年期间没有女士之夜特加自助餐可惜了.离机场大巴很近,步行三分钟.\n很不错,有机会还会住.', '短评打分': 5}
{'短评内容': '这家酒店设施，服务，卫生都不错。不过早餐有一点不满意。', '短评打分': 5}
