{'短评内容': '前台服务态度非常棒  送的牛奶很贴心 房间很干净也很大 唯一个洗手盆的水龙头坏了 不是很灵 卫生间空间大 ', '短评打分': 5}
{'短评内容': '前台服务态度非常棒  送的牛奶很贴心 房间很干净也很大 唯一个洗手盆的水龙头坏了 不是很灵 卫生间空间大 ', '短评打分': 5}
{'短评内容': '周边出行、吃饭都还是挺方便的，房间里面的卫生也比较干净。晚上还送了纯牛奶，这还是挺温馨的，就是里面设施有点旧，可能是这个酒店开的时间比较长了吧。', '短评打分': 5}
{'短评内容': '酒店位置很好，干净卫生，性价比高，睡觉也睡得好，旁边停车也便宜，关键晚上不喜欢吹空调还可以加被子，已经陆续几年都在这里住了', '短评打分': 5}
{'短评内容': '不错交通非常方便，周边都是餐饮，地铁一号线就在附近去天府广场也就1站', '短评打分': 5}
{'短评内容': '因为行程原因没有入住。。', '短评打分': 5}
{'短评内容': '离地铁锦江宾馆站50米左右，交通非常便利', '短评打分': 4}
{'短评内容': '在机场大巴1号线的终点，下车即到，非常适合坐夜班飞机第一次到成都的人，二层到四层是KTV，房间比较旧，卫生尚可', '短评打分': 4}
{'短评内容': '因为飞机抵达后是晚上11点了，所以提前订了机场大巴市内起点站旁边的酒店。 酒店就在市中心的位置，地理位置十分不错，大巴抵达后很容易找。而且离公交、地铁站都近。 房间很大，设施比较陈旧一点，房间卫生也一般，原想在市内住可能比机场附近要条件好些，但是除了房间大以外，没有多少优势，商务间连个早餐都没有。闹心的是房间窗外的空调外机，跟拖拉机一样吵，本来我睡眠很好的，居然被吵到2小时以后才睡着。  以后不会', '短评打分': 4}
{'短评内容': '位置好,住过,所以又选择来住.坐机场大巴到酒店楼下.去哪都方便,离地铁,公交站很近.房间也不错.性价比高.值得住.就是洗澡间小些.', '短评打分': 4}
{'短评内容': '最大优势位置在机场大巴起始站.也是最晚接机班车到的地方.而且就在酒店楼下,太方便.酒店距离地铁,公交车站也很近,去哪都方便.房间也不错,性价比高.只是洗澡间小些.总的来说不错.下次还来.', '短评打分': 4}
{'短评内容': '还行，机场大巴就在楼下方便', '短评打分': 5}
{'短评内容': '酒店服务态度很好，早餐还差5分钟不到9点就没早餐了', '短评打分': 5}
{'短评内容': '民航大巴乘车点，位置方便。服务周到，设施完善。', '短评打分': 5}
{'短评内容': '感觉不错很方便，楼下有民航大巴，有饭店，就是早餐要7点才有', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 4}
{'短评内容': '前台服务员和我吵架，心情差到极点，房间也不认真打扫卫生', '短评打分': 4}
{'短评内容': '主要是离机场大巴比较近，房间很大，设施比较新，推荐入住~~', '短评打分': 5}
{'短评内容': '非常方便,下民航班车就入住,干净,下次还住.', '短评打分': 5}
{'短评内容': '距离机场大巴乘车点很近很近。条件一般  但是以后做机场大巴还是会考虑', '短评打分': 5}
{'短评内容': '优点：交通便利，楼下就有机场大巴303，10元钱就能到双流机场。\n缺点：普标配套设施差一些。\n总体评价：一般', '短评打分': 5}
{'短评内容': '装修比较旧，房间面积还可以，门口附近有机场大巴，比较方便。', '短评打分': 1}
{'短评内容': '不敢飞机不要住，住了基本上要失望的，不相信的可以去试试', '短评打分': 1}
{'短评内容': '成都美华酒店旧是旧点，不过地理位置极佳一切都很方便。推荐！', '短评打分': 3}
{'短评内容': '酒店交通特别方便，特别是来回机场基本不用打车，还有房间比较大，但是破旧也是真的', '短评打分': 5}
{'短评内容': '不错,进出机场大巴很方便.商业街也在附近,购物出行也很便捷,地铁1号线就在旁边.', '短评打分': 5}
{'短评内容': '还行吧 设备有点老旧 如果扣掉返的优惠券128元 这个配置这个价位这个地段还是可以接受的 宽带 独立卫生间 大窗户 大床 可以选择', '短评打分': 5}
{'短评内容': '一入住.櫃台就說台灣人不給住...一開始有點納悶....想說給他錢賺.他還不賺..最後經理出來...辦好了入住....進房之後..終於豁然開朗了起來...原來是這樣的住宿品質... 靠近浴室地板 是壞的...隔天睡醒還落枕...因為枕頭太低了..不太好睡', '短评打分': 1}
{'短评内容': '太滥了，要不是赶飞机肯定不会住。环境非常差！\n', '短评打分': 1}
{'短评内容': '不错，夜景也不错', '短评打分': 3}
{'短评内容': '酒店在装修，前台服务欠佳，房间很破，有的房间居然无网线，太失望了', '短评打分': 1}
{'短评内容': '这个价位的酒店不错，离机场大巴太近了，爽', '短评打分': 3}
{'短评内容': '酒店设施有些陈旧，卫生还可以，离市中心也很近，去机场坐机场大巴很方便，只住一两天还是可以的', '短评打分': 3}
{'短评内容': '环境很差不推荐', '短评打分': 3}
{'短评内容': '地段很好，机场大巴的终点站就是酒店所在，对面是锦江宾馆，出门就有30米就有公交站及地铁入口，交通很方便！但是我4月中旬入住时，酒店还在进修地面的返修，灰尘很大，如果追求性价比还是可以考虑的，主要交通方便！', '短评打分': 5}
{'短评内容': '住的这么长时间，去会展很是方案，地铁直达，旁边有蜀九香火锅，不错，好吃的很', '短评打分': 5}
{'短评内容': '酒店位置不错，靠着地铁口。酒店环境还还可以', '短评打分': 5}
{'短评内容': '主要是很方便，下了机场大巴直走30米就是酒店。\n住的是普间，房间设施比较陈旧，当时住的920，屋里的窗户关不上，由于已经下半夜两点，早上还要赶路，就将就了一晚。\n不过房间的设施都好用，淋浴、洗漱、电热壶都正常工作，床铺也很干净，睡着很暖很舒服，不过衣挂在衣柜里是锁起来的，洗完衣服不方便拿出来取用。\n服务方面，CHECK-IN和CHECK-OUT的时候前台的服务人员的效率都很高，但是不是很注重细节，', '短评打分': 5}
{'短评内容': '成都美华不错，', '短评打分': 3}
{'短评内容': '该酒店卫生干净，空间大，硬件设施很完备，位置优越，紧靠机场大巴发车点。', '短评打分': 5}
{'短评内容': '住的178元的标间，如果你完全是为了早上赶机场大巴，可以入住。否则，不建议你入住。在成都，任何一个经济性/商务型酒店都比这个好。怎么说呢，他只比机场同价位酒店稍好一点而已。\n这不是一个酒店，感觉只是一个商住楼改的，完全没有酒店的感觉。房间地板是像街上那种不平的石板铺的。卫生间跟那种随团旅行时住的准二星差不多。', '短评打分': 1}
{'短评内容': ' 挺好的经济酒店，价格合适，房间也算不错了，地段不错，对面就可以坐机场大巴。', '短评打分': 3}
{'短评内容': '酒店位置不错，可惜安全感差了许多！', '短评打分': 3}
