{'descr': '应该是携程代理的，虽然没入住，但希望京东旅行越做越好', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '早餐不错，停车也方便，很好', 'star': 5}
{'descr': '房间隔音很好，听不到隔壁的声音', 'star': 5}
{'descr': '订房时没有早餐感觉不方便，旁边有超市。房间卫生还行，住的457房，距离电梯感觉太远了点，总体还可以吧！', 'star': 5}
{'descr': '还不错 离地铁站略远', 'star': 4}
{'descr': '还不错，性价比高', 'star': 5}
{'descr': '特地定了有窗户的房间，结果是暗窗，，，', 'star': 4}
{'descr': '总体还行，后面有停车场', 'star': 5}
{'descr': '不是每个擦肩而过的人都会相识，也不是每个相识的人都会让人牵挂，至少，我们在今生，在那个地方，在一转身的时候没有错过。 \u200b\u200b\u200b. \u200b\u200b\u200b', 'star': 5}
{'descr': '性价比算高的，服务也不错的。出差一直定在这儿，如家的早饭比莫泰好吃太多。', 'star': 5}
{'descr': '整体上可以，房间不小！', 'star': 4}
{'descr': '酒店干净卫生整洁舒适透气清爽，离考试的地方也很近，服务员态度也很不错，总之，下次如果还来这里考试，我就还住这里', 'star': 5}
{'descr': '房间挺大 设施齐全 洗漱用品质量好 ', 'star': 5}
{'descr': '卫生还行，环境也不错，酒店的位置离学校也很近', 'star': 5}
{'descr': '价格不贵住起来很舒服，开始只想太晚落地，在网上定一间，想起以前住过如家，印象一直不错，所以就定了，到了以后和图片上说的一样', 'star': 5}
{'descr': '卫生，干净，服务一流，每次出差首选', 'star': 5}
{'descr': '不错不错，干净舒适。', 'star': 5}
{'descr': '。在这种重中之重重中之重', 'star': 4}
{'descr': '不错，经常来', 'star': 5}
{'descr': '服务态度很好，设施很好，很干净', 'star': 5}
{'descr': '很好，满意', 'star': 5}
{'descr': '晚上需要带耳机听音乐睡，你懂的。近近景近景几句话', 'star': 5}
{'descr': '酒店预订流程酒店预订流程酒店预订流程', 'star': 5}
{'descr': '酒店不错，也挺方便，还不错', 'star': 5}
{'descr': '大床房134元还行，中规中矩。以后还会考虑入住。', 'star': 5}
{'descr': '如家快捷南京月牙湖银城东苑店距离南农大较近，适合考生入住。房间干净舒适，但隔音较差。', 'star': 3}
{'descr': '蛮不错的，交通比较方便，离中山陵很近，推荐！', 'star': 5}
{'descr': '蛮好，旁边都是大学，离中山陵很近，环境很好！', 'star': 5}
{'descr': '家庭房，还算干净整齐也足够宽敞。一家四口两大两小住没问题。比标准间舒服多了。但因为小朋友东西多，好像没有什么可供置物的柜子或台子。', 'star': 3}
{'descr': '环境不错,空调效果好住得安心,就是早餐不好吃!', 'star': 5}
{'descr': '感觉很温馨，很好', 'star': 3}
{'descr': '离学校近，支持，到周末都满的\n推荐一下吧！\n\n\n', 'star': 5}
{'descr': '离学校近，支持，到周末都满的\n推荐一下吧！\n\n\n', 'star': 5}
{'descr': '环境很好，很干净，很温馨~。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境很好，很干净，很温馨~。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还行,房间很温馨。', 'star': 3}
{'descr': '还行,房间很温馨。', 'star': 3}
{'descr': '不错，就是床短了点。其他还是蛮安静的。呵呵', 'star': 5}
{'descr': '不错，就是床短了点。其他还是蛮安静的。呵呵', 'star': 5}
{'descr': '环境安静，大床房，房间不是很大，商务房应该大很多，其他的都不错', 'star': 5}
{'descr': '环境安静，大床房，房间不是很大，商务房应该大很多，其他的都不错', 'star': 5}
{'descr': '干净卫生，很清爽，房间颜色也不是单调的白色，绿色和粉色很舒心', 'star': 5}
{'descr': '干净卫生，很清爽，房间颜色也不是单调的白色，绿色和粉色很舒心', 'star': 5}
{'descr': '已入住谢谢!续订一天好办吗?', 'star': 3}
{'descr': '已入住谢谢!续订一天好办吗?', 'star': 3}
{'descr': '如家的风格，位置还好，就是住大床房窗子靠内走廊，空气不好。还有广告打着可以延时，但实际上我中午1点不到去退房，前台就阴沉着脸说我超时了，好象我占多大便宜了。我大清早去医院时本想退房的，可是想着中午还可以回来稍事休息下。以前住的三星四星五星有时下午2、3点退房，人服务员也没半点不满，只是超12点就把房间门给锁了，必须请服务员开门而已。', 'star': 5}
{'descr': '如家的风格，位置还好，就是住大床房窗子靠内走廊，空气不好。还有广告打着可以延时，但实际上我中午1点不到去退房，前台就阴沉着脸说我超时了，好象我占多大便宜了。我大清早去医院时本想退房的，可是想着中午还可以回来稍事休息下。以前住的三星四星五星有时下午2、3点退房，人服务员也没半点不满，只是超12点就把房间门给锁了，必须请服务员开门而已。', 'star': 5}
{'descr': '感觉很不错，服务态度好，环境不错，下次来还住这里！', 'star': 5}
{'descr': '感觉很不错，服务态度好，环境不错，下次来还住这里！', 'star': 5}
{'descr': '这家酒店的早餐很好，每次来都要吃，推荐给各位朋友，谢谢！！！！！！！！！！！', 'star': 5}
{'descr': '这家酒店的早餐很好，每次来都要吃，推荐给各位朋友，谢谢！！！！！！！！！！！', 'star': 5}
{'descr': '卫生条件还算可以，但房间隔音效果不好，影响睡眠！', 'star': 1}
{'descr': '卫生条件还算可以，但房间隔音效果不好，影响睡眠！', 'star': 1}
{'descr': '如家 蛮温馨的布置，干净，整体还好， 离培训地点近。', 'star': 5}
{'descr': '如家 蛮温馨的布置，干净，整体还好， 离培训地点近。', 'star': 5}
{'descr': '环境不错，干净舒适。', 'star': 3}
{'descr': '环境不错，干净舒适。', 'star': 3}
{'descr': '住过许多次了，真的很好。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '住过许多次了，真的很好。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '比较好，经常住························', 'star': 5}
{'descr': '比较好，经常住························', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '很好。', 'star': 3}
{'descr': '好，下次还来。', 'star': 3}
{'descr': '好，下次还来。', 'star': 3}
{'descr': '温馨舒适，环境不错，距离中山陵景点很近，很不错', 'star': 5}
{'descr': '温馨舒适，环境不错，距离中山陵景点很近，很不错', 'star': 5}
{'descr': '房间不错，下次还住这个。', 'star': 3}
{'descr': '房间不错，下次还住这个。', 'star': 3}
{'descr': '房间不错，比旁边莫泰好多了。', 'star': 3}
{'descr': '房间不错，比旁边莫泰好多了。', 'star': 3}
{'descr': '酒店位置不错，价位也可以，就是 房间有点小。交通挺方便的', 'star': 5}
{'descr': ' 很好很温馨值得去', 'star': 3}
{'descr': '房间很大，服务超好，下次还订这里', 'star': 3}
{'descr': '酒店比较干净，旁边紧挨苏果超市和建设银行，出行也比较方便（走路5分钟有公交车站）。\n但房间大小不一，我和父母分别住了两间房，我那间因为在过道顶头非常小、非常暗，只有一个非常小的窗户。其实我们一行订了2间分别5天的住宿，完全可以给我们一个好点的房间，也省去了我后来换房间的麻烦。\n酒店隔音不好，电视声、隔壁上厕所声都会传过来。', 'star': 5}
{'descr': '除了不太安静，其他都还好，住的四楼，还有吹风机，房间也比较大', 'star': 5}
{'descr': '绿色的主色调哦……', 'star': 3}
{'descr': '安静，服务态度好，打扫及时。这是一家性价比高的快捷酒店。', 'star': 5}
{'descr': '如家条件还好，就是这个价格好像在很多地方预定一样规格的浮动很大，这个让我们很难弄。', 'star': 5}
{'descr': '酒店房间干净卫生，比以往住的如家酒店稍大一点，就是地理位置稍微偏一点，吃饭不太方便。', 'star': 3}
{'descr': '很好 很好 很好 很好 很好 很好 很好  很好 很好 很好', 'star': 5}
{'descr': '第二次入住，离南京农业大学很近，环境还不错', 'star': 5}
{'descr': '总体感觉还不错，服务员态度也好，主要是房间干净，灯光也好，而且还有很多人性化设施，很值得入住的一家酒店！！', 'star': 5}
{'descr': '还好了，就是周围买饭的比较少，房间还是可以的', 'star': 5}
{'descr': '住了好多次了，真的很满意!环境很好，交通比较方便。', 'star': 5}
{'descr': '替别人定的宾馆，条件还好，就是地址有点难找。', 'star': 5}
{'descr': '还是莫泰168的房间和环境好，而且周末还胀价', 'star': 1}
{'descr': '蛮好的，挺实惠，就是有点偏，下次应该还回去光临的！', 'star': 5}
{'descr': '还不错，房间挺大，位置好。考试的时候可以去住，离考试地点近，周围环境好，离大学近。', 'star': 5}
