{'短评内容': '电视看不到 wifi用不到', '短评打分': 5}
{'短评内容': '房间小。没提供毛巾，电视看不了，半夜开始头顶的烟雾报警器一直在滴滴响，弄的一晚上都没睡好。', '短评打分': 3}
{'短评内容': '太一般，房间也没毛巾用，有电视却没信号。设施陈旧。春节200多太不值，要是就100还是可以考虑', '短评打分': 3}
{'短评内容': '个人感觉不行，有待提高，服务态度还行，环境一般，很吵。', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 4}
{'短评内容': '老板很好，免费帮我们升级了房间呢', '短评打分': 5}
{'短评内容': '这边这价位不错了。老板还有双人自行车给我们玩。可以的。就是没独立卫生间比较麻烦，', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '旅馆旁边有很多小巷所以有点绕 有点难找 但是前台还是很有耐心的把地址告诉我们 房间卫生还可以挺干净的 直接上图啦', '短评打分': 5}
{'短评内容': '不错挺好的，就是房间太小了', '短评打分': 5}
{'短评内容': '酒店老板人很好，还帮我们升级了房间，房间挺干净的，就是蚊子有点点多', '短评打分': 4}
{'短评内容': '老板人很好，热情，房间很干净，下次去厦门还会选择这家！', '短评打分': 5}
{'短评内容': '家庭旅馆，老板很和蔼，很能助人，值得一住。', '短评打分': 4}
{'短评内容': '环境很不错的，老板特别热情，服务态度非常好，相当的满意，有机会还要来！', '短评打分': 5}
{'短评内容': '还行，但建议房间里要备好放烧水壶和刷牙杯，纸巾什么的。', '短评打分': 5}
