{'短评内容': '实惠环境很好', '短评打分': 5}
{'短评内容': '不错，环境，空间都好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '卫生还不错，晚上也特别安静，住在16层可以看到运城夜景，特别漂亮，有可能是住在顶楼运城有些热，晚上睡觉不是太凉快', '短评打分': 5}
{'短评内容': '环境良好，交通方便，服务态度良好！', '短评打分': 3}
{'短评内容': '空间挺大，房间整洁，交通方便！', '短评打分': 3}
{'短评内容': '房间空间较大，就是有股味。服务质量有待提高。', '短评打分': 3}
{'短评内容': '环境好，服务棒，旅行中不错的选择。', '短评打分': 3}
{'短评内容': '还好！！！！！！！！！', '短评打分': 3}
{'短评内容': '很热情，交通便利，就是周围没有什么好吃的，或者说没有适合一个人吃饭的地方，唉，单身狗伤不起', '短评打分': 5}
{'短评内容': '就在中心汽车站旁，出行十分方便，靠近车站但不吵，招牌醒目，设施和锦江、如家差不多，但房间面积要大些，卫生、服务还不错，热水很足，洗澡舒服，周边有超市，但好些的饭馆少，电视频道少了些', '短评打分': 5}
{'短评内容': '一般，只是离车站很近', '短评打分': 3}
{'短评内容': '房间大，总体还可以!', '短评打分': 5}
{'短评内容': '房间很大', '短评打分': 5}
