{'短评内容': '位置好，卫生干净！', '短评打分': 5}
{'短评内容': '比较七天如家好', '短评打分': 3}
{'短评内容': '大厅没有蹲厕，位置还是比较可以，门口有公交站，坐公交去各个景区都比较方便，酒店有停车位，这个价位还是可以了', '短评打分': 5}
{'短评内容': '酒店好找，有自己的停车场，房间小，不影响住，周围吃饭不方便，2楼吃饭太贵，我们打滴滴到花果园商业区吃的，我们订的大床，想换一件双床但被告知说不能换，房间设备旧了点，不过还好，服务态度很好值得赞！！！', '短评打分': 4}
{'短评内容': '房间很小，不过真的低的价格。性价比高', '短评打分': 4}
{'短评内容': '老酒店了，设施啥的都一般', '短评打分': 4}
{'短评内容': '一家三口出行 房间很干净 离贵阳火车站很近 早上打车不到10分钟就到了 只是酒店周边饭店不多 酒店的灯和排风扇是遥控控制的 在插房卡的边上 关灯非常方便', '短评打分': 4}
{'短评内容': '服务尚可，早餐太简单了！', '短评打分': 4}
{'短评内容': '酒店位置环境都可以，卫生有待改善', '短评打分': 5}
{'短评内容': '房间比较实惠', '短评打分': 5}
{'短评内容': '环境还可以，房间少小点，设施比较齐全，总得来说，性价比还不错', '短评打分': 4}
{'短评内容': '这个酒店环境还不错，地理位置方便，性价比高，下次来贵阳还会来', '短评打分': 5}
{'短评内容': '这个酒店环境还不错，地理位置方便，性价比高，下次来贵阳还会来', '短评打分': 5}
{'短评内容': '前台服务的主管很热情，人也蛮靓，赞！交通方便，门口打车容易，不像花果园内，打车半个小时都没找到。早餐还可以，虽然种类不多，但看了清爽，有馄饨、米粉，面条现烧，味道不错。', '短评打分': 5}
{'短评内容': '还可以。。。。。。态度很好！', '短评打分': 3}
{'短评内容': '服务态度很好。办理入住方便快捷。客房服务响应及时。', '短评打分': 5}
{'短评内容': '服务很好谢谢。', '短评打分': 3}
{'短评内容': '酒店是在我临走的头一天晚上网上预定的  很舒服 环境和设施都非常好 值得入住 强烈推荐~', '短评打分': 5}
