{'短评内容': '老宾馆了', '短评打分': 5}
{'短评内容': '早餐可以、交通方便', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店服务人员态度非常好 无奈酒店硬件设施条件太差了 我住的房间的洗澡间居然没有门或是帘子 酒店背后有停车场很方便', '短评打分': 3}
{'短评内容': '整体还OK！', '短评打分': 5}
{'短评内容': '挺好的！整体可以', '短评打分': 5}
{'短评内容': '环境优美，空间大，附近吃的玩的都有，服务比较周到', '短评打分': 5}
{'短评内容': '早餐丰富一点了，服务水平有所提高，值得入住！', '短评打分': 4}
{'短评内容': '早餐比以前丰富，这个价格在温州值得入住', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '停车好停，服务态度好，价格实惠，其他都没什么了！', '短评打分': 3}
{'短评内容': '停车好停，服务态度好，价格实惠，其他都没什么了！', '短评打分': 3}
{'短评内容': '位置还不错，就是太吵了！一个晚上睡不安宁！！！', '短评打分': 1}
{'短评内容': '酒店所处位置比较偏，周边吃的非常不方便，只能在酒店吃面条和炒房。', '短评打分': 5}
{'短评内容': '第一去这家宾馆，我搜的是时代附近，结果那么元，在法派路口那边，气死我啦！！好在宾馆不错，房间整洁舒适，灯光柔和，厕所挺大的，里面的设备也还挺新的，由于对这一代不熟悉，看到他的对面就是鹿城区审批中心什么的，可能较偏，晚上路上没什么人，很安静，房间的隔音效果也挺好，一觉睡到大天亮。早餐么还行，没有非常好，但是也还凑合啦，吃的饱饱的，对的起价格。宾馆还有提供某些服务的吧，早上起来发现门底下塞了一张名片，', '短评打分': 5}
{'短评内容': '马马虎虎，隔音很一般，房间还算干净的，住在马路这边会有点些吵，另外一边就好很多了', '短评打分': 5}
{'短评内容': '位置比较偏，出行乘公交或打的不太方便，其他还可以。', '短评打分': 1}
{'短评内容': '各方面都挺满意的，就是周边实惠点的餐饮没有~！~隔壁开得那家真是黑店，超级贵', '短评打分': 5}
{'短评内容': '整体来说房间较为陈旧，设施也比较旧了。墙面有点脏，桌椅已经掉漆。房间空调还是比较足的。', '短评打分': 5}
{'短评内容': '其他都好，就是灯比较暗，要个台灯都没有.还有要个脸盆泡脚还是没有', '短评打分': 5}
{'短评内容': '总体还可以 就是电视机太小了点 床头缺少了电源', '短评打分': 5}
{'短评内容': '电梯只到5楼,6楼要走上去,但房间还算干净', '短评打分': 3}
{'短评内容': '房间卫生还好，电视太少，6楼没电梯上楼比较麻烦', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还可以  挺安静的  ', '短评打分': 3}
{'短评内容': '很不错的一家经济型的宾馆，环境不错，闹中取静，服务态度也不错。就是房间的电视机太小了（这里指本人住的房间哦）……', '短评打分': 5}
{'短评内容': '卫生还是不错，就是出来不方便。要安静的话还是可以选择的。', '短评打分': 5}
{'短评内容': '性价比不错，就是早餐东西略微少了点。总体上还是比较值得的。', '短评打分': 5}
{'短评内容': '环境还是干净-安静的-还送早餐-不错', '短评打分': 3}
{'短评内容': '中上，还可以。。。中上，还可以。。。中上，还可以。。。', '短评打分': 5}
{'短评内容': '房间小，而且靠马路很吵，性价比不高，位置偏。', '短评打分': 1}
{'短评内容': '早餐不怎么样   装潢也不时尚       网速就更别提了', '短评打分': 1}
{'短评内容': '这个价格算不错了，环境和服务都还行，适合出差住!', '短评打分': 5}
{'短评内容': '比较满意,环境也比较干净,就是房间有点偏小了', '短评打分': 5}
{'短评内容': '旁边吃饭不方便，没什么饭店，想吃简餐，找了很长时间，没找到', '短评打分': 1}
{'短评内容': '交通方便，前厅感觉很好，服务人员态度很不错，房间干净整洁，设施齐全，早餐味道还不错，整体上是很不错的酒店。下次还会考虑入住这家。', '短评打分': 5}
{'短评内容': '   环境还可以，态度不怎么好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店房间比较小，电视机很小，卫生还可以，交通便利。就是地方有点偏。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店房间比较小，特别是特价房，洗手间有积水的情况而且很严重，电视机很小，床边没有电源，但是在温州还是有性价比的', '短评打分': 5}
{'短评内容': '相当不错，房间很合适舒服，前台的水平要提高，有的服务员比较冷淡', '短评打分': 5}
{'短评内容': ' 还不错,大、安静,还有电脑上网,物超所值', '短评打分': 3}
{'短评内容': '地方有点偏，找起来有点费劲！整体还不错！中规中矩', '短评打分': 5}
{'短评内容': '酒店的卫生有点不好，房间还是挺干净的，但是床单不干净！其他的还是很不错的！', '短评打分': 5}
{'短评内容': '设施感觉不是太好房间也是比较小，价格还是稍微高些，地理位置出行倒还比较方便。', '短评打分': 1}
{'短评内容': '离车站比较远，不过安静，房间比较大，在温州商务酒店里算是不较好的！', '短评打分': 5}
