{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '风景绝佳，只是天不帮忙，日出云海都没看到，妄为我凌晨四点起床，有机会下次还要去', '短评打分': 4}
{'短评内容': '环境不错，天然氧吧！就是住宿，明明二楼有房间，偏不给，只给一楼的房间，因为是山上，房间里霉味比较大，条件简陋！', '短评打分': 4}
{'短评内容': '山顶上唯一一处可以住宿的地方，为了第二天看日出，只好选择这里，位置确实好，打开房门就看到日出了。但其他方面实在太差，简单地说就是那种上个世纪八十年代招待所，房间里竟然还摆着那种老式的厚得像个纸箱子一样的电视机，没有电话，没有电吹风，住在里面真有穿越之感。第二天起床胳臂上出现了几个奇痒的小疙瘩......不说了。', '短评打分': 3}
{'短评内容': '住宿条件一般般，山上潮湿一些，被褥有点潮，只能说尽量适应，价格高了些，电视节目少，没有别的设施可供娱乐。当日是中秋时节农历十七，原本想赏赏圆月，次日清晨看看日出，不巧的是云雾缭绕没得感受，有些遗憾。', '短评打分': 3}
{'短评内容': '作为山顶的酒店可以了，不要拿它和山下比，作为山上的洒店饭菜算超级便宜了，一汤，三素菜，二碗饭65大洋，真的良心价。看日出就在望月楼二楼洋台上，看日落在吃饭的地方，看景不出酒店，大赞?', '短评打分': 5}
{'短评内容': '房间环境是好，早上可以看日出，但不方便，要进景区，进景区后还要爬十五六分钟，如果有东西忘在车上就很不方便，因为车子只能停在景区售票窗口，但是在景区外面，睡了两个小时，被套挺干净，但浴室间有鼻涕虫，床上有蜘蛛，在山上睡也许就是这样，没睡好，早饭只送稀饭馒头，倒还可以，但要走出房间再走个二十分钟，才到吃饭的地方。', '短评打分': 3}
{'短评内容': '设施卫生服务只能说一般，但是性价比很好了！只是宾馆设施旧了些，价格不贵，周边环境很好，看日出日落位置极佳！', '短评打分': 4}
{'短评内容': '景区山顶宾馆，风景不错。设施服务客观原因不能强求。适合静心发呆。', '短评打分': 3}
{'短评内容': '景区环境不错，就是酒店的房间太差了', '短评打分': 4}
{'短评内容': '位居山顶，一家行李背到山顶花了九牛二虎之力，后面去的朋友最好把重物放在停车场，轻装上阵。房间卫生设施不可恭维，小孩都不愿意洗澡。不过早上在山顶欣赏云海日出，设施的简陋也就无所谓了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '属于比家庭旅馆略好的那种宾馆～主要是在景星岩山顶上～很不错～而且入住后景区可自由出入～上下山有电梯，还是挺方便的。', '短评打分': 4}
{'短评内容': '在山上就算非常好的条件了，周边风景一级棒', '短评打分': 4}
{'短评内容': '山上空气超好、晚上很安静，?可能是那天住的人少的缘故吧，热水很大也很热。设施略显老旧。', '短评打分': 3}
{'短评内容': '酒店服务不错，或许和淡季有关。', '短评打分': 3}
{'短评内容': '望月楼是景星岩上唯一一家宾馆，一楼两楼风景非常好，望出去就是山脉和蓝天白云，夏天去非常凉快。酒店里面装修虽然不是很豪华，但是在山上的酒店算是还挺干净的。唯一不好就是山上湿气比较重，房间有点发霉的味道，总得来说还是可以住住的。', '短评打分': 5}
{'短评内容': '酒店在景区内，一定要买景区的门票，门票55元，主要是景区实在没东西（我们是去完神仙居再去的景星岩，个人感觉去完神仙居的就不用去这里了，风格一样，而且远不及神仙居）。盘山路车子开上去很累，我们本来是想去看看，景区好的话就住，结果开上去都不想下来了。酒店硬件条件非常一般，我们住的是200元的房间，跟如家，快捷没的比。住在山上吃很不方便，景区的餐厅贵且差了。住这样的地方MS适合搞摄影的人', '短评打分': 1}
{'短评内容': '酒店就在景星岩顶上，方便早上看日出，餐厅价格和口味以景区来说算不错的了。望月楼三楼是阁楼一样的，屋顶两边是斜面', '短评打分': 3}
{'短评内容': '条件不错 风景也不错.', '短评打分': 3}
{'短评内容': '环境差,空调坏', '短评打分': 3}
{'短评内容': '环境不错，房间还行\n晚上住山上很方便\n可惜我去的时候阴天，没看到月亮。不过第2天早上的云海很美。\n\n有自己的餐馆，虽然小贵，还可以接受。', '短评打分': 5}
{'短评内容': '如果要住在山上，那应该别无选择吧，好像就这一家。总体说来硬件条件很一般吧，不过就以在山上的住宿而言，这样的价格应该是比黄山好上太多了。', '短评打分': 5}
{'短评内容': '山上空气很好，酒店设施一般，但是在景区这个价位还是可以接受的', '短评打分': 5}
{'短评内容': '酒店位置绝佳，在山顶山，晚上看月亮，早上起来看浓浓的山雾。不错！酒店里面也算比较干净！宗旨性价比高', '短评打分': 5}
{'短评内容': '推荐的原因在于景星岩的景色，实在适合晨起再次享受...景区内也就这一家...\n床单的卫生看来没有问题，但是马桶确实没有清洁过：（都不敢坐，实在有点说不过去。开车的朋友记得直接开到门房，不要像我这样停在了下面的停车场（也不提醒我下，只管收钱，鄙视）', '短评打分': 5}
{'短评内容': '收费太高，条件太差，没有任何服务，而且订了就不能退。好处呢，比较安静，风景不错。', '短评打分': 1}
{'短评内容': '不怎么样，条件比较差。没网络，电视节目不清晰。卫生条件也比较差。', '短评打分': 3}
{'短评内容': '住宿条件很一般。从窗户都看不到风景。电视只有3，4个台。', '短评打分': 3}
{'短评内容': '要住就住望月楼二楼南201~204，但就餐太差了', '短评打分': 5}
{'短评内容': '环境蛮好的，挺清幽的，睡眠质量很好，前台服务很热情周到，房间卫生条件不错，打扫的很干净，住宿环境不错', '短评打分': 5}
