{'短评内容': '桔子酒店水小，服务反映慢总体性价比不高。', '短评打分': 3}
{'短评内容': '这个价位这样的条件算不错了，卫生不错，关键是离我出差的地点很近。', '短评打分': 5}
{'短评内容': '网速还可以，房间有点小，下次去西宁还可以去住', '短评打分': 5}
{'短评内容': '网速太慢，而且人员太混杂，太吵了，还有装修，一夜根本没休息好', '短评打分': 1}
{'短评内容': '地理位置不错,汽车站，博物馆。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 酒店不错。灯很亮。就是没有早餐', '短评打分': 3}
{'短评内容': '床单、被罩还有枕头都是一色素淡的颜色，温馨和浪漫是单纯白色所不能比拟的。离家的忧伤会在那一刹那得到抚慰。特喜欢……', '短评打分': 5}
{'短评内容': '旺季入住，条件一般，距离小吃一条街很近，可以去吃羊杂汤。', '短评打分': 5}
{'短评内容': '居住条件好，值得推荐，下次还会入住. 距离平江路10分钟，方便旅游', '短评打分': 5}
{'短评内容': '感觉不错，前台经理比较热情，但是由于是旺季，到酒店后又给我们转到其他酒店了。', '短评打分': 5}
{'短评内容': '没有刷卡 ，不方便，床比较小不是很舒服哦。', '短评打分': 1}
{'短评内容': '太差了', '短评打分': 3}
{'短评内容': '一般，没有电梯，房间临街有点吵！其余还行。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '旅游旺季条件很普通，不值这个价钱，估计淡季的时候会很便宜。', '短评打分': 1}
{'短评内容': '比较简陋，电源插座太少。服务比较好，不会骚扰客人。', '短评打分': 1}
{'短评内容': '西宁这个季节酒店非常紧张,这个酒店我定了3天,结果被领到另外一家,搞的房间连窗户都没有,郁闷.', '短评打分': 1}
{'短评内容': '算是挺干净的，就是房间有点吵。也比较小。', '短评打分': 5}
{'短评内容': '卫生尚可，交通还算方便，其他无太多印象，夜里到的，一早就奔青海湖了', '短评打分': 5}
{'短评内容': '酒店位置交通便利 环境干净整洁 比较舒适 服务态度也好 \n', '短评打分': 5}
{'短评内容': '这个季节到西宁就是错误，连这种酒店都要388元，没法评论。没餐厅、没电梯、硬件差、隔音差、临马路、不能用信用卡。', '短评打分': 1}
{'短评内容': '原来就是家招待所，是人保的，有网线，但是告诉我网口坏了，和这个价格完全不符。', '短评打分': 1}
{'短评内容': '2间2天', '短评打分': 3}
