{'短评内容': '装修差，设备差，早上外面吵，不值那个价格', '短评打分': 2}
{'短评内容': '比想象好多了', '短评打分': 4}
{'短评内容': '比想象中好。。', '短评打分': 4}
{'短评内容': '挺好的，毕竟是一个镇上。推开窗就是大渡河，壮观。电视网络不通，服务员马上处理。酒店有免费停车。隔壁有一家火锅生意不怎么样，但是味道很好，牛肉很正宗，人均消费80.', '短评打分': 5}
{'短评内容': '房间一股味道，怪怪的…', '短评打分': 3}
{'短评内容': '好得很', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '旅游旺季去的，服务水平，房间条件与介绍相符~', '短评打分': 5}
{'短评内容': '地理位置很好，交通便利', '短评打分': 3}
{'短评内容': '对于一个乡镇来说，这个酒店已经超出我的预期了，总体不错，小镇也很繁华，值得推荐。', '短评打分': 4}
{'短评内容': '前台人员的服务十分好，有问必答，也可以提供较清晰的旅游问题。同时入住以后，房间的装修也还可以，就是洗澡间太小，活动不方便，需要改善一下。', '短评打分': 5}
{'短评内容': '就讲究点吧！！！！！！！！！！！就讲究点吧~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店服务热情，靠江边不错~~但是卫生还加强一下就更好了~~~', '短评打分': 5}
{'短评内容': '还算勉强过得去！！就是楼下夜总会的声响闹得很！！', '短评打分': 5}
{'短评内容': '硬件设施有待完善，总的还是不错，性价比比较高', '短评打分': 5}
