{'短评内容': '很好。。。。。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度很好，下次到上海还住', '短评打分': 5}
{'短评内容': '酒店卫生状况还可以，酒店地处嘉定区江桥镇，地铁目前还没有通，到市区坐公交车要一个小时，酒店服务还行。', '短评打分': 4}
{'短评内容': '无早，有停车场', '短评打分': 5}
{'短评内容': '设施简陋！唉，凑合住吧', '短评打分': 3}
{'短评内容': '干净卫生，方便。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '酒店总体不错', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '价格适中，交通方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '替朋友订的，距离自己家很近，房源充足，距离上海虹桥机场和火车站也比较近，房间比较整洁，服务态度也比较好', '短评打分': 5}
{'短评内容': '酒店位置醒目很好找，也有停车位，酒店可以提供免费停车券。房间也很干净，就是没有提供浴帽 梳子这些一次性用品。', '短评打分': 4}
{'短评内容': '房间很干净，床很大很舒适，总体居住还算可以。蛮舒适的', '短评打分': 5}
{'短评内容': '蛮干净的', '短评打分': 5}
{'短评内容': '酒店地址位置还行，整体环境也可以，所以开始在预定中有点小波折，后来还是积极解决了，客房舒适度和卫生还不错！', '短评打分': 5}
