{'短评内容': '家具设备一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '挺好 挺暖和', '短评打分': 4}
{'短评内容': '差差差，浴巾是破的，屋里是空的，简陋的，关键是。别的酒店早上就可以办理入住，他这里只要是便宜的网上订的全部是2点以后入住，何时听见过这样的规矩？早上的火车，到店以后说是网上的都只能下午办理入住，早上不给住，除非补门店的价格，门店价格可以早上住。变相坑人，我很少差评，气死了，大家都别去，简直了。', '短评打分': 2}
{'短评内容': '不是很干净，设施比较旧了 ，空调很大的噪音。前台的服务还不错，除了空调的声音外也还比较安静。', '短评打分': 4}
{'短评内容': '方便但是环境一般', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 1}
{'短评内容': '不错！位置很好找，性价比挺高！就是房间有点简陋，下回还会再住的。', '短评打分': 5}
{'短评内容': '去看家人，一如既往的好', '短评打分': 1}
{'短评内容': '房间挺大，干净，楼下是老城区，很热闹，就是空调不给力', '短评打分': 4}
{'短评内容': '网速时好时慢，不太稳定，隔音也不是很好，房间挺大，市中心，吃饭也方便…', '短评打分': 4}
{'短评内容': '房间设施一般，中央五台也收不到，本来出差想顺便看欧洲杯决赛，很遗憾!希望酒店能提高设施服务', '短评打分': 3}
{'短评内容': '电视不好，收台太少，卫生一般，就是价格便宜', '短评打分': 5}
{'短评内容': '地方非常不错，很安静！！！适合出差和考试', '短评打分': 5}
{'短评内容': '隔音条件非常的差！电视台特别的少。不过交通很便利。', '短评打分': 1}
{'短评内容': '还不错，比较干净，交通便利。但是房间有点小', '短评打分': 5}
{'短评内容': '有点残旧，总体还可以，不过交通真的很方便', '短评打分': 5}
{'短评内容': '在武汉上学的时候，和同学去黄鹤楼玩就住过这里，所以故地重游还是选择了坡地，地理位置很好，就在黄鹤楼脚下，司门口的一头，非常繁华。时过境迁，坡地酒店内的设施越来越陈旧，推开房门看到的是斑驳的墙壁，闻到的是潮湿的发霉味儿。厕所设施很简陋，电视收不到几个台，能搜的频道还经常没信号，空调的噪音非常非常大，洗澡的水龙头到处喷水…总之越来越跟不上时代的发展了，再不改善一下，以后就等着关门吧。', '短评打分': 1}
{'短评内容': '环境太差，房间很旧，墙也发霉了，空调不够暖，热水不够热，唯一的优点就是位置好，步行去黄鹤楼、户部巷那些10min左右，交通也方便。但在彭刘杨路上有很多酒店，下次也不选这家了！', '短评打分': 1}
{'短评内容': '房间太冷位置比较好', '短评打分': 3}
{'短评内容': '不错，就是空调有点旧，很吵。希望能改善一下。', '短评打分': 5}
{'短评内容': '位置真是没得说，离黄鹤楼很近，而且旁边就是一条购物街。房间的设施，应该还算是对得起这个价位吧。', '短评打分': 5}
{'短评内容': '前台收银员工作态度恶劣，房内物品旧、脏，卫生也没做好', '短评打分': 5}
{'短评内容': '服务人员态度很差，房内浴巾破烂烂，房内卫生不够洁净，有以前客人吃过的板粟壳', '短评打分': 1}
{'短评内容': '卫生什么倒是还好，就是太吵了，楼下有个运动商店的打折店~不到9点就开始喊，都没有办法多睡会！', '短评打分': 1}
{'短评内容': '酒店所处的位置交通很方便，环境安静，床铺较舒适。感觉设施比较简陋，希望下次再来时，有改进！', '短评打分': 5}
{'短评内容': '宾馆没想像中的那么好，特别是厕所，但服务很好而且离黄鹤楼那一片很近，交通挺方便的', '短评打分': 3}
{'短评内容': '住了一天，酒店不能刷卡只能付现，热水器的热水也不热，不过交通还算方便，对面是交通银行，乐购商场也离得很近，价格还算实惠吧！', '短评打分': 3}
{'短评内容': '已入住。服务不错', '短评打分': 3}
{'短评内容': '真是上了大当，什么破酒店，老话说得好啊，便宜没好货，只在里面待了半个小时，就受不了了，环境差，味道大，那个破地方还不退钱，就是不退钱，我也不住了，免得得病还不止这点钱呢？劝大家都不要去了', '短评打分': 1}
{'短评内容': '设施太差，气味也很不好。空调很不给力~~~', '短评打分': 1}
{'短评内容': '路段好，出行方便，总体住宿感觉一般吧，不过旅游短住还行，这边在黄鹤楼的公交蛮多的吧', '短评打分': 5}
{'短评内容': '地理条件好..交通便利...住的环境一般...要是对住要求不高，推荐下榻.', '短评打分': 5}
{'短评内容': '酒店位置还是很好的，但是卫生一般，而且门卡很久，老是消磁，每天都得去前台修复。', '短评打分': 5}
{'短评内容': '物美价廉，比较经济，网速稍微有点慢。房间应该再加强通风', '短评打分': 5}
{'短评内容': '比较适合商务出差住，墙是石膏板的，隔音确实差一些。', '短评打分': 5}
{'短评内容': '酒店很不错，地段好，面积也大，住的很舒服，就是RL不咋样，店里会员才99.EL预订竟然是110', '短评打分': 5}
{'短评内容': '很好很好，继续保持', '短评打分': 3}
{'短评内容': '设施陈旧，房间很破很烂很脏，毛巾很破，席梦思也是烂的。淋浴喷头是全世界最差的喷头。房间连一个衣橱也没有，行李只能放地下。', '短评打分': 1}
{'短评内容': '说实话，真的好差劲，环境差，卫生差，设施更是不用说，和一般的简易招待所没区别，最多值50元。我唯一觉得可以值的说一下的，就是离火车站近，其他的，就一无是处了。', '短评打分': 1}
{'短评内容': '\r\n设施一般化', '短评打分': 3}
{'短评内容': '比较便宜，整体环境还是不错的，主要是地理位置好，距离司门口、黄鹤楼、武昌火车站都比较近。', '短评打分': 5}
{'短评内容': '环境很差,最多顶一60块的宾馆了', '短评打分': 3}
{'短评内容': '酒店位置还行，距武昌站打车10元。距户部巷步行十来分钟，距黄鹤楼20分钟。酒店门口有家“新荆楚”酒家，往前走不远就是“艳阳天”，吃喝方便。酒店设施一般，床很不舒服，每根弹簧都能在翻身时感觉到，对住宿要求高的朋友不太推荐。', '短评打分': 5}
{'短评内容': '地理位置很好，离黄鹤楼和司门口都不远，不过条件一般，隔音不好', '短评打分': 5}
