{'短评内容': '还可以，物美价廉，物有所值。', '短评打分': 5}
{'短评内容': '物美价廉，不错', '短评打分': 5}
{'短评内容': '价格实惠，挺不错的', '短评打分': 5}
{'短评内容': '能加被子吗', '短评打分': 4}
{'短评内容': '没早餐', '短评打分': 4}
{'短评内容': '环境老化，望改进', '短评打分': 4}
{'短评内容': '差差差。。。。不信可以自己去体验，太脏了！', '短评打分': 2}
{'短评内容': '抽空来评价下，晚上九点半到的成都东站，2路公交车一直到宾馆附近，非常方便。宾馆时间有些长了，总的来说很舒适，卫生间看到门后有用完的小牙膏，枕头底下有几个小蚂蚁，这些都可以理解，住的真心舒服，毕竟价格摆在这了，附近公交车很方便，小吃也多，超市也不少。来成都玩的话住在这挺划算的。满分一百分的话可以给85分以上的，很棒！！！主要是空调给力！！！', '短评打分': 5}
{'短评内容': '首先吧台态度问题，去了不少次，很严重哈，还有卫生服务方面，太马虎，本来经常去，也算常客，态度太差，也没有什么会员卡之类，不想再去了', '短评打分': 5}
{'短评内容': '挺舒服的，就是走廊太热了', '短评打分': 5}
{'短评内容': '还不错还不错', '短评打分': 5}
{'短评内容': '离我家很近，住着很方便，', '短评打分': 5}
{'短评内容': '价格不贵，但是前台女的态度很差，设施脏乱，电话线被拔掉了，台灯是烂的', '短评打分': 3}
{'短评内容': '挺舒服的  卫生干净', '短评打分': 5}
{'短评内容': '跟网上介绍情况一点都不一样，真坑，差得不能再差了，住的便宜酒店都比这里好。商务大床房这床小的不能再小了，房间特别小。室内温度31度，居然不能开空调，说空调坏了。一进门到处都是黄色卡片。这是三星级的？**吧，大伙千万不要来这里住。', '短评打分': 1}
{'短评内容': '还不错，比较干净，不过还是有点不足', '短评打分': 5}
{'短评内容': '房间挺好的，挺干净的。', '短评打分': 5}
{'短评内容': '住了都还想住   房间很干净  布局很合理又看到比较舒服', '短评打分': 5}
{'短评内容': '。。。。。。。。', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '很一般的酒店', '短评打分': 4}
{'短评内容': '酒店从来不对设备检修吗？空调几乎没用，开着房间还是冷。有的房间洗手池下水是赌的，被子永远是那么薄薄的一床，建议酒店的全面检修一遍。', '短评打分': 4}
{'短评内容': '妈的，床上还有异物', '短评打分': 2}
{'短评内容': '卫生差，卫生间还“水漫金山”。电视也不行。只有交通还可以。被子不够暖和。', '短评打分': 3}
{'短评内容': '太差了  空调没有  热水也没有  一辈子也不会再去了！', '短评打分': 1}
{'短评内容': '吹風機沒有，空調怪怪的，', '短评打分': 4}
{'短评内容': '朋友喝醉了去睡的，感觉还不错，很清静', '短评打分': 5}
{'短评内容': '一般吧.价格略贵', '短评打分': 3}
{'短评内容': '交通方便，设施齐全，唯一就是国庆期间无早餐', '短评打分': 5}
{'短评内容': '环境一般，没有吹风机，马桶水声大，服务态度还行吧', '短评打分': 3}
{'短评内容': '条件很不错了，更可贵的是居然国庆没有涨价！！！\n啥7天如家国庆期间最便宜的都是三百多，那破房子啥没有好意思三百！！\n以后朋友来肯定这里啦，环境很好，交通差点。', '短评打分': 5}
{'短评内容': '非常好，很喜欢！住的很舒服，旁边很多吃的打车也很方便，很喜欢', '短评打分': 5}
{'短评内容': '房间还算干净，就是早餐八点过就有点冷。总体来说还可以…', '短评打分': 3}
{'短评内容': '酒店很好，吃饭也很方便', '短评打分': 3}
{'短评内容': '总体感觉不错，门脸很漂亮，装修很好，房子很新，很给力貌似4星似的，旁边的饭店吃饭也不贵也好吃，还可以挂在房费里面一起结算，整体很大很宽敞，房间也都很舒适，床也不错，谈事可以楼下咖啡厅，附近打车也是超级方便，很多的出租车司机在附近吃饭，超级方便。\n酒店唯一的缺点就是服务员做卫生的时候可能不够心细，有个牙膏的小盖子落下了，还有就是卫生纸不够柔软，剩下的统统很好\n另外请问您酒店门口的那个保安是做啥子的呢', '短评打分': 5}
{'短评内容': '房间还可以，沐浴液和洗发水都是屈臣氏的，就是服务很差，要个电吹风要了2个小时，打了两次电话也没送来。', '短评打分': 5}
{'短评内容': '客房环境还可以，就是楼道有人说话的话房间也能听见，隔音不太好，其他没有什么问题，服务人员态度很好', '短评打分': 5}
{'短评内容': '環境不錯!房間和浴室太小了!早餐應該提供咖啡!', '短评打分': 3}
{'短评内容': '相当不错的酒店，服务员态度很好，房间硬件设施也非常不错，还有保险箱和冰箱，相当的方便', '短评打分': 5}
{'短评内容': '酒店环境优雅，安静，舒适，性价比高！在里面散步感觉很好！ \n', '短评打分': 5}
{'短评内容': '位置一般，吃东西方便，打的士去周边也不算远，离景区有些远。服务还行。浴室的门有些小问题。', '短评打分': 5}
{'短评内容': '前台服务不太好，被子薄晚上又点冷，可是宾馆居然没有多的被子，，，不可思议', '短评打分': 3}
{'短评内容': '早餐很差。房间隔音非常不好，前台退房速度慢。其他还不错。', '短评打分': 5}
{'短评内容': '酒店环境设施不错，服务人员态度很好，住了几天感觉还不错。', '短评打分': 5}
{'短评内容': '房间稍微有点小，早餐不怎么样，其他还不错，前台服务员态度很好！', '短评打分': 3}
{'短评内容': ' 房间太小,位置偏', '短评打分': 3}
{'短评内容': '酒店卫生还不错，就是房间不大，早餐类别太少。感觉不知道吃什么好。服务员态度不错。出行比较方便。酒店外表看上去也很不错。', '短评打分': 5}
{'短评内容': '成都阳光酒店（原吐哈石油大厦）由新疆吐哈油田投资1.2亿元人民币兴建，现是由中石油华油集团阳光酒店集团管理的一家精品商务酒店，酒店以其独特的西域建筑风格和文化特色矗立于锦江之畔。其地理位置优越，地处市中心，交通便利，环境秀美，丽景天成。\n出差成都，所以选择这家酒店。价格适中，服务业不错。因此每次都选。', '短评打分': 5}
{'短评内容': '以前就住过，这次住了三天，感觉还可以，房间干净整洁，周围还有SM广场、家乐福可以逛，就是早餐太简单了，而且房间有点小。', '短评打分': 5}
{'短评内容': '感觉还好，挺干净的，但是早餐太差了，一点食欲都没有，希望以后改善。', '短评打分': 5}
{'短评内容': '还可以，就是离春熙路远了点，早餐不怎么样。房间也没有什么落地窗。周围是居民区，比较安静。', '短评打分': 5}
{'短评内容': '感觉挺好的，安静 宽敞 设施齐全，服务员态度也不错，不过介绍上说是双早，但实际只有一个', '短评打分': 5}
{'短评内容': '还不错，位置不错，交通还算就方便，房间很干净！', '短评打分': 5}
{'短评内容': '服务员服务好 酒店地点好 早餐没凉菜全是热的不大合胃口 ', '短评打分': 5}
{'短评内容': '人少，安静，早餐差点，房间挺干净，装修还比较新，有HBO', '短评打分': 5}
{'短评内容': '整体还不错，就是小了一点。不过麻雀虽小但五脏具全还是很注重细节的。就是浴室里的干湿两区不是很好容易溢水还是值得一住。', '短评打分': 3}
{'短评内容': '位置还行，就是房间隔音不太好，考虑到价格适中，应该将来还会选择', '短评打分': 5}
{'短评内容': '酒店挺好的，价格合理，服务态度可以，糖酒会期间房价也没上涨，满意', '短评打分': 5}
{'短评内容': '各方面都不错 ,就是房间地毯太脏 。', '短评打分': 3}
{'短评内容': '此酒店性价比还行，就是隔音效果不好，隔壁说话能听见，希望以后能改进。', '短评打分': 5}
{'短评内容': '酒店房间虽然比较小，但是比较干净整洁…', '短评打分': 3}
{'短评内容': '早餐较差', '短评打分': 3}
{'短评内容': '酒店各方面都好 ,就是房间隔音差 。', '短评打分': 3}
{'短评内容': '酒店卫生很好，住的也很温馨，只是早餐太差', '短评打分': 3}
{'短评内容': '还不错的酒店，下次还能光顾的。呵呵希望酒店能越来越好', '短评打分': 5}
{'短评内容': '酒店的装潢确实比较上档次，送的早餐很丰富，味道也比较可口，房间略微小了点，还有一个最大的硬伤：隔音效果太差，半晚上隔壁放电视都听得清清楚楚。对于准备第二天考试的我确实影响很大。除此之外这家酒店确实比较完美。', '短评打分': 5}
{'短评内容': '很好找，北京烤鸭店旁边，房间设施较新，但房间面积较小，停车场也较小。', '短评打分': 5}
{'短评内容': '性价比还行，挺好的酒店，要是能有标准间就更好了。', '短评打分': 5}
{'短评内容': '挺舒适的酒店，房间不错，设施也不错。下回再来，会考虑再次入住的。', '短评打分': 5}
{'短评内容': '如果在这附近有住房需求，这个酒店不错。\r\n缺点是隔音有点差。', '短评打分': 5}
{'短评内容': '酒店的位置不错，出行交通很方便。', '短评打分': 5}
{'短评内容': '这家店是新装修的配置很好，档次很高，是一家很时尚的酒店。', '短评打分': 5}
{'短评内容': '酒店的环境非常好性价比很高的一家酒店。', '短评打分': 5}
{'短评内容': '酒店的规模不大，设施布局很好，装修的很不错，可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店的装修好，硬件设施也很好，有星级酒店的标准。', '短评打分': 5}
{'短评内容': '服务很热情，办事效率还不错，响应及时。', '短评打分': 5}
{'短评内容': '酒店的环境不错，装修有点欧式风格，客房的设施很新，很时尚。', '短评打分': 5}
{'短评内容': '酒店的环境很温馨，里面的设施挺新的，使用效果也不错，服务也很好，下次还会选择的。', '短评打分': 5}
{'短评内容': '我住的房间空间还可以，布局挺好的，整洁干净，还很舒适。', '短评打分': 5}
{'短评内容': '位置不错，有停车场，停车很方便，距离春熙路不远，交通便利。', '短评打分': 5}
