{'短评内容': '还行吧 一般般 就是每次打滴滴别人都找不到 有点偏', '短评打分': 4}
{'短评内容': '性价比挺高，经常入住', '短评打分': 5}
{'短评内容': '太差了 房间破破旧旧 脏脏兮兮 这还能忍 重点是隔音太烂了 旁边屋有人合喝醉了 一开始在楼道吵 打架 已经被吵的半死了 结果他们回屋说话 吵架 我这还吵的不行 根本没法休息 隔着俩门还吵成这样 屋里连个电话都没有 也没法找前台 醉了 极差的入住体验 睡一', '短评打分': 2}
{'短评内容': '不太好，不会再来第二次！房间陈旧，物品陈旧，马桶不通，没有电话，没有吹风机，门不能反锁，没有一次性拖鞋，房间只有一个插座，烧开水要把电热壶放在地上才可以插电，总之各种不方便，头一次碰到这样的事！！', '短评打分': 3}
{'短评内容': '通过携程app花费58元预订的大床房(无窗)，性价比较高，还可以的～这个价位，要求不能太高啊O(∩_∩)O', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '交通方便 周边出行以及生活都很便利 酒店干净整洁', '短评打分': 5}
{'短评内容': '还可以，地点有点偏', '短评打分': 4}
{'短评内容': '整体来讲很好，卫生整洁，就是隔音有点差，隔壁声音能听的清清楚楚', '短评打分': 5}
{'短评内容': '很舒适，很干净', '短评打分': 5}
{'短评内容': '挺好的，位置有点远', '短评打分': 5}
{'短评内容': '相比以前差好多了，不过服务态度很好！', '短评打分': 4}
{'短评内容': '服务还可以，但是卫生不厚，一进屋有股脚臭味。。睡觉都没脱衣服，卫生不好', '短评打分': 2}
{'短评内容': '超乎了预期，国庆假期期间价格没长，很优惠，位置也很不错，离河东的万达很近，而且周围又是一条有很多小吃的街，就是无线网不是很好，改善下就更完美了。', '短评打分': 5}
{'短评内容': '临近人人乐购物广场，附近有个淘宝街挺有意思的就住在这了。门市价128，网上109，现付。工作人员态度挺好，房间很小，只有厕所有窗户，床上用品颜色是灰色的，比较薄，也看不出干净与否。整体面积很小很小，用品很简单，只适合临时呆一宿，楼下有很脏的小饭馆，走1公里到人人乐有连锁的饭馆还不错。', '短评打分': 4}
{'短评内容': '房间小，很不干净，不过便宜', '短评打分': 3}
