{'短评内容': '宾馆非常好，也很卫生。', '短评打分': 5}
{'短评内容': '环境很好，下次来郑州首选。', '短评打分': 5}
{'短评内容': '空间很大', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '酒店一般，各方都一般，对得起携程上面的价格', '短评打分': 3}
{'短评内容': '房间很不错，就是位置有点偏，房间比较大，也很干净，周围的环境有点老旧，单纯房间的话还是可以的，不过没有上面写的40平米', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务不错，环境挺好。最好的是还有一个阳台，坐在椅子里看落地玻璃窗外的小路，小楼，小楼顶上的天线，不错，很美。', '短评打分': 5}
{'短评内容': '不错，环境挺好，很安静。。。适合考试去住。。', '短评打分': 5}
{'短评内容': '酒店可以的，就是床单上会有一些不干净，希望改进，总体好评，性价比高，推荐', '短评打分': 5}
{'短评内容': '非常差劲！！！23号晚上没热水 24日早晨没热水！！！！硬件差成这样开什么宾馆？？？？？？', '短评打分': 1}
{'短评内容': '酒店房间的洗澡太舒服了，热水随时有，真的很爽，', '短评打分': 5}
{'短评内容': '环境挺好的，什么都有，我是过来考试的，出来门口饭店什么都可多！', '短评打分': 3}
{'短评内容': '非常好，停车方便，免费，幽静，，常去那里住住吧！服务态度很好啊！谢谢了', '短评打分': 3}
{'短评内容': '标间性价比高，值得推荐，不过房费好像是涨了……', '短评打分': 3}
{'短评内容': '不错，下次来还会再去的，就是早饭去迟了就没了', '短评打分': 5}
