{'短评内容': '干净卫生安静', '短评打分': 5}
{'短评内容': '比较安静，干净卫生', '短评打分': 5}
{'短评内容': '早餐很一般，就是在门口让你选择吃米粉或者包子', '短评打分': 3}
{'短评内容': '来贵阳首选，性价比高', '短评打分': 5}
{'短评内容': '房间非常好，卫生很干净，空调效果以很好，下次会继续来', '短评打分': 4}
{'短评内容': '非常好的酒店，下次再来', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '不错，离办事的地方较近，同时吃饭购物较为方便。对于出行来说，交通很方便，酒店的服务不错，卫生也很好的，比较实惠！', '短评打分': 4}
{'短评内容': '不错，离办事的地方较近，同时吃饭购物较为方便。对于出行来说，交通很方便，酒店的服务不错，卫生也很好的，比较实惠！', '短评打分': 4}
{'短评内容': '不错，离办事的地方较近，同时吃饭购物较为方便。对于出行来说，交通很方便，酒店的服务不错，卫生也很好的，比较实惠！', '短评打分': 4}
{'短评内容': '反的高，环境可以', '短评打分': 5}
{'短评内容': '开车去位置难找，停车位少', '短评打分': 3}
{'短评内容': 'good！', '短评打分': 5}
{'短评内容': 'Ok', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '非常好,不错', '短评打分': 5}
{'短评内容': '刷房卡乘坐电梯很安全；大床房的床相当舒适，就是枕头不怎么样；地理位置在贵阳的次南门的人行天桥旁边，出门购物，打车，饮食都很便利。', '短评打分': 5}
{'短评内容': '房间不错，大堂太小', '短评打分': 3}
{'短评内容': '酒店有点像快捷酒店，还不错，价格偏高，停车位奇缺，我们的中巴车差点没法停放。', '短评打分': 1}
{'短评内容': '房间不错，又大又干净，就是早餐差了一些，有待改进', '短评打分': 5}
{'短评内容': '房间很大，早餐不行，交通方便，就是服务员有时会忘记叫早', '短评打分': 5}
{'短评内容': '该酒店条件不错，房间很大，很舒服，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，室内设施还可以，特别是床很大很舒服，早餐干净卫生，吃得放心。下次来还会选择。', '短评打分': 5}
{'短评内容': '房间很大，干净，服务一般，属于高端经济酒店', '短评打分': 3}
{'短评内容': '房间空间够大，给朋友订的房，反响还可以！', '短评打分': 5}
{'短评内容': '大厅小气了点网上大厅有点夸张房间还可以', '短评打分': 3}
{'短评内容': '能辉之星是老楼改装的，位置蛮好，交通便利，房间大，但临街，有点吵。性价比可以，总体不错了。', '短评打分': 3}
{'短评内容': '床比较大就是停车很不方便', '短评打分': 3}
{'短评内容': '房间不错，交通也便利，就是没有早餐提供！', '短评打分': 5}
{'短评内容': '酒店本身：房间很大，床也很舒适，很适合商务出游。浴室的热水器储量很小，只支持30分钟左右的热水供应。酒店临街，晚上睡觉要关窗，不然会很吵。缺点是停车场非常小，如果是自驾车前往，最好提前与酒店协商车位问题。酒店提供的早餐是包子和粥，就在隔壁，还不错。\n\n酒店周边：酒店紧挨一家医院，因此打车还算方便，也有公交车站。另外，酒店附近没有超市，本身也不提供超市服务，酒店提供2小瓶免费矿泉水。距离最近的夜市步', '短评打分': 5}
{'短评内容': '感觉性价比还可以，房间还算干净，挺大的。在贵阳同等价位算行的了。', '短评打分': 5}
{'短评内容': '能辉酒店是比较适合大众人群的酒店，价位适合', '短评打分': 5}
{'短评内容': '酒店的环境是还不错，酒店的价位也是比较实惠', '短评打分': 5}
{'短评内容': '帮同事订的，说环境很时尚，价格公道。还会入住！', '短评打分': 5}
{'短评内容': '从酒店前台到楼层服务员都体现出非常好的亲和力和高水准的服务意识。完全不比五星级酒店差。\n当时临近圣诞，出去逛了一圈回来，门上都挂了很有圣诞气氛的小挂件。\n房间临街，刚进房间的时候觉得好吵。但是晚上把窗户都关上后就完全没有噪音的顾虑了。\n酒店房间也很大，很干净。类似假日快捷酒店的那种风格，但是是颜色基调比较深。\n\n总体来说是非常愉快的一次入住体验。以后会再次入住也会推荐朋友入住。\n', '短评打分': 5}
{'短评内容': '交通方便，环境卫生。就是停车位太少。电梯上楼要用房卡刷，相对安全些。', '短评打分': 5}
{'短评内容': '非常舒服  环境不错  在市中心  非常方便', '短评打分': 5}
{'短评内容': '门面有点小，说是和能辉一家的，在能辉对面。房间还不错，比较干净。价格有点小贵。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度也很好，只是空调不是很好！', '短评打分': 5}
{'短评内容': '已两次入住。方便。简捷,纯商务酒店。', '短评打分': 3}
{'短评内容': '很不错的连锁酒店.下次还会住.', '短评打分': 3}
{'短评内容': '我非常满意，谢谢', '短评打分': 3}
{'短评内容': '酒店设施比较新，房间比较大，价格还能接受，地段也不错，下次来会选择入住', '短评打分': 5}
{'短评内容': '宽敞，明亮，干净，装修风格不错是我喜欢的类型。', '短评打分': 5}
{'短评内容': '不错，干静', '短评打分': 3}
