{'短评内容': '房间很大，环境也好，干净卫生，很棒', '短评打分': 5}
{'短评内容': '停车方便！风光不错！', '短评打分': 4}
{'短评内容': '酒店有点老旧了，早餐厨师要改进，几次炒粉都有糊味！酒店服务还不错！', '短评打分': 3}
{'短评内容': '还可以，离市区也近。', '短评打分': 5}
{'短评内容': '据说很好', '短评打分': 5}
{'短评内容': '据说还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还过得去，如果能再便宜些就更满意了！', '短评打分': 4}
{'短评内容': '洗澡时水太少了？', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '性价比高，不过离市区比较远，适合自驾', '短评打分': 4}
{'短评内容': '这个性格比。还算可以。还有早餐食', '短评打分': 3}
{'短评内容': '睡一个晚上睡不着，床太软太舒服了', '短评打分': 3}
{'短评内容': '附近就那么一个宾馆，不过装修还可以！', '短评打分': 3}
{'短评内容': '酒店设施很好，服务态度不错，只是有点偏，总体而言还行', '短评打分': 3}
{'短评内容': '洗手池太浅，洗不了衣服。', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 4}
