{'descr': '很好，环境不错，干净，较满意。', 'star': 5}
{'descr': '地理位置优越，离地铁和商业街都很近', 'star': 5}
{'descr': '无窗就是闷，不知道白天黑夜，誰让它便宜20块呢', 'star': 5}
{'descr': '酒店位置不错，靠近天津老城区，酒店性价比超高，值得推荐入住。', 'star': 5}
{'descr': '房间很小。。。。。。。', 'star': 4}
{'descr': '环境不错，很好', 'star': 5}
{'descr': '京东服务越来越多，真是多快好省全五星，首次预订酒店希望出差的时候酒店能安排好。', 'star': 5}
{'descr': '太破太破了，国庆期间后悔都后悔不了。', 'star': 2}
{'descr': '服务在下滑，早餐18元，没啥吃的，房间的洗漱用品都不给配齐！', 'star': 4}
{'descr': '酒店干净卫生，舒服，大床房特别好', 'star': 5}
{'descr': '房间较小，但还算干净，在连锁酒店中算是不错了。', 'star': 4}
{'descr': '出差住了一晚上，还行吧', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '服务很好，环境也很不错', 'star': 5}
{'descr': '服务态度很好 周边环境也不错 离滨江道非常近 好评', 'star': 5}
{'descr': '环境挺好的  房间也挺好  周围出行也很方便', 'star': 5}
{'descr': '离医院很近', 'star': 5}
{'descr': '性价比还可以，很安静，装饰也还不错，推荐', 'star': 5}
{'descr': '没窗户的房型有点闷，走廊其空气还不错。室内设施保养的很好', 'star': 5}
{'descr': '房间挺干净 在市中心挺方便的。', 'star': 3}
{'descr': '交通便利，出门就能打到车，周边小餐馆挺多。前台服务态度差强人意。房内设施还算干净整洁。', 'star': 5}
{'descr': '离滨江道2-3站地，出门很近就有公交车站，很多趟车到滨江道，交通方便，房间也很干净。', 'star': 5}
{'descr': '价格公道，环境还可以。', 'star': 3}
{'descr': '位置不错，而且不紧邻吵闹的大街，很安静。室内环境也很好，高级大床房是2米的床，屋内设施齐全，很干净整洁。', 'star': 5}
{'descr': '房间太小，地理位置太偏！周边有几家小饭馆，但是也不能天天哪里吃啊，去外面还远，交通也不是很方便！', 'star': 1}
{'descr': '酒店价格比较实惠，出行到各个方向都比较方便，里地铁1号线就6、7分钟路程。', 'star': 5}
{'descr': '房间干净，服务态度还行，只要不自己找事儿还是会很愉快的。离步行街近，到火车站和玩儿的地方公车也方便。', 'star': 5}
{'descr': '鞍山道的汉庭真的是非常实惠的,暖气也很足', 'star': 3}
{'descr': '卫生条件较好，热水充足，服务热情、周到，零退房，', 'star': 5}
{'descr': '住汉庭已经很多次了，但第一次被算超时。退房的时候晚了五六分钟吧，还给我超了十几分钟了，还让多交了半天房钱。之前打电话问的时候就说不住了，难道她们听不懂。前台可牛气了，以前的前台都不错，没想到会有这么装13的！本来就是做服务的，这种前台太影响汉庭的品牌了！', 'star': 1}
{'descr': '这家真的不错 来了好几次了，窗户很大，房间干净宽敞，设施完备', 'star': 5}
{'descr': '房价很干净，窗户很大。就连洗手间都很宽敞，总之很超值', 'star': 5}
{'descr': ' 如果你累了 你可以选择 \n商务好去处  可以 可以 可以', 'star': 5}
{'descr': '不错，挺好的！', 'star': 3}
{'descr': '房间大，整洁，价格不高，很不错,卫生不错。。。。。', 'star': 5}
{'descr': '房间好小！~电视频道好少！我订房间的时候是双床和大床随意选，可是我去了只给我双床，害的我加钱换得商务大床！', 'star': 1}
{'descr': '酒店房间很小 还是带三角的，服务也不是很好，前台就一个人', 'star': 1}
{'descr': '感觉很不错,住着舒服,下次还会选择它...', 'star': 5}
{'descr': '比较卫生，环境比较温馨，枕头很舒服，服务比较好', 'star': 5}
{'descr': '舒适干净，交通便利，环境不错，服务挺好，床大舒适', 'star': 5}
{'descr': '前台有点寒酸 但是楼上的房间还是真的挺惊喜的 特价房竟然还有窗，房间没有想象的小 也很干净 比预想的要好很多', 'star': 5}
{'descr': '酒店不错，就是位置不太好找。可能是对天津不太熟吧。总之还算不错。', 'star': 5}
{'descr': '点评：大床房很大，睡着很舒服', 'star': 3}
{'descr': '点评：服务还可以，环境舒适，比较干净', 'star': 3}
