{'短评内容': '装修很旧，环境很差，空间还可以，', '短评打分': 2}
{'短评内容': '住了好几天。还是不错的。服务挺好的', '短评打分': 5}
{'短评内容': '嗯，还不错，嗯，人挺好的', '短评打分': 5}
{'短评内容': '离车站近，价格也较实惠。总的来说还行吧', '短评打分': 4}
{'短评内容': '环境还行，去邵阳下面的县城方便，隔壁就是汽车东站。', '短评打分': 4}
{'短评内容': '厕所灯特别亮，房间灯就太温馨了，总体还不错！', '短评打分': 4}
{'短评内容': '空调是个老旧空调，开着还咯吱咯吱响，厕所卫生都没搞，毛巾那颜色不敢用，体验太差，没的下次', '短评打分': 2}
{'短评内容': '环境太差', '短评打分': 3}
{'短评内容': '距离汽车站比较近了，房间卫生一般吧', '短评打分': 4}
{'短评内容': '服务极好，可惜硬件不行，网络不行恨吃力！对面窗子和后面的居民楼恨近！自己都不敢开窗帘。还是住一晚第二晚去了对面的今天酒店，感觉好多了。不过再说次：酒店服务人员真的很好。房间灯好暗，没有安全感。', '短评打分': 3}
{'短评内容': '服务好，环境干净，住得舒心，下次还会来', '短评打分': 5}
{'短评内容': '各方面都不错，就是房间插座太少，而且上网方面不能用自带的电脑，只能用这里提供的\n', '短评打分': 5}
{'短评内容': '房间还是不错的~~位置也靠近市中心~~就是价格稍微贵了点~~~', '短评打分': 5}
{'短评内容': '整体都还不错 对比邵阳其他的 已经算不错的了', '短评打分': 5}
{'短评内容': '整体都不错    就地理位置不好  比其他地方好很多', '短评打分': 5}
{'短评内容': '整体都还不错   对比邵阳其他的  已经算不错的了  ', '短评打分': 5}
{'短评内容': '真心的不值这个价钱 到酒店了发现单人间比网上给的双人间反完现金还要便宜 墙上都是男人留下的东西···', '短评打分': 1}
{'短评内容': '不错，方便,而且房间很大，还鞥返现，谢谢！', '短评打分': 5}
{'短评内容': ' 房间很干净', '短评打分': 3}
{'短评内容': ' 只能说一般了。', '短评打分': 3}
{'短评内容': '酒店不错，就是地址标错了，就在汽车东站旁边，总体很满意！', '短评打分': 3}
{'短评内容': ' 一般,价钱有些高了', '短评打分': 3}
{'短评内容': '各方面都不错，就是房间插座太少，而且上网方面不能用自带的电脑，只能用这里提供的', '短评打分': 5}
