{'短评内容': '房间不大  装修上看不是新酒店', '短评打分': 4}
{'短评内容': '只能说将将就吧', '短评打分': 4}
{'短评内容': '没吃早餐，位置挺好，交通方便，能停车', '短评打分': 5}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '很干净，有停车位', '短评打分': 5}
{'短评内容': '很方便好不错', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '真的很好，干净，舒适', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间干净整洁，服务贴心周到！下次还要来！', '短评打分': 5}
{'短评内容': '干净卫生 经济实惠 服务热情周到 ', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '貌似是新装修的，干净。很便宜', '短评打分': 5}
{'短评内容': '总体来说还不错！还是蛮可以的！！！', '短评打分': 4}
{'短评内容': '整体环境不错，位置可以，服务可以', '短评打分': 5}
{'短评内容': '环境很好，服务很好，伙伴们可以 入住哦！', '短评打分': 5}
{'短评内容': '位置很好找，服务很好，房间也很干净。唯一的缺点就是隔音太差了，半夜3点多，被隔壁的床声吵醒了。', '短评打分': 5}
{'短评内容': '酒店位置挺好的，外面附近就有公车站，打车也很方面，酒店里面很干净，很好', '短评打分': 5}
{'短评内容': '酒店很干净，里面的设施不错，有窗户，价格也很优惠，服务很好~值得下次在去！', '短评打分': 5}
{'短评内容': '对得起这价格，里面东西挺新的，总体给人的感觉不错', '短评打分': 5}
{'短评内容': '价格挺便宜的，里面还行，总体环境挺好的，屋内没有吹风机，打了个电话马上就送过来了', '短评打分': 5}
{'短评内容': '还可以 房间有点潮湿 前台服务速度有待提高。', '短评打分': 5}
{'短评内容': '价格很便宜，确实如网友所说隔音不太好，酒店下面有个石锅鱼，夏天不敢开窗户，味道飘进房间比较无奈，只能开空调，环境和卫生还是不错的，距离县中心比较近，吃晚饭可以散步。', '短评打分': 5}
{'短评内容': '环境很好，很干净。就是隔音效果不好，隔壁非常吵。', '短评打分': 3}
{'短评内容': '太好了，环境一流，卫生条件也不错，值得一住。\n干净。。。真的有家一样的感觉，经济又实惠', '短评打分': 5}
{'短评内容': '安静 干净 整洁 舒适 就是前台服务员办理入住太慢 耽误时间 待提高效率，谢谢。', '短评打分': 5}
{'短评内容': '用了30的消费券，所以对于这个价位真的是太值了，下次一定还会来的~', '短评打分': 5}
{'短评内容': '价格可以\n住的还是比较舒服，喝的水不太好', '短评打分': 5}
{'短评内容': '前台接待员的服务有待提高，办理入住时间较长且态度不好，不会微笑，且态度生硬，忘改进。', '短评打分': 1}
{'短评内容': '价廉物美，就是隔音效果比好，服务很好 都是新的', '短评打分': 5}
{'短评内容': '房间不错，色彩鲜明，房间面积还可以，住的商务房间，要是有电脑会更好，总体不错，值得推荐。', '短评打分': 5}
{'短评内容': '  方间大 干净  超值', '短评打分': 3}
{'短评内容': '还不错，比较干净，停车场也还比较宽敞！七层有平台可以观景', '短评打分': 5}
{'短评内容': ' 卫生很好 隔音效果不太好 但是酒店所有服务人员态度都很好 有个服务人员归还了我遗落得手机 前台归还了我的车卡 很不错', '短评打分': 3}
{'短评内容': '商务大床房很不错，环境很干净，大厅里还贴着密云县好多热门景点的驾车路线，觉得很贴心，而且离密云鼓楼也不远，走着20分钟...   不错，值得推荐！！！', '短评打分': 5}
{'短评内容': '开车去密云的话，住这儿还挺好找，方便。但离水库有段距离。', '短评打分': 5}
{'短评内容': '交通方便，价格合理，是理想的下榻之处，推荐！', '短评打分': 5}
{'短评内容': '服务周到，设施齐全，早餐也很好吃。不过就是离商业区远了一点，不太方便。', '短评打分': 5}
{'短评内容': '大床房不错', '短评打分': 3}
{'短评内容': '标间房间较小,但干净', '短评打分': 3}
{'短评内容': '真是店如其名！有点家的感觉，网络预定还送了早饭。个人觉得去南山玩住这里挺合适的。实惠干净，服务好！就是晚上稍有点冷。', '短评打分': 5}
{'短评内容': '不如政府对面的那家 根本不像新开的 位置也很偏', '短评打分': 1}
