{'短评内容': '四星就是不一样.很不错', '短评打分': 5}
{'短评内容': '好，价格便宜，地段也不错', '短评打分': 5}
{'短评内容': '睡得有点不习惯', '短评打分': 4}
{'短评内容': '很好，服务态度很好，客房有温泉。', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '早餐还好，没有问过能不能加床，在德化汽车站边，交通方便，出门就是陶瓷街，逛街也合适', '短评打分': 5}
{'短评内容': '很好的酒店，前台服务态度很好，下次还来这住', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '位置很方便，设施有些陈旧', '短评打分': 4}
{'短评内容': '商务出差，床睡觉很舒服！', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 4}
{'短评内容': '环境整体感觉不错，就是酒店的家具旧了些，房间重新装修过，就是那种印象中的旧式酒店，不过毕竟四星标准在那，所以卫生什么还是很不错的', '短评打分': 3}
{'短评内容': '整体感觉不错，就是家具什么的有些旧，虽然翻新过。不过卫生什么还是不错毕竟是四星级的酒店，标准在那里。', '短评打分': 3}
{'短评内容': '总的来说不错', '短评打分': 5}
{'短评内容': '卫生还行，就是有点吵', '短评打分': 4}
{'短评内容': '总体来说还可以吧，早餐单调了点', '短评打分': 4}
{'短评内容': '四星酒店中性价比高的了。', '短评打分': 3}
{'短评内容': '房间特别干净，酒店服务员都特别有礼貌，热情。主要是还有温泉水可以泡，真的很好，值得推荐', '短评打分': 5}
{'短评内容': '入住的整体感受，就是服务特别好，特别温馨', '短评打分': 5}
{'短评内容': '2楼包厢最低消费500快！！！！！！！明目张胆！！！！！！！', '短评打分': 1}
{'短评内容': '这是德化比较好的酒店了。干净，虽然有点旧。早餐不错。房间可以泡温泉的', '短评打分': 5}
{'短评内容': '应该算是3星级的酒店，设施有些陈旧，还看到久违的带显像管的老式电视，总体就是一般了，毕竟200多元', '短评打分': 5}
{'短评内容': '酒店位置很好，从西门车站出来步行200米即到。房间设施也不错，餐厅不错。', '短评打分': 5}
{'短评内容': '入住的是高级大床房，还不错，对得起每晚278元的价格。服务很好，傍晚出去了一下，回来发现房间有整理过，还送来了水果。     ', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
