{'descr': '出差，离办事点超近，很方便。吃的边上也挺多的挺丰富的', 'star': 3}
{'descr': '离办事的地方近', 'star': 4}
{'descr': '总体不错，市区里，卫生也不错，关键离办事地方近', 'star': 4}
{'descr': '位置很好，距离办事地方近，酒店整体说不错', 'star': 5}
{'descr': '酒店服务特别好，出行方便，房间很干净，就是空间太小，值得出差选择，性价比超高，距离地铁站非常近，周围吃的很便宜', 'star': 5}
{'descr': '可满足出差基本需要', 'star': 4}
{'descr': '不错，第一次入住，干净，卫生，服务不错，很到位，比其他酒店干净多了，下次出差还会入住，周边也比较方便', 'star': 1}
{'descr': '这个价格真心贵，除了位置还好其他的跟如家感觉差不多', 'star': 3}
{'descr': '僻静的小街，安静，价格合适，房间不大，也算舒适，餐饮选择多样，价格比较公道，离我办事的地方三分钟路程，还不错', 'star': 5}
{'descr': '出差在附近办事，每次都住万商如一，前台比较热情，晚上很安静，出行交通也比较方便，周围吃饭的地方也多，餐厅也不错', 'star': 5}
{'descr': '这家酒店真心不错，价格，设施，服务都比附近的快捷酒店要好，床也很舒服，下次还住这，附近的汉庭7天都住过，这儿性价比最高', 'star': 5}
{'descr': '非常方便的酒店，帮人订过很多次了', 'star': 5}
{'descr': '价格有点贵啊，不过在北京算性价比高的了！', 'star': 4}
{'descr': '还可以吧，住过几次，这次房间下水道异味比较大不知什么原因，其它还好', 'star': 4}
{'descr': '位置真心挺好的，和朋友一起去玩，卫生什么的都很不错，出门不远就有公交车和地铁，吃东西也很方便，wifi和热水都非常不错，工作人员都很热情，我自己坐出租车到的前台还问我打车多少钱，要我注意点不要被坑。我们三个人订的双标，拍了照片的后来不见了23333我们还从酒店走到了恭亲王府，也是太拼了wwwwwwwww', 'star': 5}
{'descr': '感觉比较满意，服务周到', 'star': 5}
{'descr': '酒店还算干净,就是房间小了点', 'star': 3}
{'descr': '交通方便,到地铁步行15分钟,60路公交5分钟,环境好,很安静,房间小点,但是很干净,性价比很高!', 'star': 5}
{'descr': '环境好，交通便利，周边有60、27路公交，值得推荐！', 'star': 5}
{'descr': '酒店非常棒，离鼓楼钟楼后海都非常近，晚上没事吃完饭，去遛个弯，十分方便，而且吃大也很方便，宾馆就可以吃饭，旁边鼓楼路口各种饭店，而且有个市场，旁边买水果也很方便，谁去谁知道，以后有机会，还是会去大，支持。', 'star': 5}
{'descr': '经常去住，经济实惠，条件也不错，地理位置也不错，环境比较熟悉', 'star': 5}
{'descr': ' 不错,性价比高.', 'star': 3}
{'descr': '地理位置适合众多来央企总部出差的人，环境也很安静，还有地方特色的餐厅。不方便的就是地理位置不好找，而且木有停车位。来北京玩，住这里去鸟巢后海南锣鼓巷都算方便，性价比还算可以。', 'star': 5}
{'descr': '  挺超值的，离2号线地铁口步行需要15分钟左右，离市场特别近，很适合出游全家居住，而且菜价和水果很便宜，酒店服务也很到位，效率很高。但是附近有一个饺子馆千万别去，平均40分一盘饺子，不催不上，而且价位也不便宜。其余的饭店都可以尝试很好。以后再来北京还会选择住在这里，性价比提高的。', 'star': 5}
{'descr': '老爸老妈带着亲戚去的 回来就说我找的旅店不错，房间不算小关键是干净，最主要交通很方便，赞个', 'star': 5}
{'descr': '比预想的好，值！', 'star': 3}
{'descr': '酒店的台灯能换成白色的节能灯泡就好了，太刺眼了。', 'star': 5}
{'descr': '还不错。', 'star': 3}
{'descr': '团购价格很便宜，性价比也不错，离地铁也不是很远，就是位置有点偏，在小区里面，不是很好找。', 'star': 5}
