{'短评内容': '服务非常好，非常客气，环境也不错', '短评打分': 5}
{'短评内容': '环境有点差，', '短评打分': 3}
{'短评内容': '非常差要个枕头都没有，态度差；卫生环境差：洁具差；设施陈旧；还没有停车位....永远不会来第二次了，所谓家庭房就是有家床……', '短评打分': 1}
{'短评内容': '房间够大，服务还行，房间一小般', '短评打分': 4}
{'短评内容': '卫生间的浴帘应放在外面，放在里面很不方便。', '短评打分': 5}
{'短评内容': '下次不会再去了。', '短评打分': 3}
{'短评内容': '房间太小，唯一的小窗户还被钉死了，无法通风，卫生间马桶盖根本掀不起来，往下掉，洗浴的水流不下去，电脑只能在床上用，没有地方可以搁置。总之，以后不会住了。', '短评打分': 3}
{'短评内容': '非常好 非常满意 以后还会去住', '短评打分': 3}
{'短评内容': '老差劲了，埋汰贵。。。跟图片完全不一样。。。', '短评打分': 1}
{'短评内容': '太次了 房间发霉了都', '短评打分': 3}
{'短评内容': '价格比隔条街的汉庭稍贵，房间内部设施简单，服务态度也一般，', '短评打分': 2}
{'短评内容': '房间还行，网速太慢了，感觉不值这个价呢', '短评打分': 3}
{'短评内容': '很好的酒店哈，房间大，位置好，服务也不错，唯一美中不足的是卫生间没有门的。。。', '短评打分': 5}
{'短评内容': '酒店条件可以，服务一般，酒店设施有待改善。', '短评打分': 5}
{'短评内容': '条件很一般，网速很慢，不值', '短评打分': 3}
{'短评内容': '感觉挺一般的 不是太好 不太推荐入住 特别是宾馆电视很次\n', '短评打分': 1}
{'短评内容': '酒店较干净，就是卫生间应该装门。', '短评打分': 3}
{'短评内容': '。已入住，非常好', '短评打分': 3}
