{'短评内容': '酒店很有古韵,位置比较好找.不过有几点让人比较难接受:  1. 洗手盆下面严重漏水,打开下面的柜子,里面因为长期受潮,长了很多白色菌类,看了让人发毛.   2. 淋浴的水温不好调,而且浴缸的位置摆放别扭,淋浴时,水会溅到浴缸外面.  3. 马桶冲水不太给力.', '短评打分': 4}
{'短评内容': '环境真不错', '短评打分': 5}
{'短评内容': '说25平米的房子实际只有10平米，服务也跟不上。硬件软件都不行。', '短评打分': 2}
{'短评内容': '鼓浪屿的酒店都是小楼', '短评打分': 5}
{'短评内容': '鼓浪屿的酒店都是小楼', '短评打分': 5}
{'短评内容': '算是岛上好找的一家酒店了，离码头大约15分钟的路程，龙头路就在旁边。晚上躺在床上，听着船的鸣笛声，很有风味。', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '房子是老式洋房，老板装修的很有味道，有小花园，地方也很好找，上了码头左传直走就到了，出门吃东西也很方便', '短评打分': 5}
{'短评内容': '非常好的酒店，环境、位置都很好', '短评打分': 5}
{'短评内容': '环境非常好，房间很有特点，下次来还会住这里的', '短评打分': 5}
{'短评内容': '交通方便，房间环境也很好，是岛上不错的住宿选择。痕开心能在这里度过在鼓浪屿的美好两天。下次来还会选择', '短评打分': 5}
{'短评内容': '总体感觉不错，性价比还可以，离码头近，离商业区也近，生活方便！', '短评打分': 5}
{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '店主很热情，离海边很近！', '短评打分': 5}
{'短评内容': '位置好，服务周到贴心！', '短评打分': 5}
{'短评内容': '离轮渡很近，订房较晚，只定到一楼房间，房间很小，有异味，很潮湿。不知道楼上房间是否会好点，勉强住', '短评打分': 3}
{'短评内容': '优点：位置离码头近，挺安静，房间复古风格，很喜欢，赞一个！缺点就是早餐，太简单，量太少了，还不能加餐，感觉酒店老板很小气。', '短评打分': 5}
{'短评内容': '几特别~哩边噶老板好好人哦！酒店有两只猫，一只系纯白色（公），一只系黄色的（母）！好乖噶又好懒，完全唔惊人噶~都算唔错噶一间酒店，系果度影咗好多靓靓相，好开心O(∩_∩)O哈哈~', '短评打分': 4}
{'短评内容': '酒店环境很不错。房间虽然不大但是什么都很齐全。厕所feel很棒哦。', '短评打分': 3}
{'短评内容': '觉得价格实在有点贵！房间很小！环境没有网上看的好！有点失望…', '短评打分': 3}
{'短评内容': '我们住的是三楼，格调还行，房间很简陋，关键是面积太小，根本没有店家宣传的25平米，房间大约9平米多一点，卫生间大约5平米多一点。离码头很近，方便，隔音效果不好。早餐比较简单，服务非常不错。总体评价是不值，我们咨询了周围的酒店，相同状况下，大约贵了100元左右。', '短评打分': 1}
{'短评内容': '喜欢酒店房间的装修风格，院子的格调，服务的热情，不足的是古堡房虽设施齐全但面积不大，适合一人居住。且外面就是前台，客人在外面用餐交谈多少影响睡眠，建议选择楼上房间。最后酒店离码头很近，闹中取静。', '短评打分': 5}
{'短评内容': '酒店服务很热情，干净。就是房价有点小，性价比差一点。', '短评打分': 5}
{'短评内容': '非常惬意的小旅馆', '短评打分': 3}
{'短评内容': '这家酒店离轮渡码头、龙头路商业街很近，逛街、坐船都很方便。但又是闹中取静，我们住的很舒服。小酒店的院子里摆着几张桌椅，还有秋千、花草的装饰，可以在院子里喝啤酒、咖啡。院子里的两只猫也很贴心，从外面逛回来，它们会来迎接你~服务也不错，店员素质都比较好。推荐。', '短评打分': 5}
{'短评内容': '厦门鼓浪屿麓意思老别墅度假酒店入住感觉极好 有风情 有味道 干净 舒适 离码头近 到鼓浪屿的首选', '短评打分': 3}
{'短评内容': '酒店房间还不错，尤其是卫生间比较大，但没有吃的东西，很遗憾', '短评打分': 5}
{'短评内容': '掌柜的很热情，离码头很近，房间很不错，总体感觉不错。', '短评打分': 5}
{'短评内容': '我是9.25-9.29都在鼓浪屿的，9.25晚上住麓意思。下了轮渡就往左边走，很好找。不错的一家店，里面的装修也很自己的风格，店员也很热心。当时很晚到店，以为会取消订单，最终打电话去问，店员都很热心的解答。我住的是二楼的房间，只是觉得电视频道不好看，洗手间排水有电慢（不过鼓浪屿里面很多旅馆都是旧式的别墅改建的，都存在抽风不好和排水慢的通病，这个要谅解一下），其他的都不错哦！下次去还会住这里的。', '短评打分': 5}
