{'短评内容': '还不错，干净，，卫生就是洗漱用品要付费', '短评打分': 5}
{'短评内容': '很喜欢布丁，一直都是住的布丁，房间很适合一个人居住，很干净，服务也很不错！酒店周边吃饭的馆子多，很方便，前台的服务也挺让人满意的，房间还有两瓶矿泉水免费送，床单毛巾很新，感觉很干净，让人很放心的感觉呢。房间上网的网速很快。床铺很干净，还是带小花的，很漂亮，房间感觉也很温馨。前台妹妹的服务超级赞，很有耐心。房间干净整洁，值得推荐。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈   很好  干净卫生  服务好。', '短评打分': 5}
{'短评内容': '超级好，服务人员服务很好的。。房间卫生好好的干净。', '短评打分': 5}
{'短评内容': '好好好好好好，前台的服务很好，客房卫生好好好干净。', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '前台服务热情', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '额', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台态度很好。服务热情，说话挺随和、问的问题也很认真解答，态度也很棒。办理速度也很快，满意；卫生方面挺好，房间整体卫生、也满干净的，比较整洁，房间舒适卫生，墙面也满干净的、经常翻新，床上用品也是干干净净的，整整洁洁的，卫生间也满舒适的，满意、很可爱的房间哦', '短评打分': 5}
{'短评内容': '前台态度挺好的，服务热情，说话挺随和的，脸上挂满笑容、问的问题也很认真解答，微笑很甜，态度也很棒的，经常免费升级，办理速度也挺快的，对服务挺满意；房间温馨干净，卫生也很好，房间整体卫生、也满干净的，比较整洁，卫生不错，房间舒适卫生，墙面也满干净的、经常翻新，床上用品也是干干净净的，整整洁洁的，房间宽敞干净，卫生也满意，对卫生也满意、下次还会在住，前台态度挺好的，服务热情，说话挺随和的，脸上挂满笑容、问的问题也很认真解答，微笑很甜，态度也很棒的，经常免费升级，办理速度也挺快的，对服务挺满意；房间温馨干净，卫生也很好，卫生方面挺好，房间整体卫生、也满干净的，比较整洁，卫生不错，房间舒适卫生，墙面也满干净的、经常翻新，床上用品也是干干净净的，整整洁洁的，房间宽敞干净，卫生也满意，对卫生也满意、下次还会在住前台态度挺好的，服务热情，说话挺随和的，脸上挂满笑容、问的问题也很认真解答，微笑很甜，态度也很棒的，经常免费升级，办理速度也挺快的，对服务挺满意；房间温馨干净，卫生也很好，卫生方面挺好，房间整体卫生、也满干净的，比较整洁，卫生不错，房间舒适卫生，墙面也满干净的、经常翻新，床上用品', '短评打分': 5}
{'短评内容': '前台态度挺好的，服务热情，说话挺随和的，笑容满满、问的问题也很认真解答，态度也很棒的，，办理速度也挺快的，满意；卫生方面挺好，房间整体卫生、也满干净的，比较整洁，不错，房间舒适卫生，墙面也满干净的、经常翻新，床上用品也是干干净净的，整整洁洁的，卫生间也满舒适的，满意、很可爱的房间哦', '短评打分': 5}
{'短评内容': '好！！！', '短评打分': 5}
{'短评内容': '房间很温馨！价格实惠！服务态度好，房间卫生很好，离地铁也很近，出行特别方便！周围环境也很安静，问了前台很多东西前台也很耐心的讲解，这样好的服务和卫生，值得大家去住！而且周围吃的东西超级多！也不怕找不着吃的！', '短评打分': 5}
{'短评内容': '前台服务好，客房卫生也很干净。下次还来。', '短评打分': 5}
{'短评内容': '非常滿意的噢。', '短评打分': 5}
{'短评内容': '环境感觉一般，洗漱用品还要另外买，感觉有点坑，', '短评打分': 5}
{'短评内容': '环境感觉一般，洗漱用品还要另外买，感觉有点坑，', '短评打分': 4}
{'短评内容': '房间一般吧，没有想象的那么好，洗漱用品还要用钱', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '布丁还是挺老的品牌，价格优惠！！但现在似乎起居用品需要付费购买。。。环保个人卫生角度可以理解，其他方面还需提升', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '将就住住罢了', '短评打分': 3}
{'短评内容': '将就住住还行', '短评打分': 3}
{'短评内容': '酒店位置很好，离高架地铁和公交站都很近，出行方便，酒店门口一条街都是好吃的，川菜，火锅，烧烤和面食应有尽有。一进大堂就有问好声，在寒冷的冬季感觉非常温暖，前台办理入住很快，服务非常好，酒店整体风格小清新适合年轻人入住，走廊的彩绘非常漂亮，在走廊上遇到服务员也会向我问好，感觉很亲切，房间卫生干净，床铺的非常整齐，淋浴房的五金件擦的非常亮，总的来说酒店卫生、服务、环境非常好。', '短评打分': 5}
{'短评内容': '酒店大堂布置非常漂亮，非常干净，前台办理入住非常快，服务很好。在走廊上遇到做卫生的服务员像我问好，态度很热情。房间很整洁，床单铺的很平整，淋浴间内五金件擦的非常亮，向新的一样。总之，这家酒店卫生，服务都值得推荐。', '短评打分': 5}
{'短评内容': '厕所没门，，，，其他还好', '短评打分': 5}
{'短评内容': '房间很温馨 logo部分很有特色 房间也较干净 就厕所有点脏 味儿有点大 但不影响居住 总体感觉真不错的 可以继续选择', '短评打分': 3}
{'短评内容': '服务不错，环境卫生不错，价格合理，不过就是洗漱用品不提供，（第一次住店的可以免费提供，第二次需要就要钱了），这有点小小的遗憾，不过总的来说，性价比高，下次还会来！', '短评打分': 5}
{'短评内容': '还行吧。房间太小了。有很多wifi热点。厕所只能侧身进入', '短评打分': 5}
{'短评内容': '酒店很好找，挺干净。不过还真是布丁，但是也算一应俱全。前台服务也不错，地段也挺好，挺安静。还会再次入住', '短评打分': 3}
{'短评内容': '环境挺好的,就是屋子太小了,不愧是布丁…', '短评打分': 3}
{'短评内容': '服务态度很好，好温馨啊！', '短评打分': 3}
{'短评内容': '住的 大床A。 表示房间很小，房间放了床，还有一个小桌子，就剩下大概一平的空间 放脚了，刚好能把门打开。  电视是液晶的，可是台 很少，不知道怎么回事。\n房间 隔音效果比较差。\n\n酒店主体格调 蛮喜欢的，就是房间 太小了', '短评打分': 5}
{'短评内容': '酒店房间超小，但还算干净，没有宽带，只有无线，先好也不好，电脑管理员弄了一个多小时才有信号，希望改进。', '短评打分': 5}
{'短评内容': '适合短期住宿，值得推荐，位置不好找，谢谢！\n适合短期住宿，值得推荐，位置不好找，谢谢！', '短评打分': 5}
{'短评内容': '酒店周围吃的东西多，方便，位置也不错，听安静的。。。感觉很温馨很时尚。。。', '短评打分': 5}
{'短评内容': '房间太小。真可以算得上布丁。干净。', '短评打分': 3}
{'短评内容': '酒店人员服务好，房间很温馨时尚，也很干净...', '短评打分': 5}
