{'descr': '发票都没得开！', 'star': 4}
{'descr': '很满意边上设施齐全，就是停车场满了，环境也很棒', 'star': 5}
{'descr': '房间还算比较宽敞 没有窗 老是能闻到一股臭味', 'star': 3}
{'descr': '酒店交通便利 离车站近 出门吃喝玩乐都很方便  服务态度好 房间干净整洁 但就是门面有点难找', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '非常的不错，环境相当的好，离车站也近', 'star': 5}
{'descr': '还可以，性价比还行。', 'star': 3}
{'descr': '还行，下次还会订。', 'star': 5}
{'descr': '出地铁口还是找了一下的，离地铁还是有一定的距离。酒店的大堂要穿过一个弄堂进去。大堂倒是很大。他们的房间还是有点年头了，当然该有的东西还是都有。就是因为靠近高架，就算关了窗户也不时传来车子的声音。', 'star': 4}
{'descr': '床挺好的，电视没有音量调节功能，酒店刻意把按键给拔掉了！', 'star': 5}
{'descr': '住过最**的酒店', 'star': 3}
{'descr': '价格低！', 'star': 5}
{'descr': '还不错，就是空调外机太吵了，希望可以改善下不', 'star': 5}
{'descr': '酒店交通便利 前台工作人员热情 房间卫生干净', 'star': 5}
{'descr': '好好好好好好', 'star': 5}
{'descr': '不怎么好  环境差', 'star': 5}
{'descr': '哦⊙&forall;⊙！格力手机没格格巫看￣ ￣)&sigma;脸都是我', 'star': 5}
{'descr': '婆婆Prezi银色所以外婆二XP 送我个好给你好', 'star': 5}
{'descr': '在这个区域算是很便宜的吧，就是路边没有明显标志，很难找啊', 'star': 5}
{'descr': '住的蛮舒服，蛮干净。', 'star': 5}
{'descr': '。。。。。。', 'star': 5}
{'descr': '位置真是离的太远了', 'star': 5}
{'descr': '房子可以，就是当时时间搞错了，没住成！', 'star': 5}
{'descr': '离东站太远了，郁闷死我了', 'star': 5}
{'descr': '环境很一般，没有在沈阳同价位的酒店环境好，这个附近好多汉庭很迷茫，送餐的时候地址会搞错。隔音不是很好，床很硬，窗子关不严的。', 'star': 5}
{'descr': '窗户漏风，地点有点偏，其他的没什么问题', 'star': 4}
{'descr': '恍恍惚惚恍恍惚惚何厚铧宝贝宝贝宝贝恍恍惚惚哈', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '高架边，外面很吵，里面却很安静，房间也很干净', 'star': 5}
{'descr': '房间很大很满意，不过窗户纱窗破了，不过也没事', 'star': 5}
{'descr': '不堪入目，相当难找，绕了两圈才找到，连个门牌灯箱都不亮', 'star': 3}
{'descr': '酒店位置不好找', 'star': 3}
{'descr': '什么都一般，将就着住还行', 'star': 3}
{'descr': '还好！', 'star': 5}
{'descr': '还可以～蛮实惠的', 'star': 4}
{'descr': '位置比较隐蔽啊！房间很干净，也宽敞，很安静！', 'star': 5}
{'descr': '位置太偏了，当时还正在修路，很不好找。。希望酒店能在主干道或者比较显目的位置给出提示，节省寻找的时间。酒店其他设施或服务尚可，望能再提升。', 'star': 4}
{'descr': '还可以，住了好几次，价格比其他汉庭便宜呀', 'star': 5}
{'descr': '房间较小，设施简陋，位置在艮山立交下面，出行对外地人很不方便。', 'star': 5}
{'descr': '房间隔音超级不好,交通不方便，服务态度一般,价格偏高，不值', 'star': 3}
{'descr': '挺干净的，房间不大，但是价格实惠，设备较新。', 'star': 3}
{'descr': '周边环境不好，房间有异味，后来跟前台说了，态度还不错，给换了一间', 'star': 1}
{'descr': '一般，房间有点小', 'star': 3}
{'descr': '酒店的环境都挺好的，服务也周到；就是地方有点偏远，不过打车蛮方便的。值得推荐', 'star': 5}
{'descr': '感觉挺干净，去之前还有点担心，我们定的标房在三楼，总体感觉不错，推荐入住！', 'star': 5}
{'descr': '怡莱酒店以前不知道的，住后感觉还好吧！就是地方稍微偏了点！交通不太方便！', 'star': 3}
{'descr': '可以，推荐入住。可以，推荐入住。可以，推荐入住。可以，推荐入住。', 'star': 5}
{'descr': '可以，推荐入住，可以，推荐入住，可以，推荐入住', 'star': 5}
{'descr': '还好，在高架桥下面，我住的在一楼，有点潮。', 'star': 5}
{'descr': '环境还不错 比较干净 就是房子太小  我要的大床房没有窗户，这点比较不爽', 'star': 5}
{'descr': '环境不错，干净', 'star': 3}
{'descr': '房间在一楼，味道很重，光线太暗', 'star': 3}
{'descr': '挺好的，就是没有窗户。', 'star': 3}
{'descr': '还不错的啊..房间也很舒服...服务业不错...', 'star': 5}
{'descr': '这家酒店卫生不错 是运动主题的蛮特别 卫生间是玻璃的还是不习惯', 'star': 5}
{'descr': '感觉还可以···虽然没有汉庭好！不过这个价格和环境可以接受的···地理位置偏了点，不过离市中心不是很远，晚上还是挺安静的！', 'star': 5}
{'descr': '感觉很普通的一家酒店,看照片真的感觉好漂亮的，到了现场就立刻减一半，反正以后是不会再去了，热水器一会热，一会冷的，洗个澡也蛮痛苦的。', 'star': 1}
{'descr': '第二次入住，因为不错就继续了。', 'star': 3}
{'descr': '挺好的，干净舒服。就是门面难找了点，其他还可以的。', 'star': 5}
{'descr': '性价比挺高的酒店。。。快捷酒店里面感觉怡莱的最宽敞。。。服务员也挺热情。。。唯二的瑕疵是燃气热水器的水温不是太稳定，还有商业大床房窗户外面其实就是很小的天井，而且都是空调外机，其实就等同于无窗房，希望下次订房信息内能注明。。。总体感觉挺好的。。。', 'star': 5}
{'descr': '房间太小太暗,窗户有等于没有.且一进去有一股很难闻的霉味,开窗户半天久久都不散,郁闷.', 'star': 1}
{'descr': '还不错啊，是个快捷酒店该有的风格，干净简朴，酒店在装修方面成本虽然把控的好，但各种设施还是让人觉得感官上很OK的，端午节前一天订到的，找了好多家，那时的价格也很合理。', 'star': 5}
{'descr': '我对怡莱很失望！硬件设施太不理想了！我不会推荐给别人！自己以后可能不会再住了！其它也没什么好说的！', 'star': 3}
{'descr': '酒店环境不错～设施也很OK，交通挺方便的，很值得～下次还会选择！', 'star': 5}
{'descr': '挺好的很舒服，就是我晚上从杭州南站下车然后去找这家酒店很多司机都不知道。。。', 'star': 5}
{'descr': '很不错的酒店，有很多娱乐设施，本人很喜欢中间的斯诺克球台，唯一缺陷是，球台上没有分值球的点位，而且打球的时候灯光不好，球台中间亮，两头暗，不过用来娱乐还是很好的。下次来杭州继续入住，呵呵！', 'star': 5}
{'descr': '非常一般，非常一般，非常一般，非常一般。', 'star': 1}
{'descr': '酒店布置的还不错，有特色，就是房间太小了，卫生状况还是不错滴@~', 'star': 5}
{'descr': '帮朋友预订的 正好赶上这五一 但是酒店的服务不错 环境也很好 下次再去 还会光顾', 'star': 5}
{'descr': '不错，因为地理位置在高架附近，车有点难开。环境不错。', 'star': 5}
{'descr': '房间还不错 比较干净！热水很舒服啊 一直都住这个怡莱 推荐大家', 'star': 5}
{'descr': '整体感觉挺好的,下次有机会还会去的。房间很干净，床也很大', 'star': 5}
{'descr': '还不错，大床房没有街景床，但设施不错', 'star': 3}
{'descr': '   怡莱酒店各家风格都不一样，这家是快捷。感觉一般吧，不是很差，也不是非常好。', 'star': 3}
{'descr': '和照片差距太大', 'star': 3}
{'descr': '很满意不错...', 'star': 3}
{'descr': '交通比较不方便。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '这家酒店不错，各方面都不错，下次还会来住。', 'star': 5}
{'descr': '装修蛮有感觉的，就是位置太偏僻了，旁边都没什么好吃的。', 'star': 5}
{'descr': '＋很好，很不错，就是有点偏僻', 'star': 3}
{'descr': '安静', 'star': 3}
{'descr': '酒店一般，出门超级难打车，不是很方便，房间有点潮', 'star': 1}
{'descr': '房间很不错哦~很大很干净，就是水太烫啦~', 'star': 5}
{'descr': '酒店环境不错~服务也蛮好的~就是那边的自助早餐有点纠结~', 'star': 5}
{'descr': '床单是破的，毛巾什么的都很旧，电视机很小，服务态度还不错', 'star': 1}
{'descr': '空调没用 不暖 隔音不太好 只是睡觉的话还好', 'star': 1}
{'descr': '酒店位置不錯，比較方便，房間乾淨整潔，價格實惠', 'star': 5}
{'descr': '交通方便，不过比较旧了，隔音不好~~~~', 'star': 5}
{'descr': '前台服务挺不错的，洗澡水很给力.有停车场地，感觉还好吧！', 'star': 5}
{'descr': '前台服务挺不错的，洗澡水很给力.有停车场地，感觉还好吧！', 'star': 5}
{'descr': '前台服务挺不错的，洗澡水很给力，遗憾是房间太冷了。', 'star': 1}
{'descr': '一般点，偏僻 性价比 不是很高。不推荐入住', 'star': 1}
{'descr': '刚办好手续入住，房间还是那么整洁。熟悉的感觉！', 'star': 3}
