{'短评内容': '都还不错就是淋浴间的水都流进卫生间里了。提供的早餐还是可以的 服务也很周到。靠马路一侧的房间隔音不太好 夜里汽车比较吵。', '短评打分': 4}
{'短评内容': '前台热情，耐心。服务周到', '短评打分': 5}
{'短评内容': '早餐一般但午餐在餐厅吃的量大味道不错', '短评打分': 5}
{'短评内容': '提供早餐，吃住一体', '短评打分': 5}
{'短评内容': '设施老旧，没有配送瓶装水。', '短评打分': 2}
{'短评内容': '房间较大  设置有点陈旧    周边繁华   卫生一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通方便，停车方便 房间稍差', '短评打分': 4}
{'短评内容': '卫生间暖气很足，但是房间很冷，不得不开着空调', '短评打分': 4}
{'短评内容': '酒店干净卫生，环境好，距离高速很近，出行方便', '短评打分': 5}
{'短评内容': '可以入住', '短评打分': 4}
{'短评内容': '可以入住', '短评打分': 4}
{'短评内容': '酒店服务不错。', '短评打分': 4}
{'短评内容': '订的商务套房，一家老小都住下了，宽敞得很，不错！', '短评打分': 3}
{'短评内容': '很不错。环境不太好，楼下的KTV音量太大了。', '短评打分': 5}
{'短评内容': '位于高速出口附近、长途汽车站对面，很好找；前台服务热情细致，餐厅价格合适，大碗西红柿面条6元，鱼香肉丝16元，和小餐馆的菜价一样，但就餐环境好；地下停车库宽敞。总之这个城市的人给我印象挺好的。', '短评打分': 5}
{'短评内容': '房间挺大，比较干净，KTV有点吵', '短评打分': 3}
{'短评内容': '地方很好找，就在汽车站对面，服务员态度好的没有话说，哈哈和北京相比，性价比也是高的没有话说。房间很大，东西都很新，一看就知道酒店时间不会很长。送的早餐品种也很多。入住的第二天，是5月初六，宣化好多人结婚，在这个洒店就有三对，贴点喜气也不错，以后在去宣化还是会在住这。', '短评打分': 5}
